"CD","NM","GUBUN","FIRST_1Y","FIRST_1Y_MOL","FIRST_1Y_DEN","FIRST_3Y","FIRST_3Y_MOL","FIRST_3Y_DEN","FIRST_5Y","FIRST_5Y_MOL","FIRST_5Y_DEN","SECOND_1Y","SECOND_1Y_MOL","SECOND_1Y_DEN","SECOND_3Y","SECOND_3Y_MOL","SECOND_3Y_DEN","SECOND_5Y","SECOND_5Y_MOL","SECOND_5Y_DEN","THIRD_1Y","THIRD_1Y_MOL","THIRD_1Y_DEN","THIRD_3Y","THIRD_3Y_MOL","THIRD_3Y_DEN","THIRD_5Y","THIRD_5Y_MOL","THIRD_5Y_DEN"
"11","서울시 전체","si","84.1","993","1181","54.6","645","1181","35","413","1181","80.8","988","1223","54.9","672","1223","38.5","471","1223","85.9","1618","1883","58.3","1098","1883","42.3","796","1883"
"11110","종로구","gu","80","32","40","55","22","40","42.5","17","40","67.5","27","40","40","16","40","22.5","9","40","77.6","52","67","56.7","38","67","46.3","31","67"
"11110515","청운효자동","dong","0","0","0","0","0","0","0","0","0","100","1","1","100","1","1","100","1","1","0","0","1","0","0","1","0","0","1"
"11110530","사직동","dong","71.4","5","7","57.1","4","7","57.1","4","7","100","2","2","50","1","2","50","1","2","100","4","4","100","4","4","100","4","4"
"11110540","삼청동","dong","100","4","4","50","2","4","50","2","4","0","0","0","0","0","0","0","0","0","100","2","2","50","1","2","50","1","2"
"11110550","부암동","dong","0","0","0","0","0","0","0","0","0","100","1","1","100","1","1","100","1","1","100","2","2","50","1","2","50","1","2"
"11110560","평창동","dong","50","1","2","50","1","2","50","1","2","0","0","1","0","0","1","0","0","1","100","3","3","66.7","2","3","33.3","1","3"
"11110570","무악동","dong","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","1","1","100","1","1","100","1","1"
"11110580","교남동","dong","100","3","3","100","3","3","33.3","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11110600","가회동","dong","0","0","2","0","0","2","0","0","2","0","0","0","0","0","0","0","0","0","100","2","2","100","2","2","100","2","2"
"11110615","종로1.2.3.4가동","dong","88.9","8","9","44.4","4","9","33.3","3","9","61.1","11","18","22.2","4","18","11.1","2","18","67.9","19","28","53.6","15","28","42.9","12","28"
"11110630","종로5.6가동","dong","100","4","4","25","1","4","25","1","4","100","1","1","100","1","1","0","0","1","75","3","4","50","2","4","25","1","4"
"11110640","이화동","dong","100","2","2","100","2","2","50","1","2","50","1","2","50","1","2","0","0","2","50","2","4","25","1","4","25","1","4"
"11110650","혜화동","dong","66.7","2","3","66.7","2","3","33.3","1","3","50","3","6","50","3","6","0","0","6","87.5","7","8","50","4","8","50","4","8"
"11110670","창신1동","dong","0","0","0","0","0","0","0","0","0","100","1","1","0","0","1","0","0","1","100","1","1","100","1","1","0","0","1"
"11110680","창신2동","dong","0","0","0","0","0","0","0","0","0","100","1","1","100","1","1","100","1","1","0","0","0","0","0","0","0","0","0"
"11110690","창신3동","dong","0","0","0","0","0","0","0","0","0","100","1","1","100","1","1","100","1","1","0","0","0","0","0","0","0","0","0"
"11110700","숭인1동","dong","0","0","0","0","0","0","0","0","0","100","1","1","100","1","1","100","1","1","100","2","2","0","0","2","0","0","2"
"11110710","숭인2동","dong","75","3","4","75","3","4","75","3","4","75","3","4","25","1","4","25","1","4","80","4","5","80","4","5","60","3","5"
"11140","중구","gu","86","37","43","51.2","22","43","30.2","13","43","77.1","37","48","52.1","25","48","39.6","19","48","83.1","74","89","62.9","56","89","52.8","47","89"
"11140520","소공동","dong","25","1","4","0","0","4","0","0","4","71.4","5","7","57.1","4","7","28.6","2","7","92.3","12","13","76.9","10","13","76.9","10","13"
"11140540","회현동","dong","83.3","5","6","50","3","6","50","3","6","83.3","5","6","83.3","5","6","83.3","5","6","71.4","5","7","57.1","4","7","57.1","4","7"
"11140550","명동","dong","100","6","6","50","3","6","33.3","2","6","88.9","8","9","33.3","3","9","22.2","2","9","77.8","21","27","66.7","18","27","59.3","16","27"
"11140570","필동","dong","100","4","4","50","2","4","25","1","4","0","0","0","0","0","0","0","0","0","77.8","7","9","44.4","4","9","33.3","3","9"
"11140580","장충동","dong","0","0","0","0","0","0","0","0","0","100","1","1","0","0","1","0","0","1","80","4","5","80","4","5","20","1","5"
"11140590","광희동","dong","100","3","3","66.7","2","3","66.7","2","3","70","7","10","60","6","10","50","5","10","100","7","7","57.1","4","7","57.1","4","7"
"11140605","을지로동","dong","71.4","5","7","42.9","3","7","14.3","1","7","75","3","4","25","1","4","25","1","4","100","3","3","66.7","2","3","66.7","2","3"
"11140615","신당동","dong","100","6","6","50","3","6","16.7","1","6","50","3","6","50","3","6","33.3","2","6","85.7","6","7","42.9","3","7","14.3","1","7"
