NM,CD,GUBUN,TOT_REPOP_CO_1,TOT_WRC_POPLTN_CO_1,TOT_REPOP_CO_2,TOT_WRC_POPLTN_CO_2,TOT_REPOP_CO_3,TOT_WRC_POPLTN_CO_3,,,,면적(km),,,,,,
서울시 전체,11,si,162.3567379,79.85018149,160.1081185,82.59624615,157.9860928,78.97481685,,,,605,9822582.643,4830935.98,9686541.17,4997072.892,9558158.615,4777976.419
종로구,11110,gu,65.19158194,132.3489177,64.36554261,129.2092073,63.57585916,98.95773621,,,,23.91,155873.0724,316446.2621,153898.0124,308939.2146,152009.8792,236607.9473
청운효자동,11110515,dong,55.03932468,30.44570988,53.62362798,29.43743752,52.37254717,43.61909693,,,,2.57,14145.10644,7824.54744,13781.27239,7565.421443,13459.74462,11210.10791
사직동,11110530,dong,79.75937934,604.2280733,79.26023778,585.0799702,81.34286292,410.018976,,,,1.23,9810.403659,74320.05301,9749.009247,71964.83634,10005.17214,50432.33405
삼청동,11110540,dong,21.29154834,27.53601527,20.25679203,28.70011612,19.70348483,42.08727595,,,,1.49,3172.440703,4102.866275,3018.262012,4276.317302,2935.81924,6271.004116
부암동,11110550,dong,47.27277802,14.0274237,45.607134,14.43258036,45.04441642,18.52466256,,,,2.27,10730.92061,3184.225181,10352.81942,3276.195741,10225.08253,4205.098401
평창동,11110560,dong,23.07323677,3.026273227,22.35081288,2.944805856,22.2885143,27.76959111,,,,8.87,20465.96102,2684.304353,19825.17102,2612.042794,19769.91218,24631.62731
무악동,11110570,dong,184.899166,17.05573452,180.8172631,19.37249018,179.3610167,13.41511849,,,,0.36,6656.369975,614.0064428,6509.421473,697.4096465,6456.996602,482.9442655
교남동,11110580,dong,250.9661747,111.4654612,299.0989875,119.96611,297.4101169,29.6678273,,,,0.35,8783.816116,3901.291142,10468.46456,4198.81385,10409.35409,1038.373955
가회동,11110600,dong,81.58471047,388.8540992,78.66591663,390.6584445,77.67529568,207.5527771,,,,0.54,4405.574366,20998.12136,4247.959498,21095.556,4194.465967,11207.84996
종로1.2.3.4가동,11110615,dong,30.81449231,619.0294607,30.38668465,591.3659364,29.87249275,400.8804611,,,,2.35,7241.405694,145471.9233,7140.870893,138970.9951,7020.035796,94206.90835
종로5.6가동,11110630,dong,89.42166099,328.7521826,87.72061484,328.235198,86.90344562,259.9265215,,,,0.6,5365.299659,19725.13096,5263.236891,19694.11188,5214.206737,15595.59129
이화동,11110640,dong,111.0877605,223.0322046,108.1964536,234.7312892,105.1846755,57.82613875,,,,0.78,8664.845322,17396.51196,8439.323381,18309.04055,8204.404692,4510.438823
혜화동,11110650,dong,148.5744892,42.65897875,146.3700688,43.22730588,145.4142459,65.29734273,,,,1.12,16640.34279,4777.80562,16393.4477,4841.458259,16286.39554,7313.302385
창신1동,11110670,dong,189.9949877,94.35834642,186.3619391,100.2788701,175.933744,43.96661632,,,,0.31,5889.84462,2925.108739,5777.220112,3108.644974,5453.946063,1362.965106
창신2동,11110680,dong,362.4585906,25.07893059,342.6287385,25.35110503,332.8693407,13.37542965,,,,0.26,9423.923356,652.0521953,8908.347201,659.1287307,8654.602859,347.7611708
창신3동,11110690,dong,344.3093003,19.88623225,328.5853027,20.71867918,329.6027378,13.87411553,,,,0.23,7919.113906,457.3833418,7557.461962,476.5296212,7580.86297,319.1046571
