NM,CD,GUBUN,2020년2분기개업수,2020년2분기폐업수,2020년2분기개업률,2020년2분기폐업률,2020년1분기개업수,2020년1분기폐업수,2020년1분기개업률,2020년1분기폐업률,2019년4분기개업수,2019년4분기폐업수,2019년4분기개업률,2019년4분기폐업률,2019년3분기개업수,2019년3분기폐업수,2019년3분기개업률,2019년3분기폐업률,2019년2분기개업수,2019년2분기폐업수,2019년2분기개업률,2019년2분기폐업률,2019년1분기개업수,2019년1분기폐업수,2019년1분기개업률,2019년1분기폐업률,2018년4분기개업수,2018년4분기폐업수,2018년4분기개업률,2018년4분기폐업률,2018년3분기개업수,2018년3분기폐업수,2018년3분기개업률,2018년3분기폐업률
서울시 전체,11,si,344,319,3.3,3.1,304,363,2.9,3.5,305,424,3,4.1,336,360,3.3,3.5,401,367,3.9,3.6,335,436,3.3,4.3,396,364,3.9,3.5,334,386,3.3,3.8
종로구,11110,gu,11,14,3.2,4,9,10,2.6,2.9,10,12,3,3.6,9,17,2.7,5,23,10,6.6,2.9,10,11,3,3.3,13,9,3.9,2.7,13,13,3.9,3.9
청운효자동,11110515,dong,1,1,8.3,8.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8.3,0
사직동,11110530,dong,1,1,3.3,3.3,0,0,0,0,3,2,10.7,7.1,0,0,0,0,1,1,3.7,3.7,0,0,0,0,2,1,7.4,3.7,1,1,3.8,3.8
삼청동,11110540,dong,0,0,0,0,0,0,0,0,1,2,14.3,28.6,2,0,25,0,1,2,16.7,33.3,0,0,0,0,0,0,0,0,1,1,14.3,14.3
부암동,11110550,dong,0,1,0,8.3,0,1,0,7.7,1,1,7.7,7.7,0,1,0,7.7,1,0,7.1,0,0,1,0,7.7,1,0,7.1,0,0,1,0,7.7
평창동,11110560,dong,0,0,0,0,0,0,0,0,0,1,0,7.7,0,0,0,0,0,0,0,0,1,1,7.1,7.1,0,0,0,0,0,0,0,0
무악동,11110570,dong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0
교남동,11110580,dong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6.7,0,0,0,0,1,1,6.3,6.3,0,0,0,0
가회동,11110600,dong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,11.1,11.1,1,0,11.1,0,0,0,0,0
종로1.2.3.4가동,11110615,dong,9,10,7.7,8.5,6,4,5.1,3.4,3,2,2.7,1.8,1,4,0.9,3.7,8,4,7.2,3.6,3,0,2.8,0,5,3,4.8,2.9,4,6,3.9,5.9
종로5.6가동,11110630,dong,0,0,0,0,0,1,0,3.8,1,1,3.7,3.7,2,1,7.4,3.7,2,1,7.7,3.8,0,2,0,8,1,0,3.7,0,1,0,3.8,0
이화동,11110640,dong,0,1,0,5.3,0,0,0,0,1,0,5,0,0,2,0,10.5,3,0,14.3,0,1,1,5.6,5.6,1,2,5.6,11.1,1,0,5.3,0
혜화동,11110650,dong,0,0,0,0,0,2,0,6.1,0,2,0,5.9,4,6,11.4,17.1,3,0,7.9,0,2,3,5.7,8.6,1,1,2.8,2.8,1,2,2.8,5.6
창신1동,11110670,dong,0,0,0,0,1,1,14.3,14.3,0,1,0,14.3,0,1,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
창신2동,11110680,dong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25,0,0,0,0,0,0,0,0,0
창신3동,11110690,dong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
숭인1동,11110700,dong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,12.5,12.5
숭인2동,11110710,dong,0,0,0,0,2,1,8,4,0,0,0,0,0,2,0,8,3,1,11.1,3.7,1,2,4,8,0,1,0,3.8,2,1,7.4,3.7
중구,11140,gu,10,12,2.2,2.7,11,10,2.4,2.2,13,19,3.1,4.5,3,10,0.7,2.4,14,12,3.3,2.8,8,10,1.9,2.4,12,12,2.8,2.8,13,18,3,4.2
소공동,11140520,dong,1,0,1.9,0,1,2,2,3.9,2,3,3.9,5.9,1,0,2,0,1,1,2,2,0,0,0,0,1,2,2,3.9,2,3,3.8,5.8
회현동,11140540,dong,3,5,5,8.3,1,0,1.6,0,0,0,0,0,0,2,0,4.4,1,1,2.2,2.2,1,1,2.2,2.2,1,0,2.2,0,1,0,2.3,0
명동,11140550,dong,1,0,1.1,0,2,2,2.3,2.3,3,6,3.7,7.3,0,1,0,1.2,2,1,2.3,1.2,2,3,2.4,3.5,4,3,4.7,3.5,3,6,3.5,7.1
필동,11140570,dong,0,0,0,0,0,1,0,3.2,1,0,3,0,0,1,0,3.2,2,1,6.3,3.1,1,2,3.2,6.5,5,1,15.6,3.1,1,2,3.6,7.1
장충동,11140580,dong,0,3,0,18.8,3,0,15.8,0,0,1,0,6.3,0,0,0,0,0,1,0,5.9,0,0,0,0,0,0,0,0,0,0,0,0
광희동,11140590,dong,2,1,3.6,1.8,2,1,3.7,1.9,1,1,2,2,0,0,0,0,1,0,2,0,1,0,2.1,0,0,1,0,2.1,2,0,4.2,0
을지로동,11140605,dong,1,1,2.9,2.9,0,1,0,2.9,1,0,3.1,0,2,0,6.5,0,1,1,3.4,3.4,0,1,0,3.4,0,1,0,3.3,1,1,3.2,3.2
신당동,11140615,dong,1,1,3.1,3.1,1,0,3,0,0,2,0,6.5,0,1,0,3,0,2,0,5.9,2,1,5.6,2.8,0,0,0,0,1,4,2.9,11.4
다산동,11140625,dong,0,0,0,0,0,1,0,5.9,1,0,5.6,0,0,1,0,6.3,2,2,11.8,11.8,0,0,0,0,0,0,0,0,1,0,5.9,0
약수동,11140635,dong,0,0,0,0,0,0,0,0,1,1,9.1,9.1,0,1,0,9.1,0,0,0,0,0,1,0,8.3,1,2,7.7,15.4,0,1,0,7.1
청구동,11140645,dong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16.7,0,0,0,0,0,0,0,0,0,0,0,0
신당5동,11140650,dong,0,1,0,14.3,1,1,12.5,12.5,0,1,0,12.5,0,0,0,0,2,0,22.2,0,0,0,0,0,0,1,0,14.3,1,0,12.5,0
동화동,11140665,dong,0,0,0,0,0,0,0,0,0,1,0,10,0,2,0,18.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
황학동,11140670,dong,0,0,0,0,0,1,0,7.7,3,2,21.4,14.3,0,0,0,0,1,1,7.7,7.7,1,0,7.7,0,0,1,0,8.3,0,1,0,7.7
중림동,11140680,dong,1,0,7.1,0,0,0,0,0,0,1,0,7.7,0,1,0,7.7,1,0,7.1,0,0,1,0,7.7,0,0,0,0,0,0,0,0
용산구,11170,gu,9,5,3,1.7,8,7,2.7,2.3,8,7,2.7,2.4,7,6,2.4,2.1,2,9,0.7,3.1,11,9,3.7,3,4,6,1.4,2,11,10,3.7,3.4
후암동,11170510,dong,1,0,5.3,0,1,0,5.6,0,0,0,0,0,0,0,0,0,1,1,5.9,5.9,1,2,5.9,11.8,1,2,5.6,11.1,3,2,15.8,10.5
용산2가동,11170520,dong,1,0,5,0,3,1,15.8,5.3,1,1,5.9,5.9,0,1,0,5.9,0,1,0,5.6,2,0,10.5,0,0,1,0,5.9,1,0,5.6,0
남영동,11170530,dong,3,1,9.1,3,0,0,0,0,1,2,3.3,6.7,1,1,3.2,3.2,0,0,0,0,0,2,0,6.5,0,1,0,3,2,0,5.9,0
청파동,11170555,dong,0,2,0,7.4,1,0,3.4,0,0,0,0,0,0,0,0,0,1,2,3.7,7.4,1,0,3.6,0,0,0,0,0,1,2,3.7,7.4
원효로1동,11170560,dong,0,0,0,0,0,0,0,0,0,1,0,5.3,0,1,0,5,0,1,0,4.8,1,1,4.5,4.5,1,0,4.5,0,1,1,4.8,4.8
원효로2동,11170570,dong,0,1,0,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6.7,0,0,0,0,0,0,0,0,0,0,0,0
효창동,11170580,dong,0,0,0,0,0,1,0,11.1,0,0,0,0,1,1,10,10,0,0,0,0,1,2,10,20,1,0,9.1,0,0,0,0,0
용문동,11170590,dong,0,0,0,0,1,2,12.5,25,1,0,11.1,0,1,1,14.3,14.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
한강로동,11170625,dong,1,1,2.1,2.1,0,1,0,2.1,0,1,0,2.1,2,0,4.3,0,0,1,0,2.2,3,2,6.5,4.3,0,1,0,2.2,0,0,0,0
이촌1동,11170630,dong,1,0,6.3,0,0,0,0,0,2,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7.7,0,1,0,8.3,0
이촌2동,11170640,dong,1,0,16.7,0,0,0,0,0,0,0,0,0,1,0,20,0,0,0,0,0,0,0,0,0,0,1,0,25,0,0,0,0
