"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","점포구분명"
"3240000","1968324010907500001","19681023","","03","폐업","3","폐업처리","20190201","","","","02-478-2191","1735.5","134873","서울특별시 강동구 천호동 421번지 1호","서울특별시 강동구 구천면로 205 (천호동)","134873","천호시장","20190206122714","U","2019-02-08 02:40:00.0","그 밖의 대규모점포","211196.195653708    ","448722.851784118    ","대규모점포"
"3240000","1990324007307500003","19900528","","02","휴업","2","휴업처리","","","","","0204793424","","","서울특별시 강동구 천호동 410번지 105호   ","","","현대프라자","20070630100431","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","211336.172451748    ","448556.794492412    ",""
"3240000","1990324013907500001","19900528","","03","폐업","3","폐업처리","20200514","","","","02-485-6644","15055.25","134871","서울특별시 강동구 천호동 410번지 105호","서울특별시 강동구 진황도로 18 (천호동)","134871","현대프라자","20200515093840","U","2020-05-17 02:40:00.0","그 밖의 대규모점포","211336.172451748    ","448556.794492412    ","대규모점포"
"3240000","1999324013907500001","19990412","","01","영업/정상","1","정상영업","","","","","02-2225-8701","36175","","서울특별시 강동구 천호동 455번지 8호","서울특별시 강동구 천호대로 1005 (천호동 현대백화점)","134779","현대백화점 천호점","20200504113406","U","2020-05-06 02:40:00.0","백화점","210931.643485       ","448522.079827       ","대규모점포"
"3240000","2000324007307500002","20000614","","02","휴업","2","휴업처리","","","","","000204887244","","","서울특별시 강동구 천호동 565호   ","","","킴스클럽","20070630100431","I","2018-08-31 23:59:59.0","대형마트","211750.89622364     ","448202.632546787    ",""
"3240000","2001324010607500001","20010327","","02","휴업","2","휴업처리","","","","","000222241053","","","서울특별시 강동구 천호동 454번지 0001호   ","","","이마트천호점","20070630100431","I","2018-08-31 23:59:59.0","대형마트","211025.924972294    ","448495.189151526    ",""
"3240000","2002324007307500000","20021120","","01","영업/정상","1","정상영업","","","","","0221451051","8659","","서울특별시 강동구 명일동 46번지 4 호","서울특별시 강동구 고덕로 276 (명일동)","134825","(주)이마트명일점","20200422130750","U","2020-04-24 02:40:00.0","대형마트","213700.877714971    ","450278.100930843    ","대규모점포"
"3240000","2002324007307500001","20021120","","01","영업/정상","BBBB","","","","","","000204296240","8659.77","","서울특별시 강동구 명일동 46번지 4호   ","","","신세계 이마트 명일점","20070630100431","I","2018-08-31 23:59:59.0","대형마트","213700.877714971    ","450278.100930843    ",""
"3240000","2004324010607500001","20040524","","01","영업/정상","1","정상영업","","","","","000204782635","4075.83","134890","서울특별시 강동구 성내동 428번지 2호","서울특별시 강동구 양재대로89길 16 (성내동)","134890","파크프라자 상가","20141015142541","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","211838.35431041     ","447195.676766748    ","대규모점포"
"3240000","2005324010607500001","20050112","","02","휴업","2","휴업처리","","","","","02 485 0731","4310.62","","서울특별시 강동구 천호동 422번지 2호   ","","","천호신시장","20070630100431","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","211252.735515916    ","448823.39875114     ",""
"3240000","2005324010607500002","20050331","","01","영업/정상","1","정상영업","","","","","2224 1053","9081","","서울특별시 강동구 천호동 454번지 1호","서울특별시 강동구 천호대로 1017 (천호동)","134874","(주)이마트천호점","20200422130349","U","2020-04-24 02:40:00.0","대형마트","211025.924972294    ","448495.189151526    ","대규모점포"
"3240000","2005324010607500003","20050331","","02","휴업","2","휴업처리","","","","","","8659","","서울특별시 강동구 명일동 52번지 5호   ","","","신세계이마트천호점","20070630100431","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","","",""
"3240000","2005324011907500001","20050509","","02","휴업","2","휴업처리","","","","","02  4850731","4310.62","","서울특별시 강동구 천호동 422번지 2호   ","","","천호신시장","20070630100431","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","211252.735515916    ","448823.39875114     ",""
"3240000","2005324011907500002","20050509","","01","영업/정상","1","정상영업","","","","","02 4850731","5374.49","","서울특별시 강동구 천호동 422번지 2호","","","천호신시장","20141013194204","I","2018-08-31 23:59:59.0","시장","211252.735515916    ","448823.39875114     ","대규모점포"
"3240000","2005324011907500003","20050602","","02","휴업","2","휴업처리","","","","","478 1443","4350","","서울특별시 강동구 천호동 422번지 1호   ","","","동서울시장","20070630100431","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","211265.331889504    ","448886.316858581    ",""
"3240000","2005324011907500004","20050720","","02","휴업","2","휴업처리","","","","","02  485 9001","3223.68","","서울특별시 강동구 천호동 563호   ","","","동아코아","20070630100431","I","2018-08-31 23:59:59.0","쇼핑센터","211055.486155787    ","448786.697371515    ",""
"3240000","2005324011907500005","20050720","","02","휴업","2","휴업처리","","","","","02  485 9001","3223.68","","서울특별시 강동구 천호동 563호   ","","","동아코아","20070630100431","I","2018-08-31 23:59:59.0","쇼핑센터","211055.486155787    ","448786.697371515    ",""
"3240000","2005324011907500006","20050720","","02","휴업","2","휴업처리","","","","","02  485 9001","3223.68","","서울특별시 강동구 천호동 563호   ","","","동아코아","20070630100431","I","2018-08-31 23:59:59.0","쇼핑센터","211055.486155787    ","448786.697371515    ",""
"3240000","2005324011907500007","20050720","","02","휴업","2","휴업처리","","","","","02  485 9001","3223.68","","서울특별시 강동구 천호동 563호   ","","","동아코아","20070630100431","I","2018-08-31 23:59:59.0","쇼핑센터","211055.486155787    ","448786.697371515    ",""
"3240000","2005324011907500008","20050720","","02","휴업","2","휴업처리","","","","","02  485 9001","3223.68","","서울특별시 강동구 천호동 563호   ","","","동아코아","20070630100431","I","2018-08-31 23:59:59.0","쇼핑센터","211055.486155787    ","448786.697371515    ",""
"3240000","2005324011907500009","20050720","","02","휴업","2","휴업처리","","","","","02  485 9001","3223.68","","서울특별시 강동구 천호동 563호   ","","","동아코아","20070630100431","I","2018-08-31 23:59:59.0","쇼핑센터","211055.486155787    ","448786.697371515    ",""
"3240000","2005324011907500010","20050927","","02","휴업","2","휴업처리","","","","","02   478 219","1735","","서울특별시 강동구 천호동 421번지 1호   ","","","천호시장","20070630100431","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","211196.195653708    ","448722.851784118    ",""
"3240000","2006324011907500001","20060525","","02","휴업","2","휴업처리","","","","20060531","02 4262001","17600","","서울특별시 강동구 천호동 563호   ","","","이천일아울렛 천호점","20070630100431","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","211055.486155787    ","448786.697371515    ",""
"3240000","2006324011907500002","20060525","","01","영업/정상","1","정상영업","","","","","02-2224-6600","17600","134873","서울특별시 강동구 천호동 563번지","서울특별시 강동구 구천면로 189 (천호동)","134873","이천일아울렛 천호점","20200304130502","U","2020-03-06 02:40:00.0","그 밖의 대규모점포","211055.486155787    ","448786.697371515    ","대규모점포"
"3240000","2006324011907500003","20060721","","01","영업/정상","1","정상영업","","","","","0234319000","3295.46","134840","서울특별시 강동구 성내동 25번지 1호","서울특별시 강동구 천호대로162길 34 (성내동)","134840","이안강동주상복합상가","20141015133610","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","211238.661063855    ","448150.595848877    ","대규모점포"
"3240000","2007324013907500001","20070605","","01","영업/정상","1","정상영업","","","","","02-3393-3466","3513.8","134814","서울특별시 강동구 길동 414번지 10호","서울특별시 강동구 진황도로 99 (길동)","134814","강동한신휴플러스","20151126180434","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","212081.019857419    ","448209.124823551    ","대규모점포"
"3240000","2008324013907500001","20081107","20081107","04","취소/말소/만료/정지/중지","4","직권취소","","","","","3400-8000","14176","134020","서울특별시 강동구 천호동 42번지","","","삼성테드크(주)홈플러스강동점","20110428150017","I","2018-08-31 23:59:59.0","대형마트","212501.369116329    ","449282.31038379     ",""
"3240000","2009324013907500001","20081107","","01","영업/정상","1","정상영업","","","","","000234008000","14176","134861","서울특별시 강동구 천호동 42번지","서울특별시 강동구 양재대로 1571 (천호동)","134861","홈플러스 강동점","20171127091550","I","2018-08-31 23:59:59.0","대형마트","212501.369116329    ","449282.31038379     ","대규모점포"
"3240000","2010324013907500001","20100506","","01","영업/정상","1","정상영업","","","","","02-470-9205","3620.92","134811","서울특별시 강동구 길동 339번지 1호","서울특별시 강동구 양재대로124길 32 (길동)","134811","동서울오네뜨상가","20141007203806","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","212624.891449347    ","448937.811380947    ","대규모점포"
"3240000","2011324013907500001","20110927","","03","폐업","3","폐업처리","20171012","","","","4782268","1153.33","134819","서울특별시 강동구 둔촌1동 172번지 1호","서울특별시 강동구 양재대로 1330 (둔촌동)","134061","(주)지에스리테일 둔촌점","20180326084626","I","2018-08-31 23:59:59.0","구분없음","211979.520569314    ","446932.653730601    ","준대규모점포"
