"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","점포구분명"
"3080000","1966308016907500009","19661219","","01","영업/정상","1","정상영업","","","","","02-989-4730","5301.07","","서울특별시 강북구 수유동 54번지 5호 수유시장","서울특별시 강북구 도봉로67길 18 수유시장 (수유동)","01117","수유시장","20190311192347","I","2019-03-13 02:21:48.0","그 밖의 대규모점포","201956.180985499    ","458714.365820521    ","대규모점포"
"3080000","1971308013907500001","19710719","","01","영업/정상","1","정상영업","","","","","02-901-1683","2651","142061","서울특별시 강북구 번1동 413번지 3호","서울특별시 강북구 한천로123길 26 (번동)","142061","북부시장","20140918113924","I","2018-08-31 23:59:59.0","시장","202608.934103734    ","459320.030764534    ","대규모점포"
"3080000","1971308016907500002","19711118","","01","영업/정상","1","정상영업","","","","","02-902-1353","3634.6","","서울특별시 강북구 수유동 32번지 2호 수유중앙시장","서울특별시 강북구 노해로17길 21 수유중앙시장 (수유동)","01076","수유중앙시장","20190311185037","I","2019-03-13 02:21:48.0","그 밖의 대규모점포","201812.904685238    ","459775.992830125    ","대규모점포"
"3080000","1975308016907500002","19750211","","01","영업/정상","1","정상영업","","","","","02-989-0740","5023.11","","서울특별시 강북구 미아동 701번지 3호 동북프라자","서울특별시 강북구 솔샘로 233 동북프라자 (미아동)","01189","동북프라자","20190311192506","I","2019-03-13 02:21:48.0","그 밖의 대규모점포","201589.777957863    ","457545.100871485    ","대규모점포"
"3080000","197530801690752","19750211","","01","영업/정상","1","정상영업","","","","","02-980-0740","3243","","서울특별시 강북구 미아동 701번지 3호 동북프라자","서울특별시 강북구 솔샘로 233 동북프라자 (미아동)","01189","동북시장","20180713151359","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","201589.777957863    ","457545.100871485    ","대규모점포"
"3080000","1998308007507500012","19981012","","02","휴업","2","휴업처리","","","","","02 9880450","","","서울특별시 강북구 수유동 63호   ","","","수유프라자","20070630104645","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","202000.513660624    ","458815.97773382     ",""
"3080000","1998308009207500001","19980625","","01","영업/정상","1","정상영업","","","","","02 9822278","4239.91","","서울특별시 강북구 수유동 63번지","서울특별시 강북구 도봉로 261 (수유동 삼호아파트수유프라자)","01114","수유프라자","20200402110604","U","2020-04-04 02:40:00.0","복합쇼핑몰","202000.513660624    ","458815.97773382     ","대규모점포"
"3080000","2003000000007500013","20031209","","01","영업/정상","1","정상영업","","","","","982-2278","0","142874","서울특별시 강북구 수유동 63번지","서울특별시 강북구 도봉로 261 (수유동)","142874","수유프라자","20150519110037","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","202000.513660624    ","458815.97773382     ","대규모점포"
"3080000","2003308007507500005","20030425","","01","영업/정상","1","정상영업","","","","","02 9881430","9258","","서울특별시 강북구 미아동 58호","서울특별시 강북구 도봉로 45 (미아동)","142100","숭인시장","20190311192207","U","2019-03-13 02:40:00.0","그 밖의 대규모점포","202558.581755334    ","456709.916330722    ","대규모점포"
"3080000","2006308009207500001","20061214","","01","영업/정상","1","정상영업","","","","","02   9442500","45651.37","","서울특별시 강북구 미아동 70번지 6   호","서울특별시 강북구 도봉로 62 (미아동)","142804","롯데백화점 미아점","20170424142249","I","2018-08-31 23:59:59.0","백화점","202625.646264572    ","456875.973976242    ","대규모점포"
