"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","점포구분명"
"3150000","1987315016607500006","19871030","","01","영업/정상","1","정상영업","","","","","02-2602-5757","1568","","서울특별시 강서구 화곡동 370번지 76호","서울특별시 강서구 월정로30길 69 (화곡동)","07765","화곡중앙시장","20180529181426","I","2018-08-31 23:59:59.0","시장","185745.73257287     ","448140.292711073    ","대규모점포"
"3150000","1995315007407500001","19950501","","02","휴업","2","휴업처리","","","","","0226002002","0","","서울특별시 강서구 화곡동 1095호   ","","","그랜드패션아울렛","20070714135524","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","186786.622461585    ","450297.70265223     ",""
"3150000","1999315010007500001","19700820","","01","영업/정상","1","정상영업","","","","","02  26622751","2702","","서울특별시 강서구 방화동 620호","","","(주)공항시장","20130501090304","I","2018-08-31 23:59:59.0","시장","","","대규모점포"
"3150000","2000315010007500001","20001006","","02","휴업","2","휴업처리","","","","","0236649400","0","","서울특별시 강서구 가양동 18번지 24호   ","","","(주)이랜드리테일홈에버가양점","20070714135524","I","2018-08-31 23:59:59.0","쇼핑센터","186687.131804431    ","451342.773451086    ",""
"3150000","2002315007407500001","20020801","","02","휴업","2","휴업처리","","","","","","0","","서울특별시 강서구 방화동 567번지 4호   ","","","방신종합시장 재건축조합","20070714135524","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","183315.556652953    ","452204.165533971    ",""
"3150000","2003315010007500030","20030123","","02","휴업","2","휴업처리","","","","","0221661052","","","서울특별시 강서구 과해동 272호   ","","","신세계이마트(공항점)","20070714135524","I","2018-08-31 23:59:59.0","대형마트","","",""
"3150000","2004315010007500001","20040219","","02","휴업","2","휴업처리","","","","","0226622751","","","서울특별시 강서구 방화동 620호   ","","","(주)공항시장","20070714135524","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","","",""
"3150000","2004315010007500033","19991228","","01","영업/정상","1","정상영업","","","","","02 2101 1053","17262.29","","서울특별시 강서구 가양동 449번지 19  호","서울특별시 양천로 559 (가양이마트(E-MART))","157804","(주)이마트 가양점","20200504110627","U","2020-05-06 02:40:00.0","대형마트","187761.194273879    ","450640.214509068    ","대규모점포"
"3150000","2004315010007500034","20040503","","02","휴업","2","휴업처리","","","","","0226060101","","","서울특별시 강서구 화곡동 1095호   ","","","그랜드백화점(주)마트화곡점","20070714135524","I","2018-08-31 23:59:59.0","대형마트","186786.622461585    ","450297.70265223     ",""
"3150000","2004315010007500035","19991216","","03","폐업","3","폐업처리","20120201","","","","0226572126","8762","","서울특별시 강서구 등촌동 678번지 14호","","","그랜드백화점(주)마트강서점","20120210104731","I","2018-08-31 23:59:59.0","대형마트","185732.424363656    ","450884.528795882    ","대규모점포"
