"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","점포구분명"
"3200000","1970320008007500004","19701203","","01","영업/정상","1","정상영업","","","","","02 8782184","","","서울특별시 관악구 봉천동 951번지 25호   ","","","봉일시장","20070630104816","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","194486.270488664    ","442632.469540589    ",""
"3200000","1971320008007500002","19711222","","01","영업/정상","1","정상영업","","","","","02 8782184","","","서울특별시 관악구 봉천동 951번지 25호   ","","","봉일시장","20070630104816","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","194486.270488664    ","442632.469540589    ",""
"3200000","1972320008007500015","19720129","","01","영업/정상","1","정상영업","","","","","02-882-0492","1714","","서울특별시 관악구 봉천동 502번지 4호","서울특별시 관악구 양녕로 49 (봉천동)","151840","봉천현대시장","20171024132026","I","2018-08-31 23:59:59.0","시장","195206.056916766    ","442716.301708689    ","대규모점포"
"3200000","1975320008007500013","19751226","","01","영업/정상","1","정상영업","","","","","02 8788001","288","","서울특별시 관악구 신림동 1426번지 7호","","","가야쇼핑","20100217104344","I","2018-08-31 23:59:59.0","시장","193750.825947451    ","442753.219280937    ",""
"3200000","1988320008007500019","19881023","","01","영업/정상","1","정상영업","","","","","02 8871871","7081.47","151725","서울특별시 관악구 봉천동 31번지 1호","서울특별시 관악구 관악로 212 (봉천동)","151725","관악프라자","20141017103645","I","2018-08-31 23:59:59.0","쇼핑센터","195963.335274799    ","442381.536010445    ","대규모점포"
"3200000","1992320008007500020","19920826","","01","영업/정상","1","정상영업","","","","","02 8820924","4600.89","","서울특별시 관악구 봉천동 1000호","서울특별시 관악구 관악로40길 47 (봉천동)","151050","관악현대상가","20140924085447","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","196257.833652996    ","443341.379446435    ","대규모점포"
"3200000","1993320008007500021","19930701","","01","영업/정상","1","정상영업","","","","","02 8854271","2072","","서울특별시 관악구 신림동 1694호","서울특별시 관악구 신림로29길 8 (신림동)","151761","신림현대종합상가","20150303115312","I","2018-08-31 23:59:59.0","시장","193957.944323928    ","441437.774867372    ","대규모점포"
"3200000","2004320008007500001","20040922","","01","영업/정상","1","정상영업","","","","","02-888-0630","6516.61","","서울특별시 관악구 신림동 1422번지 5호","서울특별시 관악구 신림로 340 (신림동)","151890","르네상스쇼핑몰(주)","20161117171518","I","2018-08-31 23:59:59.0","복합쇼핑몰","193746.833837509    ","442510.775085572    ","대규모점포"
"3200000","2005320008007500001","20050215","","02","휴업","2","휴업처리","","","","","02889 2003","5697","","서울특별시 관악구 신림동 1422번지 5호   ","","","르네상스쇼핑몰(주)","20070630104816","I","2018-08-31 23:59:59.0","쇼핑센터","193746.833837509    ","442510.775085572    ",""
"3200000","2005320008007500002","20050215","","02","휴업","2","휴업처리","","","","","02889 2003","5697","","서울특별시 관악구 신림동 1422번지 5호   ","","","르네상스쇼핑몰(주)","20070630104816","I","2018-08-31 23:59:59.0","쇼핑센터","193746.833837509    ","442510.775085572    ",""
"3200000","2005320008007500003","20051129","","02","휴업","2","휴업처리","","","","","02 8564355","1274","","서울특별시 관악구 신림동 1602번지 2호   ","","","관악종합시장","20070630104816","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","193580.366498464    ","442144.670802989    ",""
"3200000","2006320008007500001","20060825","","01","영업/정상","1","정상영업","","","","","0262768006","3608.51","","서울특별시 관악구 봉천동 862번지 1호","서울특별시 관악구 남부순환로 1820 (봉천동)","151836","라붐아울렛","20140924085336","I","2018-08-31 23:59:59.0","복합쇼핑몰","195703.043681259    ","442094.085759338    ","대규모점포"
"3200000","2009320013107500001","20090204","","01","영업/정상","1","정상영업","","","","","02   8818004","16159.16","151930","서울특별시 관악구 서원동 1641번지 2호","서울특별시 관악구 신림로 330 (신림동)","151930","포도몰","20200218130602","U","2020-02-20 02:40:00.0","복합쇼핑몰","193754.427350029    ","442407.201247108    ","대규모점포"
"3200000","2011320019107500001","20110810","","01","영업/정상","1","정상영업","","","","","02)873-0637","1203","151836","서울특별시 관악구 봉천동 1567번지 1호","서울특별시 관악구 쑥고개로 111 (봉천동)","151836","(주)지에스리테일 관악점","20160217110825","I","2018-08-31 23:59:59.0","구분없음","195431.465419568    ","441896.302934956    ","준대규모점포"
"3200000","2011320019107500002","20110901","","01","영업/정상","1","정상영업","","","","","02-2039-8215","529","151818","서울특별시 관악구 봉천동 1629번지 2호","서울특별시 관악구 봉천로 576 (봉천동)","151818","(주)지에스리테일 낙성대점","20160217110757","I","2018-08-31 23:59:59.0","구분없음","196501.159765837    ","441640.881044209    ","준대규모점포"
"3200000","2011320019107500003","20111019","","01","영업/정상","1","정상영업","","","","","0232853651","577.2","151823","서울특별시 관악구 중앙동 463번지 4호 메카플러스 지하1층","서울특별시 관악구 양녕로 46 (봉천동)","151823","홈플러스 익스프레스 봉천점","20171127162321","I","2018-08-31 23:59:59.0","구분없음","195274.343265834    ","442663.498606503    ","준대규모점포"
"3200000","2011320019107500004","20111026","","01","영업/정상","1","정상영업","","","","","02-3285-3651","414.86","151826","서울특별시 관악구 은천동 937번지 6호 동영빌딩 1층","서울특별시 관악구 은천로 51 (봉천동)","151826","(주)이마트에브리데이 봉천동점","20170327171553","I","2018-08-31 23:59:59.0","구분없음","194770.417438694    ","442676.831360439    ","준대규모점포"
"3200000","2011320019107500005","20111102","","03","폐업","3","폐업처리","20200305","","","","0232858561","156.1","151858","서울특별시 관악구 대학동 240번지 4호","서울특별시 관악구 신림로 101 (신림동)","151015","홈플러스 익스프레스 신림점","20200309094124","U","2020-03-11 02:40:00.0","구분없음","194457.492960109    ","440910.563872941    ","준대규모점포"
"3200000","2012320019107500001","19991207","","01","영업/정상","1","정상영업","","","","","02-856-6022","3383.98","151888","서울특별시 관악구 미성동 607번지 73호","서울특별시 관악구 난곡로 220 (신림동)","151750","(주)천성세이브마트","20140924095536","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","192674.885947244    ","441352.743493574    ","대규모점포"
"3200000","2012320019107500002","19971107","","01","영업/정상","1","정상영업","","","","","02-3289-8728","21711.05","151718","서울특별시 관악구 보라매동 729호 22통 롯데백화점","서울특별시  봉천로 209","151718","롯데쇼핑(주) 관악점","20170424100419","I","2018-08-31 23:59:59.0","백화점","193301.885808714    ","443151.561302292    ","대규모점포"
"3200000","2012320019107500003","20120521","","03","폐업","3","폐업처리","20160926","","","","02-523-5691","136.9","151802","서울특별시 관악구 남현동 1078번지 2호","서울특별시 관악구 남현길 79 (남현동)","151802","롯데쇼핑(주)롯데슈퍼 남현2점","20160926180815","I","2018-08-31 23:59:59.0","구분없음","197790.079787758    ","441231.59187991     ","준대규모점포"
"3200000","2013320019107500001","20130627","","01","영업/정상","1","정상영업","","","","","02-6948-8121","14784","151080","서울특별시 관악구 남현동 산 69번지 51호","서울특별시 관악구 과천대로 909 (남현동)","151801","홈플러스 서울남현점","20171127161804","I","2018-08-31 23:59:59.0","대형마트","198449.00217100000  ","441337.85896100000  ","대규모점포"
"3200000","2014320019107500001","19780807","","01","영업/정상","1","정상영업","","","","","02-865-7577","0","","","서울특별시 관악구 조원로16길 27 (신림동)","151015","신림중앙시장","20161228132017","I","2018-08-31 23:59:59.0","시장","192096.349629652    ","442339.213626523    ","대규모점포"
"3200000","2014320019107500002","20140123","","01","영업/정상","1","정상영업","","","","","02-889-8188","4379.68","151895","서울특별시 관악구 대학동 1523번지","서울특별시 관악구 신림로23길 16 (신림동)","151015","일성트루엘상가","20160203101730","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","194203.82517200000  ","441229.92915700000  ","대규모점포"
"3200000","2014320019107500003","20140516","","01","영업/정상","1","정상영업","","","","","02  2006 2156","634.45","","","서울특별시 관악구 청림6길 3 110113호 (봉천동 관악푸르지오 상가)","151050","(주)지에스리테일 관악 봉천점","20160217110719","I","2018-08-31 23:59:59.0","구분없음","196384.544308046    ","442822.980265735    ","준대규모점포"
"3200000","2015320021107500001","19770108","","01","영업/정상","1","정상영업","","","","","028531866","925","","","서울특별시 관악구 난곡로26길 4 (신림동)","151015","우림시장","20150916164552","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","192893.347466833    ","440903.81963928     ","대규모점포"
"3200000","2015320021107500002","20150709","","01","영업/정상","1","정상영업","","","","","02-885-4579","4096.65","151803","서울특별시 관악구 봉천동 10번지 4호 외14필지","서울특별시 관악구 청림3길 10 (봉천동)","151803","관악쇼핑","20160720180616","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","196338              ","442951              ","대규모점포"
"3200000","2018320021707500001","19800828","","01","영업/정상","1","정상영업","","","","","888-0930","1294","","서울특별시 관악구 봉천동 1638번지 20호","서울특별시 관악구 남부순환로248길 35 (봉천동)","08793","원당종합시장","20180305170819","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","196912.833572618    ","441358.893188526    ","대규모점포"
