"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","점포구분명"
"3040000","2001304007307500001","19701223","","01","영업/정상","1","정상영업","","","","","02-463-7521","1524.1","","서울특별시 광진구 자양동 44번지 2호","서울특별시 광진구 뚝섬로 491 (자양동)","143843","노룬산시장","20131223163635","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","205663.081069121    ","448250.363358949    ","대규모점포"
"3040000","2001304007307500002","19710501","","01","영업/정상","1","정상영업","","","","","02-463-5611","6426.48","","서울특별시 광진구 자양동 6번지 20호","서울특별시 광진구 아차산로30길 39 (자양동)","143841","조양시장","20171208103845","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","205886.288968009    ","448517.338628068    ","대규모점포"
"3040000","2001304007307500003","19710508","","01","영업/정상","1","정상영업","","","","","02-467-0254","2107.8","","서울특별시 광진구 중곡동 229번지 5호","서울특별시 광진구 긴고랑로11길 11 (중곡동)","143903","중곡제일시장","20120104170526","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","207114.498872176    ","451296.049443757    ","대규모점포"
"3040000","2001304007307500004","19740209","","01","영업/정상","1","정상영업","","","","","02-457-8045","2529.91","","서울특별시 광진구 구의동 66번지 28호","서울특별시 광진구 광나루로 531-5 (구의동)","143819","구의시장","20140422135425","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","207754.575203142    ","449270.23146706     ","대규모점포"
"3040000","2001304007307500005","19740701","","03","폐업","3","폐업처리","20060123","","","","02-466-6767","3185.08","","서울특별시 광진구 군자동 361번지 6호","","","화양시장","20120104163252","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","","","대규모점포"
"3040000","2001304007307500006","19770131","","01","영업/정상","1","정상영업","","","","","02 4441707","1137.92","","서울특별시 광진구 중곡동 79번지 13호","서울특별시 광진구 영화사로 12 (중곡동)","143888","신성종합시장","20120104162051","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","207747.893953282    ","450639.201015458    ","대규모점포"
"3040000","2001304007307500007","19790709","","03","폐업","3","폐업처리","20111229","","","","02-454-0365","4422","","서울특별시 광진구 광장동 145번지 8호","서울특별시 광진구 아차산로 635 (광장동)","143752","워커힐상가","20120104161230","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","209345.941766315    ","449811.718207794    ","대규모점포"
"3040000","2001304007307500008","19790716","","01","영업/정상","1","정상영업","","","","","02 4577480","2418.11","","서울특별시 광진구 자양동 602호","서울특별시 광진구 자양번영로6길 20 (자양동)","143865","자양종합시장","20140723190151","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","206686.364451141    ","447752.463189936    ","대규모점포"
"3040000","2001304007307500009","19800407","","01","영업/정상","1","정상영업","","","","","02-465-7965","2456.45","","서울특별시 광진구 화양동 10번지 1호","서울특별시 광진구 능동로13길 39 (화양동)","143914","한아름시장","20120104145037","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","206107.775163579    ","449029.342177779    ","대규모점포"
"3040000","2001304007307500010","19800618","","01","영업/정상","1","정상영업","","","","","02-467-5200","2135.53","","서울특별시 광진구 중곡동 229번지 15호","서울특별시 광진구 능동로47길 30 (중곡동)","143903","광성시장","20120104144200","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","207098.994772766    ","451260.44574067     ","대규모점포"
"3040000","2001304007307500011","19890823","","01","영업/정상","1","정상영업","","","","","02--450-8832","3995.19","","서울특별시 광진구 구의동 546번지 1호","서울특별시 광진구 강변역로 50 (구의동)","143715","동서울터미널상가","20120104143232","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","208201.993320839    ","447967.299542306    ","대규모점포"
"3040000","2001304007307500012","19901117","","01","영업/정상","1","정상영업","","","","","02 4543916","3625.18","","서울특별시 광진구 광장동 484호","서울특별시 광진구 광나루로 635 (광장동)","143814","현대종합상가","20120104160345","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","208644.819209521    ","448711.725750126    ","대규모점포"
"3040000","2001304007307500013","19921105","","01","영업/정상","1","정상영업","","","","","02-454-7529","87919","","서울특별시 광진구 구의동 611호","서울특별시 광진구 광나루로56길 34 (구의동)","143832","구의현대종합상가","20120104160303","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","208403.746065593    ","448490.239179557    ","대규모점포"
"3040000","2001304007307500014","19970130","","01","영업/정상","1","정상영업","","","","","02-3437-2572","5880.92","","서울특별시 광진구 구의동 631번지 1호","서울특별시 광진구 광나루로56길 63 (구의동)","143761","프라임프라자상가","20120104153445","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","208558.286631653    ","448353.905156369    ","대규모점포"
"3040000","2001304007307500015","19980323","","01","영업/정상","1","정상영업","","","","","02-3424-0323","49840","","서울특별시 광진구 구의동 546번지 4호","서울특별시 광진구 광나루로56길 85 (구의동)","143721","테크노-마트21","20180906154255","U","2018-09-06 23:59:59.0","그 밖의 대규모점포","208394.416382167    ","448165.279999905    ","대규모점포"
"3040000","2001304007307500016","19980323","","01","영업/정상","1","정상영업","","","","20040430","02-3424-2500","4122","","서울특별시 광진구 구의동 546번지 4호","서울특별시 광진구 광나루로56길 85 (구의동)","143721","롯데쇼핑(주)롯데마트 강변점","20170613133013","I","2018-08-31 23:59:59.0","대형마트","208394.416382167    ","448165.279999905    ","대규모점포"
"3040000","2006304007307500001","20060228","","01","영업/정상","1","정상영업","","","","","02-3436-0005","3004.13","","서울특별시 광진구 자양동 663번지 21  호","서울특별시 광진구 자양로5길 33 (자양동)","143873","프라젠 스파","20131226142925","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","207368.624495222    ","447632.296040333    ","대규모점포"
"3040000","2006304007307500002","20061214","","01","영업/정상","1","정상영업","","","","","000220241234","11045.55","","서울특별시 광진구 자양동 227번지 7호","서울특별시 광진구 아차산로 272 (자양동)","143758","(주)이마트 자양점","20200508105456","U","2020-05-10 02:40:00.0","대형마트","206349.675048285    ","448396.939704285    ","대규모점포"
"3040000","2008304010307500001","20080822","","01","영업/정상","1","정상영업","","","","","0002 22182802","26203.17","143003","서울특별시 광진구 자양동 227번지 342호 롯데백화점 스타시티점","서울특별시 광진구 능동로 92 (자양동)","143854","롯데백화점 건대스타시티점","20180705084636","I","2018-08-31 23:59:59.0","백화점","206217.434726027    ","448506.218743834    ","대규모점포"
"3040000","2008304010307500002","20080903","","01","영업/정상","1","정상영업","","","","","02-466-6767","3741.82","143150","서울특별시 광진구 군자동 503번지","서울특별시 광진구 광나루로 369 (군자동)","143840","파크에비뉴","20120104111042","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","206212.244268239    ","449577.174890763    ","대규모점포"
"3040000","2011304015507500001","20110922","","01","영업/정상","1","정상영업","","","","","000204535605","133.4","143885","서울특별시 광진구 중곡2동 41번지 1호","서울특별시 광진구 긴고랑로 60 (중곡동)","143885","롯데쇼핑(주)롯데슈퍼 중곡점","20170417141212","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","207235.581247334    ","451072.124043842    ","준대규모점포"
"3040000","2011304015507500002","20110922","","01","영업/정상","1","정상영업","","","","","02-463-1903","662.55","143903","서울특별시 광진구 중곡1동 229번지 5호","서울특별시 광진구 긴고랑로11길 11 (중곡동)","143903","(주)이마트에브리데이 중곡동점","20170323144747","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","207114.498872176    ","451296.049443757    ","준대규모점포"
"3040000","2011304015507500003","20111004","","01","영업/정상","1","정상영업","","","","","02-469-1333","1162","143914","서울특별시 광진구 화양동 10번지 1호","서울특별시 광진구 능동로13길 39 (화양동)","143914","(주)지에스리테일GS수퍼 광진화양점","20160211140144","I","2018-08-31 23:59:59.0","복합쇼핑몰","206107.775163579    ","449029.342177779    ","준대규모점포"
"3040000","2011304015507500004","20111005","","01","영업/정상","1","정상영업","","","","","02-3437-8546","235.8","143888","서울특별시 광진구 중곡4동 93번지 2호","서울특별시 광진구 용마산로 10 (중곡동)","143888","홈플러스익스프레스 중곡2점","20171205104323","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","207778.116493941    ","450250.255643789    ","준대규모점포"
"3040000","2011304015507500005","20111005","","03","폐업","3","폐업처리","20200719","","","","02-2201-8547","194.7","143824","서울특별시 광진구 구의1동 236번지 53호","서울특별시 광진구 자양로 168 (구의동)","143824","홈플러스(주)익스프레스 구의점","20200723085943","U","2019-12-06 22:05:00.0","그 밖의 대규모점포","207400.608063491","448930.683211743",""
"3040000","2012304015507500001","20120306","","01","영업/정상","1","정상영업","","","","","22018547","274.4","143898","서울특별시 광진구 중곡2동 157번지 1호","서울특별시 광진구 능동로 314 (중곡동)","143898","홈플러스(주)익스프레스 중곡점","20171116084843","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","207001.872308692    ","450597.61492646     ","준대규모점포"
"3040000","2012304015507500002","20120321","","01","영업/정상","1","정상영업","","","","","02-3437-5601","132.23","143817","서울특별시 광진구 구의2동 49번지 4호","서울특별시 광진구 자양로 293 (구의동)","143817","롯데쇼핑(주)롯데슈퍼 아차산점","20170417141147","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","208075.543534642    ","449971.642025946    ","준대규모점포"
