"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","점포구분명"
"3160000","1962316007107500001","19620925","","01","영업/정상","1","정상영업","","","","","02 8542709","","","서울특별시 구로구 구로동 736번지 1   호   ","","","구로시장","20070707095417","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","","",""
"3160000","1968316007107500002","19681023","","01","영업/정상","1","정상영업","","","","","0226113888","","","서울특별시 구로구 오류동 38번지 7   호   ","","","오류시장","20070707095417","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","","",""
"3160000","1971316007107500001","19711019","","01","영업/정상","1","정상영업","","","","","02 6170617","","","서울특별시 구로구 고척동 50번지 48  호   ","","","고척시장","20070707095417","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","","",""
"3160000","1972316007107500005","19720121","","01","영업/정상","1","정상영업","","","","","02 8551036","","","서울특별시 구로구 구로동 169번지 2   호   ","","","배영설비(주)","20070707095417","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","","",""
"3160000","1976316007107500001","19760806","","01","영업/정상","1","정상영업","","","","","02 6136162","","","서울특별시 구로구 개봉동 324번지 1   호   ","","","개봉중앙시장","20070707095417","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","","",""
"3160000","1976316007107500002","19761228","","01","영업/정상","1","정상영업","","","","","0226172661","","","서울특별시 구로구 개봉동 361번지 1   호   ","","","개봉제일시장","20070707095417","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","","",""
"3160000","1986316007107500001","19861210","","02","휴업","2","휴업처리","","20170704","99991231","","02 6869982","13","","서울특별시 구로구 오류동 47번지 1   호","","","삼익쇼핑센터","20170704130829","I","2018-08-31 23:59:59.0","쇼핑센터","186015.738369848    ","443657.614265375    ","대규모점포"
"3160000","1986316007107500015","19861101","","01","영업/정상","1","정상영업","","","","","02 2681-1133","10705","","서울특별시 구로구 고척동 103번지 4호","서울특별시 구로구 중앙로3길 50 (고척동 고척산업용품종합상가)","08225","고척산업용품상가","20190402203654","U","2019-04-04 02:40:00.0","그 밖의 대규모점포","187619.596959162    ","444186.923109714    ","대규모점포"
"3160000","1989316007107500020","19890320","","01","영업/정상","1","정상영업","","","","","02 8613891","","","서울특별시 구로구 구로동 685번지 140호   ","서울특별시 구로구 구일로10길 93 (구로동)","","사모아종합상가","20070707095417","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","189052.101789082    ","443748.279289935    ",""
"3160000","1993316007107500001","19930830","","02","휴업","2","휴업처리","","","","","02 8181000","24362","","서울특별시 구로구 구로동 573호   ","서울특별시 구로구 구로중앙로 152 (구로동)","","애경백화점","20070707095417","I","2018-08-31 23:59:59.0","백화점","189570.360930049    ","444336.051330144    ",""
"3160000","1993316007107500003","19930527","","01","영업/정상","1","정상영업","","","","","0226198068","","","서울특별시 구로구 고척동 269번지 1   호   ","","","개봉프라자","20070707095417","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","","",""
"3160000","1993316007107500015","19930107","","02","휴업","2","휴업처리","","","","","02 6177914","","","서울특별시 구로구 고척동 83번지 6호   ","서울특별시 구로구 중앙로3길 49 (고척동)","","동국종합상가","20070707095417","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","187718.801171032    ","444056.996752313    ",""
"3160000","1994316007107500024","19940330","","01","영업/정상","1","정상영업","","","","","02 6346460","","","서울특별시 구로구 구로동 614번지 33  호   ","","","라이프공구종합상가","20070707095417","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","","",""
"3160000","1996316007107500001","19960627","","01","영업/정상","1","정상영업","","","","","0226330081","","","서울특별시 구로구 구로동 604번지 1   호   ","","","서울구로기계공구상가","20070707095417","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","","",""
"3160000","1998316007107500001","19980114","","01","영업/정상","1","정상영업","","","","","0226310460","","","서울특별시 구로구 구로동 636번지 62  호   ","","","공구상가일번지","20070707095417","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","","",""
"3160000","1998316007107500002","19980512","","02","휴업","2","휴업처리","","","","","0226252631","","","서울특별시 구로구 구로동 1258호   ","서울특별시 구로구 경인로53길 15 (구로동)","","중앙유통단지","20070707095417","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","188840.515865617    ","444306.771104527    ",""
"3160000","1998316007107500003","19981126","","01","영업/정상","1","정상영업","","","","","0226171237","0","","서울특별시 구로구 고척동 73번지 3   호","서울특별시 구로구 경인로 393-7 (고척동 123전자타운)","152722","일이삼전자타운","20140113153545","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","187826.698183821    ","443925.52468616     ","대규모점포"
"3160000","1999316007107500001","19990727","","01","영업/정상","BBBB","","","","","","","7671","","서울특별시 구로구 구로동 188번지 26  호   ","","","이마트구로점","20070707095417","I","2018-08-31 23:59:59.0","대형마트","","",""
"3160000","2005316009307500001","20050331","","02","휴업","2","휴업처리","","","","","","8555","","서울특별시 구로구 구로동 188번지 26호   ","서울특별시 구로구 디지털로32길 43 (구로동)","","(주)신세계이마트구로점","20070707095417","I","2018-08-31 23:59:59.0","대형마트","190901.977946718    ","442466.813410528    ",""
"3160000","2005316009307500002","20050331","","02","휴업","2","휴업처리","","","","","","8555","","서울특별시 구로구 구로동 188번지 26호   ","서울특별시 구로구 디지털로32길 43 (구로동)","","(주)신세계이마트구로점","20070707095417","I","2018-08-31 23:59:59.0","대형마트","190901.977946718    ","442466.813410528    ",""
"3160000","2005316009307500003","20050601","","02","휴업","2","휴업처리","","","","","02  26392500","10502","","서울특별시 구로구 구로동 636번지 89호   ","서울특별시 구로구 경인로 482 (구로동)","","롯데마트 구로점","20070707095417","I","2018-08-31 23:59:59.0","대형마트","188669.484398215    ","444010.738380277    ",""
"3160000","2005316009307500004","20050601","","02","휴업","2","휴업처리","","","","","02  26392500","10502","","서울특별시 구로구 구로동 636번지 89호   ","서울특별시 구로구 경인로 482 (구로동)","","롯데마트 구로점","20070707095417","I","2018-08-31 23:59:59.0","대형마트","188669.484398215    ","444010.738380277    ",""
"3160000","2005316009307500005","20050601","","02","휴업","2","휴업처리","","","","","02  769 5828","6745","","서울특별시 구로구 구로동 636번지 89호   ","서울특별시 구로구 경인로 482 (구로동)","","비엔큐홈(구로점)","20070707095417","I","2018-08-31 23:59:59.0","대형마트","188669.484398215    ","444010.738380277    ",""
"3160000","2005316009307500006","20051115","","02","휴업","2","휴업처리","","","","","02 701 1137","11562","","서울특별시 구로구 고척동 75번지 1호   ","서울특별시 구로구 중앙로1길 42 (고척동)","","일이삼전자타운","20070707095417","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","187756.919450472    ","443962.832747371    ",""
"3160000","2005316009307500007","20051118","","02","휴업","2","휴업처리","","","","","02 26042001","9711","","서울특별시 구로구 고척동 76번지 41호   ","서울특별시 구로구 중앙로1길 36 (고척동)","","이천일아울렛구로점","20070707095417","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","187785.840457798    ","443997.135869884    ",""
"3160000","2007316011707500001","20070813","","01","영업/정상","1","정상영업","","","","","0226182080","11914","","서울특별시 구로구 신도림동 337번지 신도림1차푸르지오","서울특별시 구로구 경인로 661 신도림1차푸르지오 (신도림동)","08208","홈플러스(주) 신도림점","20191205113034","U","2019-12-07 02:40:00.0","대형마트","190005.132500398    ","445250.538868558    ","대규모점포"
"3160000","2007316011707500002","20070828","","01","영업/정상","1","정상영업","","","","","0226392500","15852.3","","서울특별시 구로구 구로동 636번지 89호","서울특별시 구로구 경인로 482 (구로동)","","롯데쇼핑(주) 롯데마트 구로점","20200128091604","U","2020-01-30 02:40:00.0","대형마트","188669.484398215    ","444010.738380277    ","대규모점포"
"3160000","2007316011707500003","20070927","","01","영업/정상","1","정상영업","","","","","380-5234","7337","","서울특별시 구로구 구로동 3번지 25호 외 31필지","서울특별시 구로구 새말로 97 (구로동외 31필지)","","(주) 이마트 신도림점","20200421205401","U","2020-04-23 02:40:00.0","대형마트","190232.524534335    ","444978.682746138    ","대규모점포"
"3160000","2007316011707500004","20071108","","01","영업/정상","1","정상영업","","","","","852-7550","15624","152050","서울특별시 구로구 구로동 501번지","서울특별시 구로구 구로중앙로 134 (구로동)","","나인스에비뉴","20140925085005","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","189682.799434964    ","444193.860003095    ","대규모점포"
"3160000","2007316011707500005","20071119","","03","폐업","3","폐업처리","20120502","","","","02  26392500","3352","152050","서울특별시 구로구 구로동 636번지 89호 롯데마트 지하1층","서울특별시 구로구 경인로 482 (구로동롯데마트 지하1층)","","롯데쇼핑(주) TRU구로점","20120502151600","I","2018-08-31 23:59:59.0","전문점","188669.484398215    ","444010.738380277    ","대규모점포"
"3160000","2007316011707500006","20071119","","01","영업/정상","1","정상영업","","","","","3424-7800","45744","152050","서울특별시 구로구 구로동 3번지 25호 외 31필지","서울특별시 구로구 새말로 97 (구로동외 31필지)","","신도림 테크노마트","20170526085814","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","190232.524534335    ","444978.682746138    ","대규모점포"
"3160000","2007316011707500007","19990727","","01","영업/정상","1","정상영업","","","","","2009-10011051","9927.72","152050","서울특별시 구로구 구로동 188번지 26호","서울특별시 구로구 디지털로32길 43 (구로동)","","(주)이마트 구로점","20200421204857","U","2020-04-23 02:40:00.0","대형마트","190901.977946718    ","442466.813410528    ","대규모점포"
"3160000","2007316011707500008","19930830","","03","폐업","3","폐업처리","20191014","","","","02818 0812","24862.71","152050","서울특별시 구로구 구로동 573번지","서울특별시 구로구 구로중앙로 152 (구로동)","","AK PLAZA","20191015092530","U","2019-10-17 02:40:00.0","백화점","189570.360930049    ","444336.051330144    ","대규모점포"
"3160000","2007316011707500009","20051117","","01","영업/정상","1","정상영업","","","","","000220935072","13043.88","152080","서울특별시 구로구 고척동 76번지 41호","서울특별시 구로구 중앙로1길 36 (고척동)","","이천일 아울렛 구로점","20200225135527","U","2020-02-27 02:40:00.0","그 밖의 대규모점포","187785.840457798    ","443997.135869884    ","대규모점포"
"3160000","2007316011707500010","19890320","","01","영업/정상","1","정상영업","","","","","8373764","2762","152050","서울특별시 구로구 구로동 685번지 140호","서울특별시 구로구 구일로10길 93 (구로동)","","사모아종합상가","20131220111256","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","189052.101789082    ","443748.279289935    ","대규모점포"
"3160000","2007316011707500011","19861210","","01","영업/정상","1","정상영업","","","","","2686-9982","4389","152100","서울특별시 구로구 오류동 47번지 1호","서울특별시 구로구 경인로 192 (오류동)","","삼익쇼핑센타","20170704130450","I","2018-08-31 23:59:59.0","쇼핑센터","186015.738369848    ","443657.614265375    ","대규모점포"
"3160000","2007316011707500012","19980512","","01","영업/정상","1","정상영업","","","","","2625-2631","70845","152050","서울특별시 구로구 구로동 1258번지","서울특별시 구로구 경인로53길 15 (구로동)","","중앙유통단지","20150115180234","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","188840.515865617    ","444306.771104527    ","대규모점포"
"3160000","2007316011707500013","19960627","","01","영업/정상","1","정상영업","","","","","2633-0081","27535","152050","서울특별시 구로구 구로동 604번지 1호","서울특별시 구로구 구로중앙로 198 (구로동)","152864","서울구로기계공구상가","20180430172645","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","189277.761702183    ","444671.551731639    ","대규모점포"
