"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","점포구분명"
"3170000","1973317006707500006","19730912","","01","영업/정상","BBBB","","","","","","02 8035052","2063","","서울특별시 금천구 시흥동 831번지 6호   ","서울특별시 금천구 금하로 705 (시흥동)","","시흥중앙시장","20070707115915","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","191823.026849977    ","438834.378061101    ",""
"3170000","1977317006707500009","19771210","","01","영업/정상","1","정상영업","","","","","02 8034878","","","서울특별시 금천구 시흥동 884번지 5호   ","서울특별시 금천구 시흥대로52길 70 (시흥동)","","대명합동시장","20070707115915","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","191262.621370792    ","439137.99206467     ",""
"3170000","1980317006707500013","19800913","","01","영업/정상","1","정상영업","","","","","02-2243-0190","2258.01","","서울특별시 금천구 시흥동 956호","서울특별시 금천구 시흥대로18길 16 (시흥동)","","박미종합시장","20111228143929","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","191497.590452952    ","437562.242368734    ","대규모점포"
"3170000","1982317006707500014","19820114","","01","영업/정상","1","정상영업","","","","","02 8060123","","","서울특별시 금천구 시흥동 1002번지 1호   ","서울특별시 금천구 시흥대로47길 43 (시흥동)","","럭키남서울상가","20070707115915","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","191026.637157812    ","438701.205634976    ",""
"3170000","1987317006707500016","19870331","","01","영업/정상","1","정상영업","","","","","02 8057180","0","","서울특별시 금천구 시흥동 966호","서울특별시 금천구 시흥대로 46 (시흥동)","","시흥중앙철재상가","20141201160550","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","191390.785127877    ","437280.574150819    ","대규모점포"
"3170000","1987317006707500017","19870626","","01","영업/정상","1","정상영업","","","","","02 8081522","","","서울특별시 금천구 시흥동 984번지 6호   ","서울특별시 금천구 시흥대로 109 (시흥동)","","시흥산업용재유통센타","20070707115915","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","191384.606290141    ","437986.940834791    ",""
"3170000","1993317006707500023","19940314","","01","영업/정상","1","정상영업","","","","","02 8934527","","","서울특별시 금천구 독산동 293번지 5호   ","서울특별시 금천구 범안로 1209 (독산동)","","유창상가","20070707115915","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","190771.595589599    ","440515.66903538     ",""
"3170000","2002317006707500001","20020618","","01","영업/정상","1","정상영업","","20120130","20120624","20120625","02  21458500","12561","","서울특별시 금천구 독산동 295번지 10  호 외 5","서울특별시 금천구 두산로 71 (독산동)","153813","롯데쇼핑(주) VIC 마켓 금천점","20170425183606","I","2018-08-31 23:59:59.0","대형마트","190704.904312713    ","440940.384414334    ","대규모점포"
"3170000","2002317006707500002","20020618","","02","휴업","2","휴업처리","","","","","0230161500","14972.02","","서울특별시 금천구 시흥동 992번지 47호 외 1  ","서울특별시 금천구 시흥대로 201 (시흥동외 1)","","(주)이랜드리테일 홈에버 시흥점","20070707115915","I","2018-08-31 23:59:59.0","대형마트","191152.432649234    ","438865.160717275    ",""
"3170000","2002317006707500003","20021024","","03","폐업","3","폐업처리","20121123","","","","028905015","8642.24","","서울특별시 금천구 시흥동 831번지 6호","서울특별시 금천구 금하로 705 (시흥동)","","플라자 카멜리아","20121126163900","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","191823.026849977    ","438834.378061101    ","대규모점포"
"3170000","2003317008307500001","20031002","","01","영업/정상","1","정상영업","","","","","02  890 8125","29885.04","","서울특별시 금천구 독산동 291번지 7호","서울특별시 금천구 시흥대로 391 (독산동)","","홈플러스(주) 금천점","20171124101604","I","2018-08-31 23:59:59.0","대형마트","190809.507840375    ","440728.382273075    ","대규모점포"
"3170000","2003317008307500002","20031002","","01","영업/정상","BBBB","","","","","","0234598000","26776","","서울특별시 금천구 독산동 291번지 7호   ","서울특별시 금천구 시흥대로 391 (독산동)","","삼성테스코(주)홈플러스 금천점","20070707115915","I","2018-08-31 23:59:59.0","대형마트","190809.507840375    ","440728.382273075    ",""
"3170000","2003317008307500003","20031017","","01","영업/정상","BBBB","","","","","","02  34598000","26776.55","","서울특별시 금천구 독산동 291번지 7호   ","서울특별시 금천구 시흥대로 391 (독산동)","","삼성테스코(주)홈플러스 금천점","20070707115915","I","2018-08-31 23:59:59.0","대형마트","190809.507840375    ","440728.382273075    ",""
"3170000","2004317008307500001","20041002","","01","영업/정상","1","정상영업","","","","","02-809-7530","15648.38","","서울특별시 금천구 독산동 291번지 5호","서울특별시 금천구 시흥대로 399 (독산동)","","시티렉스","20141001102728","I","2018-08-31 23:59:59.0","쇼핑센터","190858.649482406    ","440808.541334678    ","대규모점포"
"3170000","2005317009407500001","20050826","","02","휴업","2","휴업처리","","","","","02868 9727","3745.05","","서울특별시 금천구 독산동 988번지 7호 외 27  ","서울특별시 금천구 시흥대로142길 24 (독산동외 27)","","남문시장","20070707115915","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","191127.423978879    ","441203.919968343    ",""
"3170000","2007317010507500001","20070208","","01","영업/정상","1","정상영업","","","","","02  20810114","21378","","서울특별시 금천구 가산동 60번지 27호","서울특별시 금천구 디지털로 188 (가산동)","","(주)원신더블유몰","20200825101442","U","2019-12-07 22:07:00.0","쇼핑센터","189997.455663258","441687.841171831",""
"3170000","2007317010507500002","20070501","","02","휴업","2","휴업처리","","","","","02855 5645","10298","","서울특별시 금천구 시흥동 879호 외 87필지  ","서울특별시 금천구 시흥대로62길 18 (시흥동외 87필지)","","현대시장","20070707115915","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","191224.607415902    ","439247.719038249    ",""
"3170000","2007317010507500003","20070719","","01","영업/정상","1","정상영업","","","","","776-7049","4079.41","153010","서울특별시 금천구 독산동 957번지","서울특별시 금천구 남부순환로120길 23 (독산동)","","푸른터시장","20070719164326","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","191210.51770388     ","441768.833867706    ",""
"3170000","2008317010507500001","20170407","","01","영업/정상","1","정상영업","","","","","02-808-1522","98983","","서울특별시 금천구 시흥동 984번지","서울특별시 금천구 시흥대로 97 (시흥동 시흥유통상가)","08639","시흥산업용재유통센터","20200525143140","U","2020-05-27 02:40:00.0","그 밖의 대규모점포","191226.287379467    ","437914.06299827     ","대규모점포"
"3170000","2008317010507500002","20081024","","01","영업/정상","1","정상영업","","","","","895 2080","14972","153031","서울특별시 금천구 시흥동 992번지 47호","서울특별시 금천구 시흥대로 201 (시흥동)","","홈플러스 시흥점","20200224203243","U","2020-02-26 02:40:00.0","대형마트","191152.432649234    ","438865.160717275    ","대규모점포"
"3170000","2011317014207500001","20110928","","01","영업/정상","1","정상영업","","","","","2292-5853","175.6","153011","서울특별시 금천구 독산1동 145번지 8호","서울특별시 금천구 시흥대로 473 (독산동)","","롯데쇼핑(주)롯데슈퍼독산점","20170425183544","I","2018-08-31 23:59:59.0","구분없음","190901.481378795    ","441536.391463324    ","준대규모점포"
"3170000","2012317014207500001","20120410","","03","폐업","3","폐업처리","20150121","","","","895-8585","244.9","","","서울특별시 금천구 독산로 210 (독산동)","153832","홈플러스(주)익스프레스 독산점","20150129074044","I","2018-08-31 23:59:59.0","구분없음","191290.582375374    ","440402.04012719     ","준대규모점포"
"3170000","2012317014207500002","20120410","","01","영업/정상","1","정상영업","","","","","856-8545","243.5","","","서울특별시 금천구 가산로 106 (가산동)","153804","홈플러스(주)익스프레스 가산점","20171124101756","I","2018-08-31 23:59:59.0","구분없음","190527.918536528    ","441484.865931033    ","준대규모점포"
"3170000","2012317014207500003","20120507","","03","폐업","3","폐업처리","20161226","","","","802-5601","699.7","153859","서울특별시 금천구 시흥5동 912번지 20호","서울특별시  금하로 720","153859","롯데쇼핑(주)롯데슈퍼 시흥점","20161229174842","I","2018-08-31 23:59:59.0","구분없음","191917.450107657    ","438699.77460936     ","준대규모점포"
"3170000","2012317014207500004","20120913","","01","영업/정상","1","정상영업","","","","","02-2109-7013","32887.19","153801","서울특별시 금천구 가산동 60번지 20호","서울특별시 금천구 벚꽃로 266 (가산동)","","마리오아울렛 3관","20131113185503","I","2018-08-31 23:59:59.0","쇼핑센터","189759.713050655    ","441814.115920983    ","대규모점포"
"3170000","2013317014207500001","20130319","","01","영업/정상","1","정상영업","","","","","02-2136-2233","25015.45","153023","서울특별시 금천구 가산동 60번지 8호","서울특별시 금천구 디지털로10길 9 (가산동)","153801","현대아울렛","20190627191122","U","2019-06-29 02:40:00.0","복합쇼핑몰","190119.463375612    ","441716.684586176    ","대규모점포"
"3170000","2013317014207500002","20130906","","01","영업/정상","1","정상영업","","","","","02-2109-7000","24253.99","153023","서울특별시 금천구 가산동 60번지 22호","서울특별시 금천구 디지털로 185 (가산동)","153801","마리오아울렛 1관","20131113185249","I","2018-08-31 23:59:59.0","쇼핑센터","189943.234285288    ","441784.247518723    ","대규모점포"
"3170000","2015317017407500001","20151229","","01","영업/정상","1","정상영업","","","","","02-3397-3000","8815.59","153801","서울특별시 금천구 가산동 60번지 19호","서울특별시 금천구 벚꽃로 278 (가산동)","153801","롯데쇼핑(주) 아울렛 가산점","20151229143403","I","2018-08-31 23:59:59.0","쇼핑센터","189722.178532426    ","441920.972770099    ","대규모점포"
"3170000","2017317017407500001","20171205","","01","영업/정상","1","정상영업","","","","","02-3440-2254","11464","","서울특별시 금천구 독산동 1150번지 금천롯데캐슬골드파크2차","서울특별시 금천구 벚꽃로 30 (독산동 금천롯데캐슬골드파크2차)","08608","롯데캐슬 골드파크 2차 마르쉐도르","20190627183007","U","2019-06-29 02:40:00.0","그 밖의 대규모점포","190567.418315661    ","439569.401459017    ","대규모점포"
"3170000","2018317019007500001","20180430","","01","영업/정상","1","정상영업","","","","","0221458000","31618","","서울특별시 금천구 독산동 441번지 14호","","","롯데쇼핑(주) 금천 독산점","20190410131319","U","2019-04-12 02:40:00.0","쇼핑센터","190800.150194451    ","439777.661211733    ","대규모점포"
"3170000","2019317019007500001","20190410","","01","영업/정상","1","정상영업","","","","","02-3440-2254","4288","","서울특별시 금천구 독산동 1156번지 금천롯데캐슬골드파크4차","서울특별시 금천구 시흥대로 315 금천롯데캐슬골드파크4차 (독산동)","08608","롯데캐슬 골드파크 4차 마르쉐도르 960","20190411180719","I","2019-04-13 02:20:20.0","그 밖의 대규모점포","","","대규모점포"
