"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","점포구분명"
"3100000","1972310009607500001","19721207","","02","휴업","2","휴업처리","","","","","","3137","","서울특별시 노원구 상계동 389번지 234호   ","","","상계중앙시장","20070630100538","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","","",""
"3100000","1996310018407500001","19960918","","01","영업/정상","1","정상영업","","","","","937-0070","0","","서울특별시 노원구 중계동 364번지 17호 유경데파트","서울특별시 노원구 한글비석로 232 (중계동 유경데파트)","01734","유경데파트","20160108092455","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","206719.586259379    ","460669.836412326    ","대규모점포"
"3100000","1997310018407500001","19971120","","01","영업/정상","1","정상영업","","","","","02-972-2027","5869.69","","","서울특별시 노원구 동일로180길 14 (공릉동 공릉종합상가)","139807","공릉종합상가","20140925153748","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","206578.976039388    ","457736.364674901    ","대규모점포"
"3100000","1998310009607500001","19981231","","01","영업/정상","1","정상영업","","","","","029314825","7863.67","139748","서울특별시 노원구 상계동 173번지","서울특별시 노원구 한글비석로 396 (상계동)","139748","상계역전종합상가","20200520130242","U","2020-05-22 02:40:00.0","쇼핑센터","206280.789903642    ","462002.498987713    ","대규모점포"
"3100000","1999310009607500002","20011207","","01","영업/정상","1","정상영업","","","","","02-986-2080","12840","139926","서울특별시 노원구 중계동 509번지 2호","서울특별시 노원구 동일로204가길 12 (중계동)","139926","홈플러스(주) 중계점","20191210100502","U","2019-12-12 02:40:00.0","대형마트","205985.953324881    ","459730.43776924     ","대규모점포"
"3100000","1999310009607500012","19991229","","02","휴업","2","휴업처리","","","","","02 9502500","23654","","서울특별시 노원구 상계동 713호   ","","","롯데백화점 상계점","20070630100538","I","2018-08-31 23:59:59.0","백화점","205320.28476675     ","461419.881795004    ",""
"3100000","2002310009607500001","20021114","","02","휴업","2","휴업처리","","","","","02 9859000","10209","","서울특별시 노원구 하계동 284호   ","","","세이브존","20070630100538","I","2018-08-31 23:59:59.0","대형마트","205994.811815848    ","459502.645279682    ",""
"3100000","2004310009607500001","20040226","","01","영업/정상","1","정상영업","","","","","02-933-8515","1615.8","","서울특별시 노원구 상계동 1258호","","","오피앙","20160108103437","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","204772.500639238    ","464208.305428933    ","대규모점포"
"3100000","2004310009607500002","20040906","","01","영업/정상","1","정상영업","","","","","02-380-9396","38200.14","","서울특별시 노원구 월계동 333번지 1호","서울특별시 노원구 마들로3길 15 (월계동 월계이마트)","139842","이마트타운 월계점","20200521091848","U","2020-05-23 02:40:00.0","쇼핑센터","205391.070378059    ","458333.989216339    ","대규모점포"
"3100000","2004310009607500003","20041213","","01","영업/정상","1","정상영업","","","","","0220922500","10479","","서울특별시 노원구 중계동 517호","서울특별시 노원구 노원로 330 (중계동 롯데마트)","139920","롯데마트 중계점","20200522092125","U","2020-05-24 02:40:00.0","대형마트","206132.432496938    ","460549.311157153    ","대규모점포"
"3100000","2004310018407500001","20040102","","03","폐업","3","폐업처리","20160331","","","","972-8793","1046.96","139800","서울특별시 노원구 공릉동 90번지 4호","서울특별시 노원구 노원로 3 (공릉동)","139800","(주)지에스리테일  공릉점","20160412134336","I","2018-08-31 23:59:59.0","구분없음","207577.515810212    ","457741.465197875    ","준대규모점포"
"3100000","2004310018407500002","20040601","","01","영업/정상","1","정상영업","","","","","930-8546","1089.67","139860","서울특별시 노원구 중계동 360번지 2호","서울특별시 노원구 중계로 225 (중계동)","139860","홈플러스(주)익스프레스 중계점","20171121171149","I","2018-08-31 23:59:59.0","구분없음","206490.247358174    ","460830.615360327    ","준대규모점포"
"3100000","2005310009607500001","20050329","","02","휴업","2","휴업처리","","","","","0220921234","16179.91","","서울특별시 노원구 월계동 333번지 1호   ","","","신세계 이마트 월계덤","20100412171702","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","205391.070378059    ","458333.989216339    ",""
"3100000","2005310009607500002","20050329","","02","휴업","2","휴업처리","","20100413","20150430","","0220921234","16179.91","","서울특별시 노원구 월계동 333번지 1호","","","신세계 이마트 월계점","20100413104949","I","2018-08-31 23:59:59.0","대형마트","205391.070378059    ","458333.989216339    ",""
"3100000","2005310009607500003","20050527","","02","휴업","2","휴업처리","","","","","02  9859000","10209","","서울특별시 노원구 하계동 284호   ","","","세이브존","20070630100538","I","2018-08-31 23:59:59.0","대형마트","205994.811815848    ","459502.645279682    ",""
"3100000","2005310009607500004","20050826","","01","영업/정상","1","정상영업","","","","","02950 2500","48227.17","","서울특별시 노원구 상계동 713호","서울특별시 노원구 동일로 1414 (상계동)","139708","롯데백화점 노원점","20200522092155","U","2020-05-24 02:40:00.0","백화점","205320.28476675     ","461419.881795004    ","대규모점포"
"3100000","2005310009607500005","20051202","","01","영업/정상","1","정상영업","","","","","950-6666","9769.24","139816","서울특별시 노원구 상계동 292번지 1호","서울특별시 노원구 노해로 507 (상계동)","139816","와우패션클럽","20160309175357","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","205557.013355638    ","461441.687971047    ","대규모점포"
"3100000","2007310010907500001","20070419","","01","영업/정상","1","정상영업","","","","","02 9719000","10292","","서울특별시 노원구 중계동 506번지 1   호","","","건영옴니백화점","20150325102313","I","2018-08-31 23:59:59.0","백화점","205645.891969072    ","459609.012509743    ","대규모점포"
"3100000","2007310010907500002","20070806","","01","영업/정상","1","정상영업","","","","","9859000","10209","","서울특별시 노원구 하계동 284번지 2호","서울특별시 노원구 한글비석로 57 (하계동 세이브존)","01784","세이브존","20190507154703","U","2019-05-09 02:40:00.0","그 밖의 대규모점포","206044.776421388    ","459360.877718439    ","대규모점포"
"3100000","2009310010907500001","20090921","","01","영업/정상","1","정상영업","","","","","02-948-2100","12287","139726","서울특별시 노원구 중계2.3동 509번지 2001아울렛","서울특별시 노원구 동일로204가길 46 (중계동)","139726","이천일아울렛 중계점","20200522092140","U","2020-05-24 02:40:00.0","그 밖의 대규모점포","205931.05327036     ","459884.197207567    ","대규모점포"
"3100000","2010310010907500001","20100709","","01","영업/정상","1","정상영업","","","","","02-936-9006","4572.81","139816","서울특별시 노원구 상계동 1318번지","서울특별시 노원구 상계로23다길 13-8 (상계동)","139816","노원아이파크 상가","20141028143730","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","206033.023278317    ","461935.33920381     ","대규모점포"
"3100000","2011310018407500001","20110621","","01","영업/정상","1","정상영업","","","","","2091-0011","1505.36","139826","서울특별시 노원구 상계동 684번지","서울특별시 노원구 한글비석로 471 (상계동)","139826","(주)지에스리테일 GS수퍼상계점","20160212094015","I","2018-08-31 23:59:59.0","구분없음","205715.538939251    ","462416.211580109    ","준대규모점포"
"3100000","2011310018407500002","20110621","","01","영업/정상","1","정상영업","","","","","02-971-5601","397.7","","서울특별시 노원구 공릉동 238번지 53호","서울특별시 노원구 공릉로 144 (공릉동 공릉빌딩)","01819","롯데쇼핑(주) 롯데슈퍼공릉점","20200214152234","U","2020-02-16 02:40:00.0","구분없음","206952.444113646    ","457814.529614419    ","준대규모점포"
"3100000","2011310018407500003","20110621","","03","폐업","3","폐업처리","20110719","","","","69333041","515.6","139202","서울특별시 노원구 상계2동 1318번지 노원아이파크 지하1층","","","(주)지에스리테일 GS수퍼상계중앙점","20111228111603","I","2018-08-31 23:59:59.0","대형마트","206033.023278317    ","461935.33920381     ","준대규모점포"
"3100000","2011310018407500004","20111229","","01","영업/정상","1","정상영업","","","","","977-3020","565.54","139840","서울특별시 노원구 월계3동 18번지 그랑빌아파트주상가 지층동 101호","서울특별시 노원구 마들로 31 (월계동)","139956","(주)지에스리테일 GS슈퍼 노원월계점","20160215112123","I","2018-08-31 23:59:59.0","구분없음","205984.15211292     ","457275.799282625    ","준대규모점포"
"3100000","2011310018407500005","20111229","","01","영업/정상","1","정상영업","","","","","948-6767","739.8","139800","서울특별시 노원구 공릉2동 89번지 1호  대덕프라자 지층 101~102호","서울특별시 노원구 노원로1길 67 (공릉동)","139800","(주)이마트에브리데이 공릉동점","20170328092215","I","2018-08-31 23:59:59.0","구분없음","207311.175792021    ","457610.711998051    ","준대규모점포"
"3100000","2012310018407500001","20120326","","01","영업/정상","1","정상영업","","","","","02-3459-8000","324.4","139240","서울특별시 노원구 공릉동 323번지 35호","서울특별시 노원구 동일로 1101 (공릉동)","139241","홈플러스(주)익스프레스 공릉점","20171130153255","I","2018-08-31 23:59:59.0","구분없음","206222.082661025    ","458423.440177534    ","준대규모점포"
