"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","점포구분명"
"3090000","2002309008707500001","20020620","","01","영업/정상","1","정상영업","","","","","0222892523","10840.62","132854","서울특별시 도봉구 방학동 717번지 6호","서울특별시 도봉구 마들로 645 (방학동)","132854","롯데쇼핑(주)VIC마켓도봉점","20200422104517","U","2020-04-24 02:40:00.0","대형마트","203920.444016775    ","462830.484935873    ","대규모점포"
"3090000","2003309008707500845","20030203","","01","영업/정상","1","정상영업","","","","","02-954-6442","4036.49","132731","서울특별시 도봉구 도봉동 30번지 1호 도봉한신쇼핑상가","서울특별시 도봉구 도봉로180나길 41 (도봉동)","132731","도봉한신쇼핑상가","20190514165657","U","2019-05-16 02:40:00.0","그 밖의 대규모점포","204169.847670316    ","464814.717432497    ","대규모점포"
"3090000","2003309008707500846","20030625","","01","영업/정상","1","정상영업","","","","","000209122080","15851.56","132854","서울특별시 도봉구 방학동 707번지 7호","서울특별시 도봉구 도봉로 678 (방학동)","132854","홈플러스(주)방학점","20191217074823","U","2019-12-19 02:40:00.0","대형마트","203790.013568785    ","462495.417040876    ","대규모점포"
"3090000","2007309010507500001","20060904","","01","영업/정상","1","정상영업","","","","","02-907-0033","5648.26","132918","서울특별시 도봉구 창동 581번지 28호","서울특별시 도봉구 덕릉로57길 30 (창동)","132918","삼익쇼핑","20140929170706","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","203220.921406024    ","459746.924430501    ","대규모점포"
"3090000","2010309010507500001","20100402","","01","영업/정상","1","정상영업","","","","","02-901-1050","4297.5","132904","서울특별시 도봉구 창동 135번지 26호","서울특별시 도봉구 노해로65길 4 (창동)","132904","(주) 이마트 창동점","20200507165057","U","2020-05-09 02:40:00.0","대형마트","204107.090272108    ","461072.642448925    ","대규모점포"
"3090000","2010309013407500001","20101130","","01","영업/정상","1","정상영업","","","","","954-1510","3629.76","132010","서울특별시 도봉구 도봉동 657번지","서울특별시 도봉구 마들로 724 (도봉동)","132010","도봉한양프라자","20140926161322","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","204136.58447783     ","463573.102150294    ","대규모점포"
"3090000","2011309013407500001","20110926","","01","영업/정상","1","정상영업","","","","","903-0900","1095.47","132042","서울특별시 도봉구 창2동 628번지 20호","서울특별시 도봉구 도봉로104길 53 (창동)","132042","(주)에브리데이리테일 창동점","20140925134144","I","2018-08-31 23:59:59.0","구분없음","203027.627111443    ","460124.418353378    ","준대규모점포"
"3090000","2012309013407500001","20120105","","01","영업/정상","1","정상영업","","","","20120105","903-0900","784.04","132042","서울특별시 도봉구 창2동 628번지 20호","서울특별시 도봉구 도봉로104길 53 (창동)","132042","(주)에브리데이리테일 창동점","20141017150734","I","2018-08-31 23:59:59.0","구분없음","203027.627111443    ","460124.418353378    ","준대규모점포"
"3090000","2012309013407500002","20120315","","01","영업/정상","1","정상영업","","","","","903-5601","705.1","132032","서울특별시 도봉구 쌍문2동 19번지","서울특별시 도봉구 도당로 10 (쌍문동)","132858","롯데슈퍼 쌍문점","20170420075706","I","2018-08-31 23:59:59.0","구분없음","203048.669322526    ","461867.647869631    ","준대규모점포"
"3090000","2012309013407500003","20120318","","01","영업/정상","1","정상영업","","","","","903-5602","197.7","132041","서울특별시 도봉구 창1동 651번지 36호","서울특별시 도봉구 도봉로110길 65 (창동)","132925","롯데슈퍼 창동점","20170420093212","I","2018-08-31 23:59:59.0","구분없음","203207.625254256    ","460455.837628654    ","준대규모점포"
"3090000","2012309013407500004","20120315","","01","영업/정상","1","정상영업","","","","","3491-4297","844.9","132828","서울특별시 도봉구 방학3동 271번지 2호","서울특별시 도봉구 방학로 223 (방학동)","132828","롯데슈퍼 방학점","20170420093238","I","2018-08-31 23:59:59.0","구분없음","202326.175760253    ","462116.40856417     ","준대규모점포"
"3090000","2012309013407500005","20120326","","01","영업/정상","1","정상영업","","","","","903-0900","784.04","","서울특별시 도봉구 창동 628번지 20호","서울특별시 도봉구 도봉로104길 53 (창동)","01460","(주)이마트에브리데이 창동점","20170324165251","I","2018-08-31 23:59:59.0","쇼핑센터","203027.627111443    ","460124.418353378    ","준대규모점포"
"3090000","2012309013407500006","20120326","","03","폐업","3","폐업처리","20191111","","","","990-9994","184.26","132030","서울특별시 도봉구 쌍문동 311번지","서울특별시 도봉구 시루봉로 2 (쌍문동)","132030","롯데슈퍼 쌍문4동 가맹점","20200320132114","U","2020-03-22 02:40:00.0","구분없음","202472.188994485    ","460959.462860458    ","준대규모점포"
"3090000","2012309013407500007","19951129","","01","영업/정상","1","정상영업","","","","20120515","905-5362","3364.41","132784","서울특별시 도봉구 창동 804번지","서울특별시 도봉구 덕릉로63가길 61 (창동)","132784","대우상가","20141112110237","I","2018-08-31 23:59:59.0","시장","203242.968498731    ","460001.081136921    ","대규모점포"
"3090000","2012309013407500008","19890804","","01","영업/정상","1","정상영업","","","","19860804","956-4004","2775.53","132828","서울특별시 도봉구 방학동 271번지 2호","서울특별시 도봉구 방학로 223 (방학동)","132828","신동아프라자","20141013140830","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","202326.175760253    ","462116.40856417     ","대규모점포"
"3090000","2019309015207500001","20190328","","01","영업/정상","1","정상영업","","","","","6052-7704","3338.57","","서울특별시 도봉구 쌍문동 711번지 금강아미움파크타운","서울특별시 도봉구 방학로5길 33 금강아미움파크타운 (쌍문동 금강아미움파크타운)","01391","금강아미움쇼핑센터","20200211124759","U","2020-02-13 02:40:00.0","그 밖의 대규모점포","203296.164641727    ","462113.860476609    ","대규모점포"
