"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","점포구분명"
"3190000","1979319015807500001","19791218","","01","영업/정상","1","정상영업","","","","","02-823-5100","6373","","서울특별시 동작구 상도동 324번지 1호","서울특별시 동작구 상도로 102 (상도동 성대시장)","07041","성대종합시장","20170706174635","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","193896.384765772    ","444196.484790728    ","대규모점포"
"3190000","2001319007207500010","19891201","","02","휴업","2","휴업처리","","","","","02 8468258","","","서울특별시 동작구 신대방동 565호   ","서울특별시 동작구 여의대방로 22 (신대방동)","","신대방우성상가","20070707151910","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","192113.200600983    ","443344.373525343    ",""
"3190000","2004319007207500001","20041218","","02","휴업","2","휴업처리","","","","","02 5481448","4382.15","","서울특별시 동작구 노량진동 16번지 0001호   ","","","서울노량진종합시장","20070707151910","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","194571.152376388    ","445790.549860682    ",""
"3190000","2005319007207500001","20050119","","02","휴업","2","휴업처리","","","","","02 5481448","4382.15","","서울특별시 동작구 노량진동 13번지 0008호   ","","","서울노량진종합시장","20070707151910","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","194807.845295028    ","445901.413432497    ",""
"3190000","2009319009907500001","19931130","","01","영업/정상","1","정상영업","","","","","822-7387","0","156020","서울특별시 동작구 대방동 501번지","","","대림쇼핑타운","20090427163036","I","2018-08-31 23:59:59.0","시장","193273.484014052    ","445011.250115029    ",""
"3190000","2011319012807500001","20110713","","01","영업/정상","1","정상영업","","","","","821-2166","5051.61","156070","서울특별시 동작구 흑석동 332번지","서울특별시 동작구 서달로 150 (흑석동)","156070","해가든프라자","20111030111335","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","196587.030630143    ","444939.455414947    ","대규모점포"
"3190000","2011319012807500002","20110714","","01","영업/정상","1","정상영업","","","","","8268545","304.1","156843","서울특별시 동작구 상도4동 255번지 4호","서울특별시 동작구 성대로 43 (상도동)","","홈플러스(주) 익스프레스 상도점","20171120165535","I","2018-08-31 23:59:59.0","구분없음","194064.994071226    ","444089.838269412    ","준대규모점포"
"3190000","2011319012807500003","20110826","","01","영업/정상","1","정상영업","","","","","34818542","978.3","156819","서울특별시 동작구 사당3동 252번지 22호","서울특별시 동작구 사당로 215 (사당동)","","홈플러스(주) 익스프레스 남성점","20171120165636","I","2018-08-31 23:59:59.0","복합쇼핑몰","197507.834447319    ","442470.92961062     ","준대규모점포"
"3190000","2011319012807500004","20111004","","03","폐업","3","폐업처리","20181025","","","","02-812-5601","530","156030","서울특별시 동작구 상도동 188번지 14호","서울특별시 동작구 상도로 147 (상도동)","","롯데쇼핑(주) 롯데슈퍼 상도3동점","20181025163302","U","2018-10-27 02:37:43.0","복합쇼핑몰","194250.710026163    ","444556.425220128    ","준대규모점포"
"3190000","2011319012807500005","20111004","","01","영업/정상","1","정상영업","","","","","02-841-3561","331.34","156020","서울특별시 동작구 대방동 335번지 17호","서울특별시 동작구 상도로 81 (대방동)","","(주)이마트에브리데이 대방동점","20170410114717","I","2018-08-31 23:59:59.0","복합쇼핑몰","193699.189949205    ","444190.844599349    ","준대규모점포"
