"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","점포구분명"
"3130000","1977313009907500009","19770715","","01","영업/정상","1","정상영업","","","","","712-0687","1689","","서울특별시 마포구 공덕동 256번지 5호 마포시장","서울특별시 마포구 마포대로6길 16 마포시장 (공덕동)","04214","마포시장","20200622093240","U","2019-12-05 22:04:00.0","시장","195804.563731799","449216.311329217",""
"3130000","2001313007907500001","19760116","","01","영업/정상","1","정상영업","","","","","717-7042","1077","","서울특별시 마포구 염리동 36번지 249호","서울특별시 마포구 숭문길 96 (염리동)","","염리시장","20090730152012","I","2018-08-31 23:59:59.0","시장","195236.100682981    ","449819.816379696    ",""
"3130000","2001313007907500002","19980718","","01","영업/정상","1","정상영업","","","","","300-5062","12337.24","","서울특별시 마포구 성산동 533번지 1호","서울특별시 마포구 월드컵로 235 (성산동)","","마포농수산물시장","20200422151917","U","2020-04-24 02:40:00.0","시장","190931.000875925    ","451427.722144609    ","대규모점포"
"3130000","2003313009907500001","20030521","","01","영업/정상","1","정상영업","","","","","02  312 2080","17687.3","","서울특별시 마포구 성산동 515호 월드컵경기장내","서울특별시 마포구 월드컵로 240 (성산동월드컵경기장내)","","홈플러스(주)월드컵점","20200422150327","U","2020-04-24 02:40:00.0","대형마트","191010.381048042    ","451972.154018501    ","대규모점포"
"3130000","2005313009907500001","20050224","","02","휴업","2","휴업처리","","","","","02 3005062","12337.24","","서울특별시 마포구 성산동 533번지 1호   ","서울특별시 마포구 월드컵로 235 (성산동)","","마포농수산물시장","20070630101705","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","190931.000875925    ","451427.722144609    ",""
"3130000","2005313009907500003","19710520","","03","폐업","3","폐업처리","20190215","","","","334-5400","0","","서울특별시 마포구 노고산동 49번지 55호","서울특별시 마포구 신촌로 86 (노고산동)","","신촌상가","20190215113421","U","2019-02-17 02:40:00.0","시장","194158.369649874    ","450273.194140715    ","대규모점포"
"3130000","2005313009907500004","20051007","","03","폐업","3","폐업처리","20150416","","","","322 4531","3166.75","","서울특별시 마포구 서교동 487호","서울특별시 마포구 월드컵북로5나길 18 (서교동)","","신교시장","20150416150827","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","192577.990805265    ","450569.670545853    ","대규모점포"
"3130000","2007313011807500001","20070507","","01","영업/정상","1","정상영업","","","","20070507","3141-5262","3992","121190","서울특별시 마포구 창전동 442번지","서울특별시 마포구 창전로 45 (창전동)","","마포종합시장(서강한화오벨리스크)","20200422133855","U","2020-04-24 02:40:00.0","그 밖의 대규모점포","193905.437192262    ","449372.496499689    ","대규모점포"
"3130000","2008313011807500001","20080331","","01","영업/정상","1","정상영업","","","","","02)333-3666","6884.25","121200","서울특별시 마포구 동교동 166번지 14호","서울특별시 마포구 양화로 176 (동교동)","","스타피카소 아울렛","20080403181002","I","2018-08-31 23:59:59.0","전문점","193282.130799848    ","450549.280167182    ",""
"3130000","2009313011807500001","19740414","","01","영업/정상","1","정상영업","","","","","712-0076","750","121803","서울특별시 마포구 공덕동 256번지 10호","서울특별시 마포구 만리재로 19 (공덕동)","","공덕시장","20190507104020","U","2019-05-09 02:40:00.0","시장","195810.079475465    ","449173.775965909    ","대규모점포"
"3130000","2009313011807500002","19700729","","01","영업/정상","1","정상영업","","","","","334-2425","0","121897","서울특별시 마포구 합정동 375번지 1호","서울특별시 마포구 양화진길 5 (합정동)","","합정시장","20090730155209","I","2018-08-31 23:59:59.0","시장","192257.393762526    ","449554.484192321    ",""
"3130000","2009313011807500003","19720622","","01","영업/정상","1","정상영업","","","","","335-4527","0","121839","서울특별시 마포구 서교동 485번지 14호","서울특별시 마포구 동교로12길 21 (서교동)","","영진시장","20090730155442","I","2018-08-31 23:59:59.0","시장","192214.380853693    ","450136.910982644    ",""
"3130000","2009313011807500004","19720913","","01","영업/정상","1","정상영업","","","","","717-1324","1092.16","121856","서울특별시 마포구 신수동 288번지 1호","서울특별시 마포구 토정로17길 17 (신수동)","","신수시장","20190705093842","U","2019-07-07 02:40:00.0","시장","194236.734674521    ","449243.162717684    ","대규모점포"
"3130000","2009313011807500005","19720719","","01","영업/정상","1","정상영업","","","","","3141-2502","0","121838","서울특별시 마포구 서교동 357번지 1호","서울특별시 마포구 홍익로3길 20 (서교동)","","서교시장","20090730164140","I","2018-08-31 23:59:59.0","시장","193009.20810189     ","450142.186927747    ",""
"3130000","2009313011807500006","19740605","","01","영업/정상","1","정상영업","","","","","325-9559","0","121865","서울특별시 마포구 연남동 227번지 15호","서울특별시 마포구 성미산로 198 (연남동)","","동진시장","20090730160208","I","2018-08-31 23:59:59.0","시장","193456.606360958    ","451125.467333415    ",""
"3130000","2009313011807500007","20060516","","03","폐업","3","폐업처리","20151118","","","","702-6640","3185.1","121815","서울특별시 마포구 도화동 559번지","서울특별시 마포구 마포대로 53 (도화동)","","마포트라팰리스 아케이드","20151120093721","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","195266.07314617     ","448799.641804029    ","대규모점포"
"3130000","2009313011807500008","19940510","","01","영업/정상","1","정상영업","","","","","320-2511","6592.35","","서울특별시 마포구 노고산동 57번지 1호","서울특별시 마포구  신촌로  94 (노고산동)","","정도진흥기업(주)","20200519095853","U","2020-05-21 02:40:00.0","그 밖의 대규모점포","194273.598098938    ","450318.724130121    ","대규모점포"
"3130000","2009313011807500009","19740528","","01","영업/정상","1","정상영업","","","","","334-3133","0","121827","서울특별시 마포구 망원2동 480번지 1호","","","성산시장","20090730164114","I","2018-08-31 23:59:59.0","시장","","",""
"3130000","2009313011807500010","20091112","","01","영업/정상","1","정상영업","","","","","334-6949","3060.29","121827","서울특별시 마포구 망원2동 517번지","서울특별시 마포구 월드컵로25길 26 (망원동)","","성산프라자(마포영화블렌하임)","20200422134011","U","2020-04-24 02:40:00.0","그 밖의 대규모점포","191651.529315787    ","450694.803472189    ","대규모점포"
"3130000","2010313011807500001","20101223","","01","영업/정상","1","정상영업","","","","","3809414","5687.96","121802","서울특별시 마포구 공덕동 173번지 대우월드마크마포","서울특별시 마포구 백범로 212 (신공덕동)","121030","(주)이마트 마포점","20200429135025","U","2020-05-01 02:40:00.0","대형마트","195878.74153800000  ","449214.25326500000  ","대규모점포"
