"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","점포구분명"
"3120000","1970312009307500001","19700814","","01","영업/정상","1","정상영업","","","","","02  32169393","6606","120857","서울특별시 서대문구 홍제3동 294번지 6호","서울특별시 통일로 484 (유진상가)","120760","유진상가","20180329152318","I","2018-08-31 23:59:59.0","시장","194811.756333333    ","454300.739666667    ","대규모점포"
"3120000","1987312009307500001","19871024","","01","영업/정상","1","정상영업","","","","","02-373-7571","1100","","서울특별시 서대문구 남가좌동 290번지 2   호","서울특별시 서대문구 수색로2길 45 (남가좌동)","","모래내시장(주)","20090403170928","I","2018-08-31 23:59:59.0","시장","192503.128282531    ","452051.272452155    ",""
"3120000","1987312009307500002","19871024","","01","영업/정상","1","정상영업","","","","","373-4914","1850","","","서울특별시 서대문구 수색로2길 47 (남가좌동)","120805","서중시장","20120330101418","I","2018-08-31 23:59:59.0","시장","192517.640245956    ","452143.491541077    ","대규모점포"
"3120000","1992312010707500001","19921119","","01","영업/정상","1","정상영업","","","","","02-3145-3154","35471.76","120834","서울특별시 서대문구 창천동 30번지 33호","서울특별시 서대문구 신촌로 83 (창천동)","","현대백화점 신촌점","20170713154059","I","2018-08-31 23:59:59.0","백화점","194265.067639805    ","450433.691021245    ","대규모점포"
"3120000","2006312009307500001","20060919","","01","영업/정상","1","정상영업","","","","","02-2124-2148","13436.59","","서울특별시 서대문구 신촌동 74번지 12  호","서울특별시 서대문구 신촌역로 30 (신촌동)","","신촌 밀리오레","20080211142613","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","194798.458435966    ","450837.051726331    ",""
"3120000","2007312010707500001","20070809","","01","영업/정상","1","정상영업","","","","","02-6373-7009","14133.01","120808","서울특별시 서대문구 대현동 145번지","서울특별시 서대문구 이화여대1길 10 (대현동)","","예스에이피엠","20080918171757","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","195063.820722531    ","450597.874088644    ",""
"3120000","2011312014507500001","19990429","","01","영업/정상","1","정상영업","","","","","8348900","3305","120110","서울특별시 서대문구 연희동 131번지 1호","서울특별시 서대문구 연희맛로 23 (연희동)","","연희슈퍼마켓","20171031164632","I","2018-08-31 23:59:59.0","시장","193716.339877929    ","451653.563671802    ","대규모점포"
"3120000","2012312018307500002","20120326","","01","영업/정상","1","정상영업","","","","","02-376-4397","1273.2","","","서울특별시 서대문구 응암로 54 (북가좌동)","120813","(주)GS리테일 북가좌점","20160225154533","I","2018-08-31 23:59:59.0","구분없음","192000.945942229    ","452848.009128439    ","준대규모점포"
"3120000","2013312014507500001","20130616","","01","영업/정상","1","정상영업","","","","20070628","302-8023","232.7","120130","서울특별시 서대문구 북가좌동 279번지 11호","서울특별시 서대문구 응암로 112 (북가좌동)","","홈플러스(주) 익스프레스 북가좌점","20171128082608","I","2018-08-31 23:59:59.0","시장","192301.135452392    ","453354.065487403    ","준대규모점포"
"3120000","2018312018307500001","20120207","","01","영업/정상","1","정상영업","","","","","02-739-6780","1573","","서울특별시 서대문구 홍제동 469번지 인왕산 한신휴플러스","서울특별시 서대문구 통일로 397 지4층 (홍제동 인왕산 한신휴플러스)","03730","롯데슈퍼 홍제2점","20180329153533","I","2018-08-31 23:59:59.0","구분없음","195281.395461663    ","453657.534811024    ","준대규모점포"
"3120000","2018312018307500002","20110701","","01","영업/정상","1","정상영업","","","","","02-395-3674","2040","","서울특별시 서대문구 홍제동 294번지 46호 유진상가","서울특별시 서대문구 통일로 484 유진상가 1층 (홍제동)","03628","롯데슈퍼 유진점","20180329163845","I","2018-08-31 23:59:59.0","구분없음","194850.361025035    ","454344.432517428    ","준대규모점포"
"3120000","2018312018307500004","20180412","","01","영업/정상","1","정상영업","","","","","02-2290-5704","0","","서울특별시 서대문구 홍제동 294번지 46호 유진상가","서울특별시 서대문구 통일로 484 유진상가 (홍제동)","03628","롯데슈퍼 유진점","20180412121635","I","2018-08-31 23:59:59.0","구분없음","194850.361025035    ","454344.432517428    ","준대규모점포"
