"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","점포구분명"
"3210000","1979321012207500001","19790216","","01","영업/정상","1","정상영업","","","","","3474-7621","4516","137072","서울특별시 서초구 서초동 1335번지","서울특별시 서초구 효령로 391 (서초동 무지개아파트)","137771","무지개종합상가","20160405173747","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","202245.377899369    ","442987.986999742    ","대규모점포"
"3210000","1982321007607500001","19820408","","01","영업/정상","1","정상영업","","","","","02 5354160","56379.9","","서울특별시 서초구 반포동 19번지 4   호","서울특별시 서초구 신반포로 194 (반포동)","","터미널상가","20170424205339","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","200554.74395758     ","444811.364826199    ","대규모점포"
"3210000","1995321012207500001","19950601","","01","영업/정상","1","정상영업","","","","","509-5000","3752","","","서울특별시 서초구 잠원로 69 (잠원동)","137907","킴스클럽","20200305220908","U","2020-03-07 02:40:00.0","대형마트","200576.608647619    ","445335.667245506    ","대규모점포"
"3210000","2005321007607500005","20050330","","01","영업/정상","1","정상영업","","","","","0221551052","9250","","서울특별시 서초구 양재동 215호 하이브랜드 지하1층","서울특별시 서초구 매헌로 16 (양재동하이브랜드 지하1층)","","(주)이마트 양재점","20200521085146","U","2020-05-23 02:40:00.0","대형마트","203204.755637424    ","440136.781183797    ","대규모점포"
"3210000","2005321007607500007","20150922","","01","영업/정상","1","정상영업","","","","","02-3479-1005","60945.95","","서울특별시 서초구 반포동 19번지 3호","서울특별시 서초구 신반포로 176 (반포동)","","신세계백화점 강남점","20200521085905","U","2020-05-23 02:40:00.0","백화점","200250.447804795    ","444683.220506107    ","대규모점포"
"3210000","2007321010807500001","20070720","","01","영업/정상","1","정상영업","","","","","3477-7637","4950","","서울특별시 서초구 반포동 1141번지","서울특별시 서초구 신반포로 23 (반포동)","137811","엘루체","20130316152602","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","198791.788015494    ","444392.672548989    ","대규모점포"
"3210000","2009321012207500001","19800802","","01","영업/정상","1","정상영업","","","","","3472-5490","5408","137859","서울특별시 서초구 서초2동 1332번지 2호","서울특별시 서초구 사임당로 151 (서초동)","137859","무지개쇼핑","20130318233828","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","202216.049985624    ","443352.024569293    ","대규모점포"
"3210000","2011321012207500001","20110802","","01","영업/정상","1","정상영업","","","","","537-8948","3917","","서울특별시 서초구 잠원동 60번지 3호","서울특별시 서초구 잠원로4길 54 (잠원동 매일종합상가)","06522","매일종합상가","20151222141312","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","201024.481364815    ","445492.334204608    ","대규모점포"
"3210000","2012321012207500002","20120424","","01","영업/정상","1","정상영업","","","","","02-536-0004","1049.58","137061","서울특별시 서초구 방배1동 816번지 1호","서울특별시 방배로33길 29","137832","롯데슈퍼 방배2점","20200305220213","U","2020-03-07 02:40:00.0","대형마트","198984.364832071    ","443229.835878514    ","준대규모점포"
"3210000","2012321012207500003","20120514","","01","영업/정상","1","정상영업","","","","","530-5802","12595","137711","서울특별시 서초구 잠원동 70번지 5호 뉴코아백화점빌딩","서울특별시 서초구 잠원로 37-6 (잠원동 뉴코아백화점빌딩)","137711","뉴코아백화점","20200305221431","U","2020-03-07 02:40:00.0","백화점","200367.985010323    ","445207.663497148    ","대규모점포"
