"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","점포구분명"
"3030000","1962303007407500002","19620125","","01","영업/정상","1","정상영업","","","","","00024644426","2861","","서울특별시 성동구 성수동2가 335번지","서울특별시 성동구 성수이로 32-15 (성수동2가)","04776","뚝도시장","20200312113429","U","2020-03-14 02:40:00.0","시장","204775.366000022    ","448395.587760252    ","대규모점포"
"3030000","1962303010307500001","19620121","","01","영업/정상","1","정상영업","","","","","02  22525302","1156","133805","서울특별시 성동구 금호동3가 332번지","서울특별시 성동구 독서당로 303-11 (금호동3가)","133805","금남시장","20170525141655","I","2018-08-31 23:59:59.0","시장","201939.255278432    ","449589.21383235     ","대규모점포"
"3030000","1969303010307500001","19690109","","03","폐업","3","폐업처리","20151130","","","","2291-6754","0","133091","서울특별시 성동구 금호동1가 128번지 1호","서울특별시 성동구 행당로 35 (금호동1가)","","금북시장","20151203110300","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","202004.452300224    ","450411.463616996    ","대규모점포"
"3030000","1979303010307500006","19790810","","03","폐업","3","폐업처리","20080522","","","","2297-3811","0","133809","서울특별시 성동구 금호동4가 548번지 1호","서울특별시 성동구 독서당로 302 (금호동4가)","","금호종합시장","20120510101000","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","201924.287403479    ","449505.43323776     ","대규모점포"
"3030000","1980303010307500005","19800905","","01","영업/정상","1","정상영업","","","","","02-2210-4100","0","","서울특별시 성동구 용답동 234번지 한국자동차매매센터","서울특별시 성동구 자동차시장1길 70 (용답동 장안평중고자동차시장)","04808","자동차매매센타","20190430174420","U","2019-05-02 02:40:00.0","전문점","205784.868811814    ","450883.524006222    ","대규모점포"
"3030000","1982303010307500001","19821016","","01","영업/정상","1","정상영업","","","","","2297-2484","0","","서울특별시 성동구 옥수동 220번지 1호 한남하이츠아파트","서울특별시 성동구 독서당로 160 한남하이츠아파트 (옥수동)","04736","한남하이츠상가","20181002165411","U","2018-10-04 02:37:24.0","그 밖의 대규모점포","201181.598996876    ","448609.588125745    ","대규모점포"
"3030000","1998303010307500001","19980803","","01","영업/정상","1","정상영업","","","","","02)2297-6205","4049.55","","서울특별시 성동구 행당동 347번지 행당동 대림아파트","서울특별시 성동구 행당로 87 행당동 대림아파트 (행당동)","04713","대림리빙프라자","20181002165738","U","2018-10-04 02:37:24.0","그 밖의 대규모점포","202326.503044305    ","450625.58422744     ","대규모점포"
"3030000","2000303010307500001","20000331","","01","영업/정상","1","정상영업","","","","","02)2281-7003","5873.69","","서울특별시 성동구 행당동 346번지 행당 한진타운 종합상가","서울특별시 성동구 행당로 84 행당 한진타운 종합상가 (행당동)","04717","한진종합상가","20181002114207","U","2018-10-04 02:37:24.0","그 밖의 대규모점포","202511.142930696    ","450401.303715561    ","대규모점포"
"3030000","2001303010307500002","20010913","20170308","04","취소/말소/만료/정지/중지","4","직권취소","","","","","463-7547~8","8495.01","133120","서울특별시 성동구 성수동2가 231번지 1호","","","성동마트","20170308151720","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","205260.827743854    ","448399.948660115    ","대규모점포"
"3030000","2005303007407500001","20050331","","01","영업/정상","1","정상영업","","","","","02-3408-1234","17318","133120","서울특별시 성동구 성수동2가 333번지 16호","서울특별시 뚝섬로 379","133120","(주)이마트 성수점","20200501085810","U","2020-05-03 02:40:00.0","백화점","204614.272744322    ","448607.441251647    ","대규모점포"
"3030000","2005303007407500005","19681207","","01","영업/정상","1","정상영업","","","","","02-464-2095","3225","133120","서울특별시 성동구 성수동2가 289번지 4호","서울특별시 성동구 아차산로7길 28 (성수동2가)","","(주)인트램","20181002113111","U","2018-10-04 02:37:24.0","그 밖의 대규모점포","204830.977323063    ","449477.448459906    ","대규모점포"
"3030000","2005303007407500006","20051111","","01","영업/정상","1","정상영업","","","","","0222936767","5607.62","","서울특별시 성동구 마장동 439번지 1호","서울특별시 성동구 마장로35길 68 (마장동)","","토우마트마축일시장","20170712102033","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","203576.594691866    ","452041.559037331    ","대규모점포"
