"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","점포구분명"
"3070000","1968307009907500001","19680814","","03","폐업","3","폐업처리","20080422","","","","02 9151254","3583.4","","서울특별시 성북구 장위동 60번지 1호","","","장석시장","20081007111031","I","2018-08-31 23:59:59.0","시장","205020.608686581    ","456783.766604012    ",""
"3070000","1998000000007500002","19980522","","02","휴업","2","휴업처리","","","","","02 9434044","","","서울특별시 성북구 장위동 68번지 1014호   ","","","코코마트","20070707104737","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","204367.347787613    ","456732.945005445    ",""
"3070000","2000307009907500001","19611204","","01","영업/정상","1","정상영업","","","","","","","","서울특별시 성북구 보문동4가 1번지 1   호   ","","","보문시장","20070707104737","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","","",""
"3070000","2000307009907500002","19611224","","03","폐업","3","폐업처리","20081006","","","","02-941-3506","3701.61","","서울특별시 성북구 종암동 3번지 75  호","","","종암시장","20081007102130","I","2018-08-31 23:59:59.0","시장","","",""
"3070000","2000307009907500003","19991207","","03","폐업","3","폐업처리","20080107","","","","9266122","1845","","서울특별시 성북구 삼선동5가 55번지 1  호","","","돈암시장","20081007110047","I","2018-08-31 23:59:59.0","시장","","",""
"3070000","2000307009907500004","19990225","","01","영업/정상","1","정상영업","","","","","02 9135724","","","서울특별시 성북구 하월곡동 88번지 345호   ","","","미아시장","20070707104737","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","","",""
"3070000","2000307009907500006","19690219","","03","폐업","3","폐업처리","20080222","","","","02 9132982","2597","","서울특별시 성북구 하월곡동 16번지 1 호","","","월곡시장","20081007110521","I","2018-08-31 23:59:59.0","시장","","",""
"3070000","2000307009907500007","19990121","","01","영업/정상","1","정상영업","","","","","02 9675571","","","서울특별시 성북구 석관동 270호   ","","","석관시장","20070707104737","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","","",""
"3070000","2000307009907500008","19700227","","03","폐업","3","폐업처리","20070330","","","","02 9144851","1426.32","","서울특별시 성북구 정릉동 405번지 1  호","","","정릉시장","20081007105558","I","2018-08-31 23:59:59.0","시장","200741.814526594    ","456247.253686235    ",""
"3070000","2000307009907500009","19710522","","01","영업/정상","1","정상영업","","","","","02 9620580","","","서울특별시 성북구 석관동 338번지 18호   ","","","새석관시장","20070707104737","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","204582.680269555    ","456210.836257791    ",""
"3070000","2000307009907500010","19720704","","03","폐업","3","폐업처리","20180712","","","","02 9158881","0","","서울특별시 성북구 장위동 238번지 496 호","","","장위시장","20180830135046","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","204411.779055457    ","456753.488817165    ",""
"3070000","2000307009907500011","19720930","","01","영업/정상","1","정상영업","","","","","02 9157301","","","서울특별시 성북구 장위동 301호   ","","","번동시장","20070707104737","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","204162.777672643    ","457664.961911112    ",""
"3070000","2000307009907500012","19740510","","03","폐업","3","폐업처리","20070213","","","","02 7646480","1497","","서울특별시 성북구 삼선동1가 29호","","","삼선시장","20081007104744","I","2018-08-31 23:59:59.0","시장","200571.15381745     ","454098.610861527    ",""
"3070000","2000307009907500013","19880811","","01","영업/정상","1","정상영업","","","","","02 9127001","","","서울특별시 성북구 길음동 540번지 2   호   ","","","길음시장","20160617114450","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","","",""
"3070000","2000307009907500014","19940429","","02","휴업","2","휴업처리","","","","","02 9434044","","","서울특별시 성북구 장위동 68번지 1014호   ","","","코코마트","20070707104737","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","204367.347787613    ","456732.945005445    ",""
