"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","점포구분명"
"3230000","1978323007807500003","19780307","","02","휴업","2","휴업처리","","","","","02","0","","서울특별시 송파구 신천동 7번지 17호   ","서울특별시 송파구 송파대로 562 (신천동)","","주-한화유통","20070714120348","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","208730.633457015    ","445905.025545443    ",""
"3230000","1980323007807500002","19800307","","03","폐업","3","폐업처리","20090629","","","","02 4044946","0","","서울특별시 송파구 오금동 1번지 11호","","","석우종합시장","20090629172638","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","","",""
"3230000","1980323007807500007","19800614","","03","폐업","3","폐업처리","20160322","","","","4226372","27690","138796","서울특별시 송파구 신천동 7번지","서울특별시 송파구 올림픽로35길 124 (신천동)","138796","장미종합상가","20160322084152","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","208707.089897534    ","446299.352775446    ","대규모점포"
"3230000","1981323007807500014","19980317","","01","영업/정상","1","정상영업","","","","","02 4310611","7961","","서울특별시 송파구 마천동 181호","서울특별시 송파구 마천로 315 (마천동)","138820","송파쇼핑센타","20130204105643","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","213279.781081276    ","443674.682876425    ","대규모점포"
"3230000","1988323007807500001","19880819","","03","폐업","3","폐업처리","19880820","","","","02 4275393","0","","서울특별시 송파구 문정동 112호","서울특별시 송파구 새말로 176 (문정동)","","주-화신유통","20080717173536","I","2018-08-31 23:59:59.0","","211632.462045386    ","442617.382308292    ",""
"3230000","1988323007807500002","19780328","","01","영업/정상","1","정상영업","","","","","02  422 5851","9815","","서울특별시 송파구 잠실동 27번지 6호","서울특별시 송파구 올림픽로 203 (잠실동)","138916","잠실중앙상가","20170724112646","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","208187.623477261    ","445589.718583334    ","대규모점포"
"3230000","1989323007807500001","19890607","","01","영업/정상","1","정상영업","","","","","02  400 0198","10802","","서울특별시 송파구 방이동 89번지 11호 프라자상가","서울특별시 송파구 양재대로 1222 (방이동)","138829","올림픽프라자상가","20111221150042","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","211619.368009793    ","445963.384875409    ","대규모점포"
"3230000","1989323007807500015","19980819","","01","영업/정상","1","정상영업","","","","","024118411","20982","","서울특별시 송파구 잠실동 40번지 1호","서울특별시 송파구 올림픽로 240 (잠실동)","138721","롯데마트 잠실점","20170421081412","I","2018-08-31 23:59:59.0","대형마트","208589.363343145    ","445455.90405262     ","대규모점포"
"3230000","1996323007807500012","19961105","","03","폐업","3","폐업처리","20010712","","","","5582042","1","","서울특별시 송파구 가락동 78호","서울특별시 송파구 중대로 135 (가락동)","","가락동포스코주상복합상가","20080717161509","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","210758.119119654    ","443662.956402309    ",""
"3230000","1998323013107500001","19881112","","01","영업/정상","1","정상영업","","","","","024115551~4","72582.24","","서울특별시 송파구 잠실동 40번지 1호","서울특별시 송파구 올림픽로 240 (잠실동)","138721","롯데백화점 잠실점","20170707094628","I","2018-08-31 23:59:59.0","백화점","208589.363343145    ","445455.90405262     ","대규모점포"
"3230000","2001323007807500006","19880614","","03","폐업","3","폐업처리","20010526","","","","410-7484","0","","서울특별시 송파구 잠실동 40호","서울특별시 송파구 올림픽로 212 (잠실동)","","갤러리아 잠실점","20080717153751","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","208233.926974585    ","445435.257647797    ",""
"3230000","2002323007807500002","20000713","","01","영업/정상","1","정상영업","","","","","0220067710","17693","","서울특별시 송파구 문정동 150번지 2호","서울특별시 송파구 중대로 80 (문정동)","138885","롯데쇼핑(주)롯데마트 송파점","20170501173705","I","2018-08-31 23:59:59.0","대형마트","210343.699256005    ","443288.284974717    ","대규모점포"
"3230000","2005323007807500002","20050224","","01","영업/정상","1","정상영업","","","","","02  21454942","7383.45","","서울특별시 송파구 잠실동 40호","서울특별시 송파구 올림픽로 212 (잠실동)","138791","갤러리아팰리스 아케이드","20111221145919","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","208233.926974585    ","445435.257647797    ","대규모점포"
"3230000","2005323007807500003","20051209","","01","영업/정상","1","정상영업","","","","","000221462003","13400","","서울특별시 송파구 신천동 7번지 18호","서울특별시 송파구 올림픽로 269 (신천동)","138934","롯데캐슬플라자","20170424153017","I","2018-08-31 23:59:59.0","쇼핑센터","208836.192051204    ","445807.727388799    ","대규모점포"
"3230000","2007323013107500001","20070709","","01","영업/정상","1","정상영업","","","","","0234688122","13934.64","","서울특별시 송파구 신천동 7번지 12  호","서울특별시 송파구 올림픽로35가길 16 (신천동)","138240","홈플러스(주)잠실점","20171124153814","I","2018-08-31 23:59:59.0","대형마트","209039.148023482    ","446007.966801057    ","대규모점포"
"3230000","2008323013107500001","19731214","","01","영업/정상","1","정상영업","","","","19731214","0230125535","3871","138120","서울특별시 송파구 마천동 140번지 2호","서울특별시 송파구 마천로45길 23 (마천동)","138819","마천시장","20160726133923","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","213247.196130934    ","444020.568495222    ","대규모점포"
"3230000","2008323013107500002","19820129","","01","영업/정상","1","정상영업","","","","19820129","423-4751","7225","138220","서울특별시 송파구 잠실동 101번지 1호","서울특별시 송파구 올림픽로4길 40 (잠실동)","138892","프리마 쇼핑센타","20111221145539","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","206397.34797252     ","444963.233863255    ","대규모점포"
"3230000","2008323013107500003","19830716","","01","영업/정상","1","정상영업","","","","19880825","4135551","2771","138190","서울특별시 송파구 석촌동 277번지 2호","서울특별시 송파구 가락로 103 (석촌동)","138846","엄마손상가","20140730100207","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","209440.726523187    ","444369.495694674    ","대규모점포"
"3230000","2009323013107500001","20090511","","01","영업/정상","1","정상영업","","","","","000221574024","84471","138200","서울특별시 송파구 문정동 292번지 외 29필지","서울특별시 송파구 충민로 10 (문정동)","138962","가든파이브 툴","20200427152452","U","2020-04-29 02:40:00.0","쇼핑센터","210535.08961600000  ","442137.57867400000  ","대규모점포"
"3230000","2009323013107500002","20090511","","01","영업/정상","1","정상영업","","","","","21570118","145244.54","138200","서울특별시 송파구 문정동 516번지","서울특별시 송파구 충민로 66 (문정동)","138960","가든파이브 라이프","20150417095353","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","211053.11951800000  ","442026.98878300000  ","대규모점포"
"3230000","2009323013107500003","20090630","","01","영업/정상","1","정상영업","","","","","430-7007","3004","138130","서울특별시 송파구 오금동 615번지  올림픽파크동부센트레빌 상가","서울특별시 송파구 양재대로72길 5 (오금동)","138130","올림픽파크동부센트레빌 상가","20111221145036","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","211217.0019233      ","445334.151660974    ","대규모점포"
"3230000","2010323019807500001","20100424","","03","폐업","3","폐업처리","20160531","","","","2290-5853","311.4","138814","서울특별시 송파구 거여2동 37번지 3호","서울특별시 송파구 오금로 507 (거여동)","138814","롯데쇼핑(주)롯데슈퍼거여점","20170414101512","I","2018-08-31 23:59:59.0","구분없음","212769.337053978    ","443460.333645388    ","준대규모점포"
"3230000","2011323019807500001","19840208","","01","영업/정상","1","정상영업","","","","","024166006","5269","138851","서울특별시 송파구 송파1동 121번지","서울특별시 송파구 가락로 183 (송파동)","138851","한화건설 송파지점","20160302153822","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","210057.912138022    ","444767.367639796    ","대규모점포"
"3230000","2011323019807500002","19970218","","01","영업/정상","1","정상영업","","","","","024037008","3719.38","138808","서울특별시 송파구 가락2동 140번지","서울특별시 송파구 동남로 189 (가락동)","138808","쌍용프라자 상가","20170525142803","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","211259.909777857    ","443711.702922024    ","대규모점포"
"3230000","2011323019807500003","20110829","","01","영업/정상","1","정상영업","","","","","2290-5853","271.6","138908","서울특별시 송파구 잠실2동 19번지 8호","서울특별시 송파구 올림픽로 111 (잠실동)","138908","롯데쇼핑(주)롯데슈퍼신천점","20170419140455","I","2018-08-31 23:59:59.0","구분없음","207270.219021574    ","445550.277249649    ","준대규모점포"
"3230000","2011323019807500004","20110829","","01","영업/정상","1","정상영업","","","","","2290-5853","288","138915","서울특별시 송파구 잠실3동 35번지 2호","서울특별시 송파구 석촌호수로 61 (잠실동)","138915","롯데쇼핑(주)롯데슈퍼잠실3동점","20170419140414","I","2018-08-31 23:59:59.0","구분없음","207553.918225133    ","445383.338011122    ","준대규모점포"
"3230000","2011323019807500005","20110905","","01","영업/정상","1","정상영업","","","","","3431-5602","172.8","138828","서울특별시 송파구 방이2동 63번지 11호","서울특별시 송파구 올림픽로32길 20 (방이동)","138828","롯데쇼핑(주)롯데슈퍼방이점","20170419140615","I","2018-08-31 23:59:59.0","구분없음","209576.621957045    ","445779.100983519    ","준대규모점포"
"3230000","2012323019807500001","20120321","","03","폐업","3","폐업처리","20120321","","","","422-5851","9815","138916","서울특별시 송파구 잠실3동","서울특별시 송파구 올림픽로 203 (잠실동)","138916","(유)잠실중앙상가","20170724113642","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","208187.623477261    ","445589.718583334    ","대규모점포"
"3230000","2012323019807500002","20120120","","01","영업/정상","1","정상영업","","","","","02-848-3651","326.92","138803","서울특별시 송파구 가락동 88번지 2호","서울특별시 송파구 중대로9길 35 (가락동)","138803","(주)이마트에브리데이 가락동점","20170411131215","I","2018-08-31 23:59:59.0","구분없음","210391.461980814    ","443796.02703891     ","준대규모점포"
"3230000","2012323019807500003","20120405","","01","영업/정상","1","정상영업","","","","","2290-5853","693","138779","서울특별시 송파구 송파2동 121번지 한양2차아파트 1층 67호호","서울특별시 송파구 가락로 183 1층 67호 (송파동)","138851","롯데쇼핑(주)롯데슈퍼송파점","20170419140511","I","2018-08-31 23:59:59.0","구분없음","210057.912138022    ","444767.367639796    ","준대규모점포"
"3230000","2012323019807500004","20120330","","01","영업/정상","1","정상영업","","","","","2290-5853","203.3","138879","서울특별시 송파구 풍납2동 400번지 5호   101호","서울특별시 송파구 강동대로9길 20 (풍납동)","138879","롯데쇼핑(주)롯데슈퍼풍납점","20200120150653","U","2020-01-22 02:40:00.0","구분없음","210274.185529862    ","447307.649759292    ","준대규모점포"
"3230000","2012323019807500005","20120405","","01","영업/정상","1","정상영업","","","","","2290-5853","105.5","138845","서울특별시 송파구 석촌동 235번지 17호","서울특별시 송파구 백제고분로34길 3 (석촌동)","138845","롯데쇼핑(주)롯데슈퍼석촌점","20170419140559","I","2018-08-31 23:59:59.0","구분없음","208675.812751826    ","444446.053485778    ","준대규모점포"
"3230000","2012323019807500006","20120405","","01","영업/정상","1","정상영업","","","","","02  400 2007","1662.6","138130","서울특별시 송파구 오금동 615번지","서울특별시 송파구 양재대로72길 5 (오금동)","138130","농협하나로마트방이역점","20200514164946","U","2020-05-16 02:40:00.0","구분없음","211217.0019233      ","445334.151660974    ","준대규모점포"
"3230000","2013323019807500001","20111102","","03","폐업","3","폐업처리","20180529","20180401","20190115","","000234598000","260","138837","서울특별시 송파구 삼전동 9번지 19호","서울특별시 송파구 백제고분로 207 (삼전동)","138837","홈플러스(주)익스프레스 삼전점","20180604080007","I","2018-08-31 23:59:59.0","구분없음","207869.041788408    ","444656.547305861    ","준대규모점포"
"3230000","2013323019807500002","20111202","","01","영업/정상","1","정상영업","","","","","000230128545","835","138814","서울특별시 송파구 거여2동 27번지 5호 B101호","서울특별시 오금로 512","138813","홈플러스(주)익스프레스 거여점","20171117100940","I","2018-08-31 23:59:59.0","구분없음","212800.699970729    ","443397.261935451    ","준대규모점포"
"3230000","2013323019807500003","20110905","","01","영업/정상","1","정상영업","","","","","024188545","259","138933","서울특별시 송파구 잠실4동 44번지 1호","서울특별시 송파구 석촌호수로 133 (잠실동)","138220","홈플러스(주)익스프레스 잠실점","20171117100922","I","2018-08-31 23:59:59.0","구분없음","208045.233042977    ","445054.410833743    ","준대규모점포"
