"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","점포구분명"
"3140000","1981314011407500001","19810923","","01","영업/정상","1","정상영업","","","","20070226","02  26432767","3014","","서울특별시 양천구 목동 739번지 1호","서울특별시 양천구 목동중앙본로7길 45 (목동)","","목동시장아울렛","20140818163835","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","188117.351835882    ","448552.989897945    ","대규모점포"
"3140000","1988314011407500001","19880919","","01","영업/정상","1","정상영업","","","","19880919","02 26931241","2247","","서울특별시 양천구 신월동 928번지 1 호","서울특별시 양천구 지양로 78 (신월동)","","우성상가시장","20110816160143","I","2018-08-31 23:59:59.0","시장","185221.95790954     ","446727.354964214    ","대규모점포"
"3140000","2002314011407500001","20020809","","01","영업/정상","1","정상영업","","","","20020809","0221632233","38258","","서울특별시 양천구 목동 916호","서울특별시 양천구 목동동로 257 (목동)","","현대백화점목동점","20200424085436","U","2020-04-26 02:40:00.0","백화점","188884.075622342    ","447186.888604306    ","대규모점포"
"3140000","2004314010207599100","20040604","","01","영업/정상","1","정상영업","","","","","0266789236","24319","","서울특별시 양천구 목동 917번지 6호","서울특별시 양천구 목동동로 309 (목동)","","행복한백화점","20190213180536","U","2019-02-15 02:40:00.0","백화점","188977.171050288    ","447466.355031447    ","대규모점포"
"3140000","2006314010207500001","20060328","","02","휴업","2","휴업처리","","","","","02  26424071","0","","서울특별시 양천구 목동 960호   ","서울특별시 양천구 목동중앙북로 7 (목동)","","신한이모르젠상가","20070721104758","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","187955.121454906    ","449649.016215774    ",""
"3140000","2006314011407500001","20061101","","03","폐업","3","폐업처리","20081031","","","","02 30161500","0","","서울특별시 양천구 목동 919번지 7호","서울특별시 양천구 목동서로 170 (목동)","","(주)이랜드리테일","20140218142922","I","2018-08-31 23:59:59.0","쇼핑센터","188729.190478822    ","447572.610039376    ","대규모점포"
"3140000","2008314011407500001","20081016","","01","영업/정상","1","정상영업","","","","","780-9051","3143.65","158077","서울특별시 양천구 신정동 201번지 1호","서울특별시 양천구 목동남로4길 2 (신정동)","","신정동세양청마루2차상가","20081022151332","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","187954.189632117    ","445124.131588947    ",""
"3140000","2008314011407500002","20081103","","01","영업/정상","1","정상영업","","","","","0226442080","19765.04","158051","서울특별시 양천구 목동 919번지 7호","서울특별시 양천구 목동서로 170 (목동)","","홈플러스(주)목동점","20191213091237","U","2019-12-15 02:40:00.0","복합쇼핑몰","188729.190478822    ","447572.610039376    ","대규모점포"
"3140000","2009314011407500001","20090323","","03","폐업","3","폐업처리","20110519","","","","380-9426","14074.76","158051","서울특별시 양천구 목1동 926번지 9261호 목동트라팰리스 내(지하12층)","","","신세계 이마트 목동점","20140218110129","I","2018-08-31 23:59:59.0","대형마트","","","대규모점포"
"3140000","2009314011407500002","19760616","","01","영업/정상","1","정상영업","","","","","26545959","3636.42","158053","서울특별시 양천구 목3동 960번지","서울특별시 양천구 목동중앙북로 7 (목동)","","신한이모르젠상가","20140930100650","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","187955.121454906    ","449649.016215774    ","대규모점포"
"3140000","2009314011407500003","20070129","","01","영업/정상","1","정상영업","","","","20070129","02-2649-2059","0","158808","서울특별시 양천구 목2동 513번지 514514526527528530번지일대","서울특별시 양천구 공항대로 610 (목동514514526527528530번지일대)","","목2동시장상인회","20100914104909","I","2018-08-31 23:59:59.0","시장","188635.230900983    ","449396.806374349    ",""
"3140000","2009314011407500004","20050504","","01","영업/정상","1","정상영업","","","","20050504","02-2647-9191","0","158814","서울특별시 양천구 목4동 727번지 736726738725739724723일대","","","목4동시장상인회","20140805100643","I","2018-08-31 23:59:59.0","시장","","",""
"3140000","2009314011407500005","20050504","","01","영업/정상","1","정상영업","","","","20050504","02-2606-5988","0","158834","서울특별시 양천구 신월2동 446번지 447484463 신월4동427428번지일대","","","경창시장상인회","20091116145120","I","2018-08-31 23:59:59.0","시장","","",""
"3140000","2009314011407500006","20060906","","01","영업/정상","1","정상영업","","","","20060906","02-2644-3238","0","158811","서울특별시 양천구 목3동 602번지 610~618번지일대","","","목3동시장상인회","20091116145933","I","2018-08-31 23:59:59.0","시장","","",""
"3140000","2009314011407500007","20060607","","01","영업/정상","1","정상영업","","","","20060607","02-2604-3319","0","158827","서울특별시 양천구 신월1동 105번지 106113114115118119일대","","","신영시장상인회","20091116150321","I","2018-08-31 23:59:59.0","시장","","",""
"3140000","2010314011407500001","20100405","","03","폐업","3","폐업처리","20110519","","","","6923-1053","14074.76","158051","서울특별시 양천구 목1동 962번지 1호  목동트라팰리스 내","서울특별시 양천구 오목로 299 (목동목동트라팰리스 내)","","(주)신세계이마트 목동점","20140218143956","I","2018-08-31 23:59:59.0","대형마트","188551.299139509    ","447076.288051741    ","대규모점포"
"3140000","2011314011407500001","20110520","","01","영업/정상","1","정상영업","","","","","0269231234","14074.76","158766","서울특별시 양천구 목1동 962번지 1호 목동트라팰리스 내","서울특별시 양천구 오목로 299 (목동)","158766","(주)이마트 목동점","20200423151950","U","2020-04-25 02:40:00.0","대형마트","188551.299139509    ","447076.288051741    ","대규모점포"
"3140000","2011314011407500002","20110630","","01","영업/정상","1","정상영업","","","","","2696-8546","213","158073","서울특별시 양천구 신정3동 1183번지 12호","서울특별시 양천구 중앙로 255-1 (신정동)","","홈플러스(주)익스프레스 신정점","20171121153415","I","2018-08-31 23:59:59.0","구분없음","186934.14769332     ","446336.680481997    ","준대규모점포"
