개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,최종수정일자,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(X),좌표정보(Y),점포구분명
3180000,1.98232E+18,19821020,,3,폐업,3,폐업처리,20090825,,,,02-2630-8800,5380,150043,서울특별시 영등포구 당산동3가 2번지 7호,,,코레일유통주식회사,2.0091E+13,I,59:59.0,그 밖의 대규모점포,191272.121,447064.8858,
3180000,1.99132E+18,19910501,,1,영업/정상,1,정상영업,,,,,226708832,53086.27,150030,서울특별시 영등포구 영등포동 618번지 496호,,,롯데백화점 영등포점,2.02004E+13,U,40:00.0,백화점,191741.3458,445970.3076,대규모점포
3180000,2.00132E+18,19850727,,2,휴업,2,휴업처리,,,,,02 7896052,,,서울특별시 영등포구 여의도동 60호   ,서울특별시 영등포구 63로 50 (여의도동),,63씨티,2.00707E+13,I,59:59.0,그 밖의 대규모점포,194632.5264,446401.9265,
3180000,2.00132E+18,19941007,,1,영업/정상,1,정상영업,,,,,226302653,,,서울특별시 영등포구 양평동3가 65호   ,서울특별시 영등포구 선유로 156 (양평동3가),,코스트코홀세일,2.00707E+13,I,59:59.0,그 밖의 대규모점포,190408.5091,447298.0222,
3180000,2.00132E+18,19970916,,1,영업/정상,1,정상영업,,,,,226338050,,,서울특별시 영등포구 영등포동5가 20호   ,,,영등포지하상가,2.00707E+13,I,59:59.0,그 밖의 대규모점포,,,
3180000,2.00132E+18,19800409,,1,영업/정상,1,정상영업,,,,,02 6788817,,,서울특별시 영등포구 영등포동5가 20호   ,,,영등포역앞지하상가,2.00707E+13,I,59:59.0,그 밖의 대규모점포,,,
3180000,2.00132E+18,19830909,,1,영업/정상,1,정상영업,,,,,02 6788586,,,서울특별시 영등포구 영등포동5가 20호   ,,,영등포로타리지하상가,2.00707E+13,I,59:59.0,그 밖의 대규모점포,,,
3180000,2.00132E+18,19871127,,1,영업/정상,1,정상영업,,,,,226340536,,,서울특별시 영등포구 영등포동5가 20호   ,,,삼구시장,2.00707E+13,I,59:59.0,그 밖의 대규모점포,,,
3180000,2.00132E+18,19710809,,1,영업/정상,1,정상영업,,,,,226354846,,,서울특별시 영등포구 영등포동5가 24호   ,서울특별시 영등포구 영등포로37길 4 (영등포동5가),,동남시장,2.00707E+13,I,59:59.0,그 밖의 대규모점포,191590.8783,446489.4195,
3180000,2.00132E+18,19740515,,1,영업/정상,1,정상영업,,,,,226339047,,,서울특별시 영등포구 문래동3가 16호   ,,,영일시장,2.00707E+13,I,59:59.0,그 밖의 대규모점포,,,
3180000,2.00132E+18,19750609,,1,영업/정상,1,정상영업,,,,,02 7824581,,,서울특별시 영등포구 여의도동 42번지 1   호   ,,,한화스토아여의점,2.00707E+13,I,59:59.0,그 밖의 대규모점포,,,
