"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","점포구분명"
"3020000","1970302007407500005","19701130","","03","폐업","3","폐업처리","20120802","","","","027980401","4858.45","","서울특별시 용산구 이촌동 300번지 27  호","서울특별시 용산구 이촌로 224 (이촌동)","","한강상가","20120802142300","I","2018-08-31 23:59:59.0","시장","197450.277644237    ","446437.197878548    ","대규모점포"
"3020000","1985302007407500008","19850701","","01","영업/정상","1","정상영업","","","","","","","","서울특별시 용산구 한강로1가 191호   ","","","국제센터아케이드","20070721101507","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","197646.514005514    ","447909.070650149    ",""
"3020000","1993302007407500001","19930413","","01","영업/정상","1","정상영업","","","","","02 7037091","","","서울특별시 용산구 한강로2가 413호   ","서울특별시 용산구 청파로 113-12 (한강로2가)","","(주)전자타운","20070721101507","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","196775.639878418    ","447984.6345458      ",""
"3020000","2001302007407500001","20010524","","03","폐업","3","폐업처리","20131220","","","","02  704 5858","14561.78","","서울특별시 용산구 한강로3가 40번지 969호","서울특별시 용산구 청파로20길 83 (한강로3가)","140745","터미널전자상가","20131220161219","I","2018-08-31 23:59:59.0","전문점","196610.663839509    ","447742.348636253    ","대규모점포"
"3020000","2001302007407500002","20010804","","03","폐업","3","폐업처리","20140402","","","","02)718-9555","3386","","서울특별시 용산구 산천동 202호","서울특별시 용산구 원효로 51 (산천동)","","삼성테마트","20140403095154","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","195547.140326252    ","447976.775939762    ","대규모점포"
"3020000","2004302007407500001","20040921","","01","영업/정상","1","정상영업","","","","","02-2012-0101","117912.81","","서울특별시 용산구 한강로3가 40번지 999호","서울특별시 용산구 한강대로23길 55 (한강로3가)","140780","아이파크몰(I PARK MALL)","20190717161552","U","2019-07-19 02:40:00.0","쇼핑센터","196762.077394917    ","447480.039577359    ","대규모점포"
"3020000","2004302007407500002","20041222","","01","영업/정상","1","정상영업","","","","","02  799 7114","6876.34","","서울특별시 용산구 한강로2가 191호","서울특별시 용산구 한강대로 92 (한강로2가)","140702","LS Avenue","20121015094552","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","197099.381481836    ","447328.548832245    ","대규모점포"
"3020000","2005302007407500001","19930413","","01","영업/정상","1","정상영업","","","","","7037091","10634.18","","서울특별시 용산구 한강로2가 413호","서울특별시 용산구 청파로 113-12 (한강로2가)","","전자타운","20141024103715","I","2018-08-31 23:59:59.0","전문점","196775.639878418    ","447984.6345458      ","대규모점포"
"3020000","2006302007407500001","19600217","","01","영업/정상","1","정상영업","","","","","02  794 5682","574","","서울특별시 용산구 이태원동 56번지 9호","서울특별시 용산구 이태원로14길 6 (이태원동)","","이태원시장","20120330140223","I","2018-08-31 23:59:59.0","시장","199051.158829761    ","447953.601666521    ","대규모점포"
"3020000","2006302007407500002","19871126","","01","영업/정상","1","정상영업","","","","","02)718-7113","37901.41","","서울특별시 용산구 한강로2가 15번지 14호","서울특별시 용산구 새창로 181 (한강로2가 선인상가)","04371","선인상가","20170104103101","I","2018-08-31 23:59:59.0","전문점","196839.641743356    ","447863.232025192    ","대규모점포"
"3020000","2006302007407500003","19750701","","01","영업/정상","1","정상영업","","","","","02)794-0343","2688.42","","서울특별시 용산구 보광동 260번지 8호","서울특별시 용산구 보광로 30 (보광동)","","보광시장","20080429125947","I","2018-08-31 23:59:59.0","시장","199955.429742269    ","447219.161582186    ",""
"3020000","2006302007407500004","20060825","","01","영업/정상","1","정상영업","","","","","02)2012-0101","17898.53","","서울특별시 용산구 한강로3가 40번지 999호","서울특별시 용산구 한강대로23길 55 (한강로3가)","140780","아이파크(I PARK)백화점","20190717161407","U","2019-07-19 02:40:00.0","백화점","196762.077394917    ","447480.039577359    ","대규모점포"
"3020000","2008302009507500001","19681109","","01","영업/정상","1","정상영업","","","","","02)714-0151","1209.2","140140","서울특별시 용산구 서계동 260번지 1호","서울특별시 용산구 효창원로 270 (서계동)","140830","만리시장","20120313130901","I","2018-08-31 23:59:59.0","시장","196716.165873094    ","449892.557718372    ","대규모점포"
"3020000","2008302009507500002","19870213","","01","영업/정상","1","정상영업","","","","","02-3786-6352","4845.26","140200","서울특별시 용산구 이태원동 119번지 25호","서울특별시 용산구 이태원로 179 (이태원동)","","해밀톤 쇼핑몰","20180928145653","U","2018-09-28 23:59:59.0","쇼핑센터","199363.595799729    ","448050.926289223    ","대규모점포"
"3020000","2008302009507500003","19871031","","01","영업/정상","1","정상영업","","","","","02  707 4628","62555.57","140013","서울특별시 용산구 한강로3가 16번지 9호","서울특별시 용산구 청파로 74 (한강로3가)","","(주)에스와이에스홀딩스","20141024102520","I","2018-08-31 23:59:59.0","전문점","196370.746398773    ","447841.698787531    ","대규모점포"
"3020000","2008302009507500004","19871110","","01","영업/정상","1","정상영업","","","","","02-704-3013","38633.32","","서울특별시 용산구 한강로3가 1번지 1호 나진상가","서울특별시 용산구 청파로 109 나진상가 (한강로3가)","04370","나진산업 주식회사","20200706172515","U","2019-12-07 00:08:00.0","전문점","196697.031086973","447931.108267379",""
"3020000","2008302009507500005","19880623","","01","영업/정상","1","정상영업","","","","","02)702-3411","8382.6","140113","서울특별시 용산구 원효로3가 51번지 30호","서울특별시 용산구 청파로 77 (원효로3가)","140849","원효전자상가","20130321093921","I","2018-08-31 23:59:59.0","전문점","196385.232032928    ","447938.19246116     ","대규모점포"
"3020000","2008302009507500006","19851112","","01","영업/정상","1","정상영업","","","","","02)795-7501","3327.67","140026","서울특별시 용산구 용산동6가 69번지 167호","서울특별시 용산구 이촌로 352 (용산동6가)","","신동아 쇼핑센터","20080429212756","I","2018-08-31 23:59:59.0","쇼핑센터","198622.89264988     ","446114.155238838    ",""
"3020000","2010302009507500001","19851112","","01","영업/정상","1","정상영업","","","","","709-7501","7470.17","140026","서울특별시 용산구 용산동6가 69번지 167호","서울특별시 용산구 이촌로 352 (용산동6가)","","신동아쇼핑센터","20141024102252","I","2018-08-31 23:59:59.0","쇼핑센터","198622.89264988     ","446114.155238838    ","대규모점포"
"3020000","2012302009507500001","20120313","","01","영업/정상","1","정상영업","","","","","0220772800","3271","140012","서울특별시 용산구 한강로2가 15번지 19호","서울특별시 용산구 청파로 122 (한강로2가)","140012","(주)농협유통하나로클럽용산점","20200427090108","U","2020-04-29 02:40:00.0","대형마트","196813.258497258    ","447881.970772064    ","대규모점포"
"3020000","2012302009507500002","20120320","","01","영업/정상","1","정상영업","","","","","02-2290-5853","858.3","140026","서울특별시 용산구 용산동6가 69번지 167호","서울특별시 용산구 이촌로 352 (용산동6가)","140026","롯데쇼핑(주)롯데슈퍼 신동아점","20170814181930","I","2018-08-31 23:59:59.0","구분없음","198622.89264988     ","446114.155238838    ","준대규모점포"
"3020000","2012302009507500003","20120323","","01","영업/정상","1","정상영업","","","","","02-793-9633","181.89","","서울특별시 용산구 한남동 631번지 5호 허준빌딩","서울특별시 용산구 대사관로34길 26 허준빌딩 1층 (한남동)","04402","롯데슈퍼 한남점(가맹점)","20190319144019","U","2019-03-21 02:40:00.0","구분없음","200431.145594386    ","447763.414163072    ","준대규모점포"
"3020000","2014302009507500001","20140731","","01","영업/정상","1","정상영업","","","","","027135601","121.7","140160","서울특별시 용산구 남영동 93번지 30호","서울특별시 한강대로77길 12","140807","롯데쇼핑(주)롯데market999갈월점","20170518172346","I","2018-08-31 23:59:59.0","구분없음","197443.881826007    ","448884.957554763    ","준대규모점포"
"3020000","2014302009507500002","20140731","","01","영업/정상","1","정상영업","","","","","027115602","643.3","","","서울특별시 용산구 백범로 341 (원효로1가)","140111","롯데쇼핑(주)롯데슈퍼원효로점","20170814181624","I","2018-08-31 23:59:59.0","구분없음","197101.127488725    ","448437.06789045     ","준대규모점포"
