"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","점포구분명"
"3110000","2001311008807500001","19600216","","01","영업/정상","1","정상영업","","","","","02 3025798","","","서울특별시 은평구 수색동 205번지 21  호   ","","","수일시장","20070714101627","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","","",""
"3110000","2001311008807500002","19630527","","01","영업/정상","BBBB","","","","","","02 3855071","","","서울특별시 은평구 대조동 14번지 37  호   ","","","대조시장","20070714101627","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","","",""
"3110000","2001311008807500003","19650531","","03","폐업","3","폐업처리","20180417","","","","02 3868773","0","","서울특별시 은평구 갈현동 424번지 16 호","서울특별시 은평구 갈현로 300 (갈현동)","","갈현시장","20180417174939","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","192640.073875       ","457921.155872       ","대규모점포"
"3110000","2001311008807500004","19681014","","02","휴업","2","휴업처리","","","","","02 3599323","0","","서울특별시 은평구 진관외동 424번지 1호   ","","","진관시장","20070714101627","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","","",""
"3110000","2001311008807500005","19700123","","01","영업/정상","BBBB","","","","","","02 3557450","","","서울특별시 은평구 대조동 14번지 24호   ","","","불광시장(주)","20070714101627","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","","",""
"3110000","2001311008807500006","19661207","","03","폐업","3","폐업처리","20170404","","","","1111111","0","","서울특별시 은평구 응암동 74번지 7 호","","","녹번시장","20170405105855","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","193792.984914301    ","455370.61376951     ","대규모점포"
"3110000","2001311008807500007","19700912","","01","영업/정상","1","정상영업","","","","","02 3550727","","","서울특별시 은평구 응암동 427번지 126호   ","서울특별시 은평구 응암로 252 (응암동)","","응암시장","20070714101627","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","192738.381117433    ","454678.898500315    ",""
"3110000","2001311008807500008","19701218","","01","영업/정상","1","정상영업","","","","","02 373 5990","2130","","서울특별시 은평구 갈현동 467번지 1호","서울특별시 은평구 연서로17길 18-6 (갈현동)","","역촌중앙시장","20141120134924","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","192534.656897366    ","456773.714884876    ","대규모점포"
"3110000","2001311008807500009","19701224","","01","영업/정상","1","정상영업","","","","","02-3157-1566","3887.79","","서울특별시 은평구 불광동 631번지 1호","서울특별시 은평구 불광로 90-0 (불광동)","","대호프라자상가","20181023180247","U","2018-10-25 02:37:35.0","그 밖의 대규모점포","194002.701726955    ","456937.542510222    ","대규모점포"
"3110000","2001311008807500010","19710923","","01","영업/정상","1","정상영업","","","","","02 3596466","","","서울특별시 은평구 역촌동 31번지 6  호   ","","","서부종합시장","20070714101627","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","","",""
"3110000","2001311008807500011","19721113","","01","영업/정상","1","정상영업","","","","","02 3026729","","","서울특별시 은평구 응암동 300번지 11 호   ","","","양지시장","20070714101627","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","","",""
