"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","점포구분명"
"3000000","1971300007607500003","19710906","","02","휴업","2","휴업처리","","","","","02 22785356","6194","","서울특별시 종로구 종로3가 175번지 4호   ","","","종로세운상가","20070721102756","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","","",""
"3000000","1987000007607500005","19871207","","02","휴업","2","휴업처리","","","","","031 3395465","","","서울특별시 종로구 창신동 766호   ","","","숭인제일아케이트","20070721102756","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","","",""
"3000000","1987300007607500002","19871030","","02","휴업","2","휴업처리","","","","","0222670291","","","   호   ","","","광장시장주식회사","20070721102756","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","","",""
"3000000","1991300007607500001","19910731","","01","영업/정상","1","정상영업","","","","","0222620209","55081.94","110784","서울특별시 종로구 종로6가 289번지 3 호","서울특별시 종로구 종로 266 (종로6가)","110784","동대문종합시장","20190131141931","U","2019-02-02 02:40:00.0","그 밖의 대규모점포","200717.7490316      ","452011.865092338    ","대규모점포"
"3000000","2003300007607500003","20031020","","01","영업/정상","1","정상영업","","","","","0222770114","4612.66","110126","서울특별시 종로구 종로6가 289번지 57호","서울특별시 종로구 종로 272 (종로6가)","110126","동대문종합시장 신관","20170609144840","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","200647.01325068     ","452054.764927519    ","대규모점포"
"3000000","2003300012907500001","20030304","","01","영업/정상","1","정상영업","","","","","2267-0291","16128.75","110833","서울특별시 종로구 예지동 6번지 1호","","","광장주식회사","20070801173946","I","2018-08-31 23:59:59.0","시장","199837.41426735     ","451974.128468485    ",""
"3000000","2004300007607500002","20040430","","01","영업/정상","1","정상영업","","","","","02 3973445","4674.66","110714","서울특별시 종로구 종로1가 1번지","서울특별시 종로구 종로 1 (종로1가)","110714","종로1번지아케이트","20181219132959","U","2018-12-21 02:40:00.0","전문점","197993.904628438    ","452032.958591394    ","대규모점포"
"3000000","2004300007607500003","20040430","","01","영업/정상","1","정상영업","","","","","02 3995591","","","서울특별시 종로구 서린동 33호   ","","","영풍문고","20070721102756","I","2018-08-31 23:59:59.0","대형마트","198351.818737482    ","451921.60302604     ",""
"3000000","2004300007607500017","20040630","","01","영업/정상","1","정상영업","","","","","0236760177","","","서울특별시 종로구 창신동 436번지 79  호   ","","","동대문신발도매상가","20070721102756","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","","",""
"3000000","2004300007607500018","20041210","","01","영업/정상","1","정상영업","","","","","0222798751","11750","","서울특별시 종로구 종로6가 270번지 3호 동대문종합시장D동상가","서울특별시 종로구 종로 266 동대문종합시장D동상가  동 (종로6가)","03198","동대문종합시장D동상가","20190617131555","U","2019-06-19 02:40:00.0","그 밖의 대규모점포","200579.409754868    ","452035.347658612    ","준대규모점포"
"3000000","2004300012907500001","19920704","","01","영업/정상","1","정상영업","","","","","02  519 2800","6906.53","110752","서울특별시 종로구 서린동 33번지 영풍빌딩","서울특별시 종로구 청계천로 41 (서린동)","110752","영풍문고","20200917182403","U","2019-12-08 23:09:00.0","전문점","198351.818737482","451921.60302604",""
"3000000","2005300007607500001","20050127","","01","영업/정상","1","정상영업","","","","","0222785356","","","   호   ","","","종로세운상가","20070721102756","I","2018-08-31 23:59:59.0","대형마트","","",""
"3000000","2005300007607500002","20050218","","02","휴업","2","휴업처리","","","","","22785356","6638","","서울특별시 종로구 종로3가 175번지 4호   ","","","종로세운상가","20070721102756","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","","",""
"3000000","2007300010107500001","20070704","","01","영업/정상","1","정상영업","","","","","02 7435390","3961.31","","서울특별시 종로구 인의동 48번지 2호","서울특별시 종로구 종로 183 (인의동 효성주얼리시티)","03130","효성주얼리시티","20161109111010","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","199812.609633255    ","452132.648343993    ","대규모점포"
"3000000","2007300012907500001","20070907","","01","영업/정상","1","정상영업","","","","","763-0181","3393.77","","서울특별시 종로구 창신동 23번지 76호 브라운스톤 창신","서울특별시 종로구 지봉로 81 (창신동 브라운스톤 창신)","03095","브라운스톤 창신상가","20190131144628","U","2019-02-02 02:40:00.0","그 밖의 대규모점포","201258.062657124    ","452787.132831042    ","준대규모점포"
