"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","점포구분명"
"3010000","1964301010007500001","19641013","","01","영업/정상","1","정상영업","","","","","02-753-2805","53845.06","100060","서울특별시 중구 남창동 49번지","서울특별시 중구 남대문시장4길 21 (남창동)","100060","서울남대문시장","20180904101122","U","2018-09-04 23:59:59.0","그 밖의 대규모점포","197951.150595295    ","450771.087810153    ","대규모점포"
"3010000","1968301010007500001","19960704","","01","영업/정상","1","정상영업","","","","","02-2232-3608","6140","","","서울특별시 중구 마장로 30 (신당동)","100886","팀204","20190514084648","U","2019-05-16 02:40:00.0","그 밖의 대규모점포","201096.681322159    ","451715.830447841    ","대규모점포"
"3010000","1970301013007500001","19700129","","01","영업/정상","1","정상영업","","","","","02-2269-1967","15144","","","서울특별시 중구 청계천로 260-9 (을지로6가 통일의류종합상가)","04563","통일상가","20150902091416","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","200541.637728834    ","451814.45954577     ","대규모점포"
"3010000","1971301007107500021","19711230","","01","영업/정상","1","정상영업","","","","","0222699891","10269.89","","서울특별시 중구 충무로4가 120번지 3   호","서울특별시 중구 퇴계로 217 (충무로4가)","","진양상가","20160410154735","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","199571.599470393    ","451124.851387624    ","대규모점포"
"3010000","1977301013007500022","19770623","","01","영업/정상","1","정상영업","","","","","02-778-4611","9578","","","서울특별시 중구 삼일대로 363 (장교동)","100760","상제리제상가","20200430160724","U","2020-05-02 02:40:00.0","그 밖의 대규모점포","198744.433228989    ","451677.065126229    ","대규모점포"
"3010000","1980301007107500001","19801016","","01","영업/정상","1","정상영업","","","","","0222384914","4203.03","","서울특별시 중구 신당동 776호","서울특별시 중구 마장로 19 (신당동)","","(주)에리어식스","20150130151443","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","200989.686611204    ","451762.261508835    ","대규모점포"
"3010000","1985301013007500003","19851109","","03","폐업","3","폐업처리","20150827","11111111","11111111","","0222739909","0","","","서울특별시 중구 마른내로 140 (쌍림동)","100400","(주)심풍유통","20150827141035","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","200247.445072989    ","451352.512042888    ","대규모점포"
"3010000","1994301010007500001","20090908","","01","영업/정상","1","정상영업","","","","","2236-8027","4097.54","100430","서울특별시 중구 흥인동 3번지 4호","서울특별시 중구 다산로 274 (흥인동)","","우일타운","20160420175702","I","2018-08-31 23:59:59.0","전문점","201390.623455546    ","451682.924382048    ","대규모점포"
"3010000","1996301013007500001","19960831","","03","폐업","3","폐업처리","20150827","","","","02-2048-4800","75439.97","","","서울특별시 중구 남대문로 84 (남대문로2가)","100092","케레스타","20150827092301","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","198421.647678142    ","451369.545909652    ","대규모점포"
"3010000","1997301013007500004","19970822","","03","폐업","3","폐업처리","20150827","11111111","11111111","","02-3782-0114","0","","","서울특별시 중구 세종대로9길 58-12 (서소문동)","100737","대한통운마트","20150827140844","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","","","대규모점포"
