"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","점포구분명"
"3060000","2005306007507500001","20010418","","01","영업/정상","1","정상영업","","","","","02-439-1144","9776.28","","서울특별시 중랑구 상봉동 81호","서울특별시 중랑구 망우로 336 (상봉동)","131858","코스트코홀세일 상봉점","20151203175405","I","2018-08-31 23:59:59.0","대형마트","207897.260402153    ","454953.363448013    ","대규모점포"
"3060000","2006306009507500001","20060828","","01","영업/정상","1","정상영업","","","","","0220248000","11101","131132","서울특별시 중랑구 신내2동 645번지","서울특별시 중랑구 신내로 201 (신내동)","131872","홈플러스 신내점","20171123131355","I","2018-08-31 23:59:59.0","대형마트","208208.786684767    ","457054.793655589    ","대규모점포"
"3060000","2006306009507500002","20061026","","01","영업/정상","1","정상영업","","","","","024372080","8128.82","","서울특별시 중랑구 면목동 168번지 2호","서울특별시 중랑구 사가정로 332 (면목동)","131822","홈플러스(주)면목점","20191218132605","U","2019-12-20 02:40:00.0","대형마트","207089.21659098     ","453074.476763597    ","대규모점포"
"3060000","2010306009507500001","20000503","","01","영업/정상","1","정상영업","","","","","02-490-1052","9961.6","131230","서울특별시 중랑구 망우동 506번지 1호","서울특별시 중랑구 상봉로 118 (망우동)","131809","주식회사 이마트 상봉점","20200511172146","U","2020-05-13 02:40:00.0","대형마트","208183.558935157    ","454911.24852306     ","대규모점포"
"3060000","2010306009507500002","20100721","","01","영업/정상","1","정상영업","","","","","02-380-9426","5100.83","131141","서울특별시 중랑구 묵1동 170번지 1호 외 35필지","서울특별시 중랑구 동일로 932 (묵동)","131757","주식회사 이마트 묵동점","20200511171906","U","2020-05-13 02:40:00.0","대형마트","206777.731391054    ","456837.219624564    ","대규모점포"
"3060000","2010306009507500003","20101229","","01","영업/정상","1","정상영업","","","","","0269228100","22618.65","131221","서울특별시 중랑구 상봉1동 500번지","서울특별시 망우로 353-0 (상봉동 프레미어스 엠코)","131857","홈플러스(주) 서울 상봉점","20171123131150","I","2018-08-31 23:59:59.0","대형마트","207923.745922676    ","455090.718335439    ","대규모점포"
"3060000","2010306009507500004","20100721","","04","취소/말소/만료/정지/중지","4","직권취소","","","","","02-380-9426","5100.83","131141","서울특별시 중랑구 묵1동 170번지 1호 외 35필지","","","신세계 이마트 묵동점","20130531093058","I","2018-08-31 23:59:59.0","대형마트","206777.731391054    ","456837.219624564    ","대규모점포"
"3060000","2011306009507500001","20110704","","01","영업/정상","1","정상영업","","","","","024918546","466.1","131122","서울특별시 중랑구 중화2동 314번지 1호","서울특별시 중랑구 동일로129길 35 (중화동)","131883","홈플러스(주) 익스프레스 태능점","20171123131037","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","206771.217305763    ","455221.989517331    ","준대규모점포"
"3060000","2011306009507500002","20110809","","01","영업/정상","1","정상영업","","","","","024938545","361.1","131812","서울특별시 중랑구 면목3.8동 499번지 4호","서울특별시 중랑구 면목로 357 (면목동)","131831","홈플러스(주)익스프레스 면목점","20171123130930","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","207708.364765906    ","453525.741161528    ","준대규모점포"
"3060000","2011306009507500003","20110809","","01","영업/정상","1","정상영업","","","","","024348546","364.6","131233","서울특별시 중랑구 망우3동 410번지 1호","서울특별시 중랑구 용마산로 494 (망우동)","131806","홈플러스(주)익스프레스 망우점","20171123130731","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","208781.999418607    ","454740.62692431     ","준대규모점포"
"3060000","2011306009507500004","20120106","","01","영업/정상","1","정상영업","","","","","024323100","1440.66","131828","서울특별시 중랑구 면목7동 650번지 카멜리아 쇼핑센타 1층","서울특별시 중랑구 면목로39길 11 (면목동)","131828","(주)이마트에브리데이 면목동점","20170328165943","I","2018-08-31 23:59:59.0","구분없음","207553.170404939    ","453031.11581883     ","준대규모점포"
"3060000","2011306009507500005","20111007","","01","영업/정상","1","정상영업","","","","","024345602","427.5","131222","서울특별시 중랑구 상봉2동 129번지 9호","서울특별시 중랑구 망우로32길 23 (상봉동)","131861","롯데쇼핑(주)롯데슈퍼 상봉점","20170424175819","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","206740.95977172     ","454517.575326381    ","준대규모점포"
"3060000","2011306009507500006","20010328","","01","영업/정상","1","정상영업","","","","","34232975","4136","131867","서울특별시 중랑구 신내1동 786번지 동성타워프라자","서울특별시 중랑구 봉화산로 221 (신내동)","131867","동성타워프라자","20121105142319","I","2018-08-31 23:59:59.0","복합쇼핑몰","208520.092335397    ","456195.877460936    ","대규모점포"
