행정구역,2018년2분기남성,2018년2분기여성 ,2018년2분기합계,2019년2분기남성,2019년2분기여성 ,2019년2분기합계,2020년2분기남성,2020년2분기여성 ,2020년2분기합계
서울시,119537782,65941342,185479124,99659587,56430481,156090068,101032086,51031029,152063114
종로구,119362607,64274311,183636918,100897346,55155797,156056143,96678183,49232845,145911027
중구,120124429,64330607,184455036,107706748,56667452,164374200,89718981,39490676,129209657
용산구,133347683,74019006,207366689,111918353,62533651,174452004,101424023,52678816,154102839
성동구,115325118,59403017,174728135,105105659,55538038,160643697,103460906,49518705,152979612
광진구,125552101,74131552,199683653,97640152,57770519,155410671,109437524,60794597,170232120
동대문구,125849833,66404886,192254720,100162487,52598111,152760598,100939975,48512995,149452971
중랑구,111316648,59908262,171224910,85624593,45813808,131438401,91284939,42217715,133502653
성북구,117397357,65043117,182440473,91174916,52355907,143530823,82912368,42877377,125789739
강북구,112601422,64008858,176610279,82810431,47870281,130680713,90590446,45638813,136229259
도봉구,127113902,66465733,193579634,105060699,57540633,162601332,111122719,54630178,165752896
노원구,119411007,63584521,182995529,82582448,45474427,128056875,84118951,42577569,126696520
은평구,114413121,62001809,176414930,87317572,49183391,136500962,94290749,50824697,145115446
서대문구,119875205,78409627,198284832,96155249,65384960,161540209,82972633,51401425,13374058
마포구,120770773,74482113,195252886,98580459,59810877,158391336,95674182,55599939,151274121
양천구,102489070,55641733,158130803,81990700,46706137,128696837,90423554,48395192,138818746
강서구,120285665,62303253,182588918,94851312,49509441,144360752,101344800,48920655,150265455
구로구,130969945,62780478,193750423,103530744,52544767,156075511,99340905,46428688,145769593
금천구,135114022,57432574,192546596,112259820,47679900,159939720,124664604,51294511,175959115
영등포구,123454074,62072968,185527043,105357982,54368710,159726693,105095227,50938994,156034220
동작구,117784439,62411123,180195562,100259255,52497078,152756333,100105740,51402085,151507825
관악구,119910700,64420002,184330701,100174444,52344132,152518576,107066203,52841527,159907730
서초구,123344399,82731196,206075594,120843824,97924982,218768805,114642731,55789409,170432140
강남구,123616161,75279772,198895934,110157693,66869906,177027598,120096355,65778636,185874991
송파구,112323629,57531665,169855294,98792373,51075643,149868015,103401538,49501229,152902766
강동구,97126017,49225146,146351163,83075066,42366084,125441150,89024993,43387961,132412954
