NM,CD,GUBUN,20182분기소득분위,20182분위가구수,20192분기소득분위,20192분기가구수,20202분기소분분위,20202분기가구수
서울시 전체,11,si,"7분위:2,983,559~3,741,082원",4194825,"7분위:2,983,559~3,741,082원",4231225,"7분위:2,983,559~3,741,082원",4252822
종로구,11110,gu,"8분위:3,741,083~4,890,361원",72651,"7분위:2,983,559~3,741,082원",73303,"7분위:2,983,559~3,741,082원",73457
청운효자동,11110515,dong,"8분위:3,741,083~4,890,361원",5384,"8분위:3,741,083~4,890,361원",5395,"8분위:3,741,083~4,890,361원",5345
사직동,11110530,dong,"9분위:4,890,362~6,945,811원",4352,"9분위:4,890,362~6,945,811원",4383,"9분위:4,890,362~6,945,811원",4577
삼청동,11110540,dong,"7분위:2,983,559~3,741,082원",1413,"7분위:2,983,559~3,741,082원",1410,"7분위:2,983,559~3,741,082원",1388
부암동,11110550,dong,"8분위:3,741,083~4,890,361원",4243,"7분위:2,983,559~3,741,082원",4318,"7분위:2,983,559~3,741,082원",4268
평창동,11110560,dong,"8분위:3,741,083~4,890,361원",7463,"8분위:3,741,083~4,890,361원",7470,"8분위:3,741,083~4,890,361원",7497
무악동,11110570,dong,"9분위:4,890,362~6,945,811원",3024,"9분위:4,890,362~6,945,811원",2999,"9분위:4,890,362~6,945,811원",2986
교남동,11110580,dong,"8분위:3,741,083~4,890,361원",4485,"8분위:3,741,083~4,890,361원",4537,"8분위:3,741,083~4,890,361원",4575
가회동,11110600,dong,"7분위:2,983,559~3,741,082원",2072,"7분위:2,983,559~3,741,082원",2059,"7분위:2,983,559~3,741,082원",2060
종로1.2.3.4가동,11110615,dong,"7분위:2,983,559~3,741,082원",5288,"7분위:2,983,559~3,741,082원",5278,"7분위:2,983,559~3,741,082원",5246
종로5.6가동,11110630,dong,"6분위:2,440,600~2,983,558원",3164,"6분위:2,440,600~2,983,558원",3150,"6분위:2,440,600~2,983,558원",3235
이화동,11110640,dong,"7분위:2,983,559~3,741,082원",4445,"7분위:2,983,559~3,741,082원",4475,"7분위:2,983,559~3,741,082원",4439
혜화동,11110650,dong,"7분위:2,983,559~3,741,082원",9051,"7분위:2,983,559~3,741,082원",9101,"7분위:2,983,559~3,741,082원",9218
창신1동,11110670,dong,"6분위:2,440,600~2,983,558원",3019,"5분위:2,020,852~2,440,599원",3133,"5분위:2,020,852~2,440,599원",2927
창신2동,11110680,dong,"5분위:2,020,852~2,440,599원",4229,"5분위:2,020,852~2,440,599원",4168,"5분위:2,020,852~2,440,599원",4107
창신3동,11110690,dong,"7분위:2,983,559~3,741,082원",2747,"7분위:2,983,559~3,741,082원",2747,"7분위:2,983,559~3,741,082원",2907
숭인1동,11110700,dong,"7분위:2,983,559~3,741,082원",2618,"6분위:2,440,600~2,983,558원",2597,"6분위:2,440,600~2,983,558원",2946
숭인2동,11110710,dong,"6분위:2,440,600~2,983,558원",5654,"6분위:2,440,600~2,983,558원",6083,"6분위:2,440,600~2,983,558원",5736
중구,11140,gu,"7분위:2,983,559~3,741,082원",58223,"7분위:2,983,559~3,741,082원",58403,"7분위:2,983,559~3,741,082원",61567
소공동,11140520,dong,"9분위:4,890,362~6,945,811원",976,"9분위:4,890,362~6,945,811원",609,"9분위:4,890,362~6,945,811원",1099
회현동,11140540,dong,"8분위:3,741,083~4,890,361원",2911,"8분위:3,741,083~4,890,361원",2932,"8분위:3,741,083~4,890,361원",3145
명동,11140550,dong,"8분위:3,741,083~4,890,361원",1415,"7분위:2,983,559~3,741,082원",1389,"7분위:2,983,559~3,741,082원",1433
