NM,CD,GUBUN,면적(km),2018년2분기주거인구,2018년2분기직장인구,2019년2분기주거인구,2019년2분기직장인구,2020년2분기주거인구,2020년2분기직장인구
서울시 전체,11,si,605,9670499.703,4886096.333,9686541.169,4962933.696,9558158.614,4777976.419
종로구,11110,gu,23.91,3877644.425,7870585.172,3894115.328,5462022.525,3846339.479,5986943.041
청운효자동,11110515,dong,2.57,3248462.179,1788932.38,3244229.493,2738050.018,3168539.104,2638955.364
사직동,11110530,dong,1.23,4802533.574,34077474.52,4795244.386,24677545.94,4921243.207,24806148.05
삼청동,11110540,dong,1.49,1230752.814,1718097.888,1225535.918,2874509.928,1192060.832,2546280.195
부암동,11110550,dong,2.27,2738532.603,866906.9394,2759231.607,1113116.136,2725187.193,1120742.085
평창동,11110560,dong,8.87,1349252.417,187945.8242,1352224.179,1391871.832,1348455.115,1680060.262
무악동,11110570,dong,0.36,10995509.91,1067914.037,10939444.42,1013183.443,10851341.51,811614.6686
교남동,11110580,dong,0.35,17923491.35,6913954.859,18095488.74,2375607.642,17993312.07,1794903.552
가회동,11110600,dong,0.54,4801026.708,23664802.18,4759287.956,6232986.969,4699355.389,12556943.01
종로1.2.3.4가동,11110615,dong,2.35,1847851.439,37575219.08,1838394.421,22470122.36,1807285.811,24253267.9
종로5.6가동,11110630,dong,0.6,5338374.767,18358924.07,5307097.198,11435482.82,5257658.46,15725554.55
이화동,11110640,dong,0.78,6536977.272,13712913.3,6545885.443,3596471.267,6363672.868,3498481.394
혜화동,11110650,dong,1.12,8879353.624,2599623.01,8855389.162,3073702.556,8797561.877,3950489.235
창신1동,11110670,dong,0.31,10996077.65,5887775.8,11274897.32,4005234.281,10643991.51,2659980.287
창신2동,11110680,dong,0.26,21206568.74,1489046.923,20729038.68,908012.8155,20138595.11,809213.4938
창신3동,11110690,dong,0.23,20008116.36,1222702.677,19879410.81,623942.0987,19940965.64,839383.9896
숭인1동,11110700,dong,0.23,14316487.67,1481985.159,14122296.5,1239246.211,15790807.38,1175367.54
숭인2동,11110710,dong,0.35,16142468.78,4632816.152,17559921.98,3806249.026,15920255.22,3269232.91
중구,11140,gu,9.96,7267422.503,30739790.07,7233568.712,22977042.76,7583310.034,20356540.16
소공동,11140520,dong,0.95,1169436.688,88784292.2,721427.1402,59288793.01,1353252.371,51139631.1
회현동,11140540,dong,0.84,2990857.262,49401697.7,3004161.787,21023810.7,3489111.73,39053438.01
명동,11140550,dong,0.99,1726903.57,91258057.83,1725686.154,67850814.31,1723251.324,44339481.78
필동,11140570,dong,1.14,1683618.062,10140698.29,1681958.916,8713003.453,1684862.421,7186589.439
장충동,11140580,dong,1.36,2814072.83,6017795.693,2780657.207,6643145.213,2771706.593,6205161.863
광희동,11140590,dong,0.74,4050177.961,31673365.65,4006348.38,35004413.81,3964142.116,34546638.19
을지로동,11140605,dong,0.6,1612310.523,28782362.47,1686451.105,14562198.84,1749717.735,15694078.39
신당동,11140615,dong,0.55,8280536.367,15768531.27,8184709.872,3803748.088,8471061.981,3606458.249
다산동,11140625,dong,0.51,16612710.97,9213762.927,16626339.12,7644254.685,16348097.78,7458003.347
약수동,11140635,dong,0.48,21248844.22,3419340.591,21092070.01,37271881.35,20808213.67,20972113.98
청구동,11140645,dong,0.34,25794288.26,5082074.329,25720660.42,5338018.742,25094823.74,5441448.333
신당5동,11140650,dong,0.39,17487216.75,3652997.903,17555442.43,2093553.761,17282539.7,1730982.998
동화동,11140665,dong,0.26,20990383.25,4960263.476,20819908.56,2782586.828,20565113.06,2777087.645
황학동,11140670,dong,0.33,22745610.23,5943029.168,22841614.43,3522615.611,23153628.08,3164446.099
중림동,11140680,dong,0.48,9347188.949,9386895.583,9841040.164,6545389.845,15738715.61,5395138.399
용산구,11170,gu,21.87,6389292.228,4939841.612,6403702.203,5352171.138,6427331.155,5003183.097
후암동,11170510,dong,0.86,12789731.45,2316475.491,12683138.74,1570326.544,12520114.6,1619094.448
용산2가동,11170520,dong,1.96,3103386.968,916359.0737,3074723.044,560867.3078,3063198.373,531021.3657
남영동,11170530,dong,1.19,6338982.291,26792085.57,6433520.348,17958942.69,6389950.637,16281919.76
청파동,11170555,dong,0.91,14102182.15,5688984.137,14144018.04,4206599.007,13830946.12,4322344.977
원효로1동,11170560,dong,0.59,14363891.37,16755991.07,14512755.94,5186647.073,16299130.83,4719520.307
원효로2동,11170570,dong,0.71,9867617.554,3472465.696,9868278.347,3681936.985,9633036.143,3098457.022
효창동,11170580,dong,0.44,11289682.8,2339431.024,11739573.37,2249452.907,11303822.21,2120912.741
용문동,11170590,dong,0.28,26915937.28,2212669.903,27311206.29,5887207.727,26409825.64,5655065.61
한강로동,11170625,dong,2.9,2825291.549,12634200.92,2812503.35,9046480.512,3112395.637,8429044.622
이촌1동,11170630,dong,2.86,7864806.957,586184.5211,7823319.656,3423972.369,7990115.543,3066673.571
이촌2동,11170640,dong,1.22,4607937.134,249901.3525,4544953.867,1116937.142,4526668.402,1476043.355
이태원1동,11170650,dong,0.57,7206296.848,5967828.793,7196898.694,13470689.66,7049660.927,13608529.28
이태원2동,11170660,dong,0.86,6499315.144,1817027.638,6537858.158,2108165.021,6390568.796,864464.6639
한남동,11170685,dong,3.01,3872595.528,3002415.218,3899073.52,8426053.72,3914392.93,7931293.516
서빙고동,11170690,dong,2.8,3695312.852,1261679.883,3679899.659,3822746.924,3659532.227,4062477.111
보광동,11170700,dong,0.71,10190949.76,671243.8912,10265004,1699171.024,9668493.741,719481.053
성동구,11200,gu,16.86,11115919.07,6896771.449,11279659.84,3102852.871,11000120.25,2947480.018
왕십리2동,11200520,dong,0.41,28475927.57,1925301.23,28221523.98,1972413.006,27695442.49,1995968.893
왕십리도선동,11200535,dong,0.72,22726553.11,7016093.131,22623028.7,4099734.842,22890677.17,5007046.309
마장동,11200540,dong,1.05,12842435.68,6441049.343,13069799.69,2293192.33,13042985.26,4291984.572
사근동,11200550,dong,1.1,5807349.454,4022439.759,5971520.231,1480094.172,5973565.973,1355303.924
행당1동,11200560,dong,0.59,14810682.22,6425955.047,18962534.59,10179264.63,17291720.58,2539067.943
행당2동,11200570,dong,0.42,33277864.9,1292845.316,33109808.25,418156.7246,32528887.99,354639.2474
응봉동,11200580,dong,0.57,18227229.91,500359.6623,18021784.22,1412715.249,17851684.02,1864474.856
금호1가동,11200590,dong,0.46,21654634.53,1325654.063,22052193.66,3364172.773,21736888.14,3158538.741
금호2.3가동,11200615,dong,0.64,23016618.59,1150736.141,22969224.19,1041729.01,22760688.81,660677.9988
금호4가동,11200620,dong,0.84,9609355.868,604182.9945,9732909.355,751024.0433,9581540.164,857111.8496
옥수동,11200645,dong,1.95,13395273.54,1033109.739,13430914.85,2665774.659,13267355.42,2342073.451
성수1가1동,11200650,dong,1.98,4446157.219,2029077.196,4544637.826,1175309.534,4533605.846,968123.5579
성수1가2동,11200660,dong,0.89,9411819.66,10650960.67,9391546.158,4141323.52,8720063.204,3841521.432
성수2가1동,11200670,dong,1.18,9566300.148,23030558.75,9466393.812,4882519.277,9205348.224,5393867.83
성수2가3동,11200690,dong,1.03,6308626.628,28586594.16,6430112.461,13661685.93,6534325.423,13739413.83
송정동,11200720,dong,0.75,11677667.35,1974899.626,11651804.34,1551780.743,11333172.03,1290047.058
용답동,11200790,dong,2.32,3884988.917,7104045.121,3814301.901,1346358.814,3126756.248,1197102.416
광진구,11215,gu,17.06,12023982.31,2732897.031,12134989.93,2691627.593,11978582.51,2780071.856
화양동,11215710,dong,1.16,11493846.36,3343605.698,11542811.3,1586786.804,11737056.82,1429668.545
군자동,11215730,dong,0.74,16381724.3,5577740.318,16211751.74,2270701.384,16277760.5,1949733.783
중곡1동,11215740,dong,0.62,15979927.64,4107145.524,16197730.81,3612320.806,16564081.76,5516342.082
중곡2동,11215750,dong,0.55,24891521.22,4323118.095,24814897.75,3209301.642,24440664.31,3124904.783
중곡3동,11215760,dong,0.6,17681043.03,2510327.484,17637744.16,1645357.043,17197706.82,1499349.227
중곡4동,11215770,dong,2.32,8173891.281,657854.2109,8151224.828,1276964.603,7854452.454,1329413.717
능동,11215780,dong,1.1,6366651.616,1803165.792,6339004.18,1491302.711,6325733.409,1265146.682
광장동,11215810,dong,2.39,7416754.308,1740500.185,7323793.632,2646866.756,7514530.512,3482465.967
자양1동,11215820,dong,0.57,21974836.15,9603406.341,22541288.21,12104749.63,22378749.56,12029806.66
자양2동,11215830,dong,1.68,10030249.69,1947142.298,10094424.89,1930820.282,9830675.946,1856629.302
자양3동,11215840,dong,1.2,16371733.29,1591175.523,16324732.09,1941308.073,15955059.71,1725313.785
자양4동,11215847,dong,1.16,9878632.408,1524854.216,11325005.35,740568.2306,9216018.73,661033.5203
구의1동,11215850,dong,0.56,24751516.47,4998869.995,24633381.25,4095354.324,24273506.36,3968468.346
구의2동,11215860,dong,1.39,11310438.34,1461099.804,11163175.1,1748972.838,12192687.13,1864743.041
구의3동,11215870,dong,1.02,12351982.95,5680206.139,12713991.55,6005597.773,12387351.6,5384357.735
동대문구,11230,gu,14.22,14309979.65,3841117.342,14311812.81,3421904.557,14224653.88,3347619.485
용신동,11230536,dong,1.61,11587550.94,10772908.23,11505021.78,9124606.872,11525558.99,9089237.229
제기동,11230545,dong,1.18,12334850.82,3104520.139,12501310.29,2696030.647,12682066.89,2797642.408
전농1동,11230560,dong,1.19,15574178.64,1463046.585,16445216.53,952730.8436,16498794.38,803137.2483
전농2동,11230570,dong,0.86,12209245.47,2036206.707,12190796,2906406.795,12036435.42,2467924.348
답십리1동,11230600,dong,0.81,19142737.15,3682739.251,19576552.57,5477190.404,21462675.21,5711782.77
답십리2동,11230610,dong,0.85,19870580.22,2741614.465,20060629.86,1939842.566,21453337.34,1973249.728
장안1동,11230650,dong,1.25,17067321.8,6251257.951,16731988.23,4910813.197,17013063.58,4788954.583
장안2동,11230660,dong,1.09,16364818.77,3712889.861,16392922.16,3712349.411,16839874.12,3406995.296
청량리동,11230705,dong,1.2,10999062.88,2901990.082,10919224.05,2754945.138,10737818.08,2480562.305
회기동,11230710,dong,0.76,7334266.097,2992789.041,7422525.294,619273.1896,7310924.828,571861.2255
휘경1동,11230720,dong,0.63,15180504.38,2021197.003,15253812.04,1826873.514,14599861.14,1793128.717
휘경2동,11230730,dong,1.05,12223897.28,2016023.717,12209869.28,2344679.671,12194839.29,2205401.69
이문1동,11230740,dong,1.04,16387345.57,3307391.379,15362140.08,2447126.251,11502290.49,2425665.609
이문2동,11230750,dong,0.69,18794189.06,864439.1504,18657333.97,1459498.967,17878645.79,1914239.001
중랑구,11260,gu,18.5,13279138.25,1758896.145,13330711.9,1360234.191,13107777.46,1300853.376
면목2동,11260520,dong,0.73,21224899.27,2175409.699,21254208.69,1401152.729,20873186.33,1214712.302
면목4동,11260540,dong,1.1,15222130.43,1319118.803,15069754.54,1114478.721,14582446.14,1195451.415
면목5동,11260550,dong,0.64,10263699.6,1080766.137,10142023.94,1305712.731,9939572.007,1104283.281
면목본동,11260565,dong,1.01,25557411.96,1748240.938,25648780.93,1399312.191,25422876.55,1269093.422
면목7동,11260570,dong,0.87,11131463.57,749508.822,11050476.38,691660.8256,10743630.49,709266.7376
면목3.8동,11260575,dong,1.67,9857653.749,1319854.813,9862216.774,1463209.83,9978954.149,1315291.788
상봉1동,11260580,dong,0.85,16829576.76,2068572.263,17508327.04,1606837.383,16546599.25,1645095.416
상봉2동,11260590,dong,0.68,16819046.09,6947955.284,17156895.92,5102634.178,17505762.6,4891478.032
중화1동,11260600,dong,0.68,19709694.94,1731802.282,20292659.08,1485893.953,19641334.32,1860927.89
중화2동,11260610,dong,0.98,17682543.35,2760416.992,17636557.4,992162.657,16968816.18,965075.0416
묵1동,11260620,dong,1.2,18435139.35,1588619.656,18618009.4,1534473.777,18312544.91,1330149.705
묵2동,11260630,dong,0.7,17745353.77,1650874.994,17599870.97,1973775.852,17433985.09,1829180.138
망우본동,11260655,dong,2.88,6160886.511,1130607.579,6120746.601,743572.2311,6054830.562,674114.4389
망우3동,11260660,dong,0.99,11382453.25,1061378.272,11313654.42,791186.5133,10988423.6,672977.6197
신내1동,11260680,dong,2.53,10293549.01,1697915.555,10364252.8,1093603.124,10404984.33,1085149.41
신내2동,11260690,dong,0.99,14547559.05,2771484.786,14403995.5,2421910.747,14089185.73,2430923.706
성북구,11290,gu,24.57,10712075.01,1642146.744,10652421.98,2319176.878,10324061.14,2709980.105
성북동,11290525,dong,2.86,2529153.393,604527.4232,2591479.874,4513739.015,2538028.999,4277450.645
삼선동,11290555,dong,0.92,18713643.73,4408739.683,18722375.94,3680370.48,18046400.01,4360455.688
동선동,11290575,dong,0.73,13150155.14,5156419.597,13113672.99,10382486.92,12927945.71,11154415.96
돈암1동,11290580,dong,0.49,20843851.5,1241454.552,20756018.92,3332394.373,20479411.84,3050543.55
돈암2동,11290590,dong,0.48,27473260.71,1034936.605,27527270.09,3990855.682,27321450.55,1147334.516
안암동,11290600,dong,1.33,7014468.385,4486681.535,7024743.941,2539930.689,2935539.606,2195699.552
보문동,11290610,dong,0.56,18524126.77,3941700.594,18464853.08,7814248.547,16473696.05,7630939.161
정릉1동,11290620,dong,0.44,26394837.33,1465531.743,26188746.93,2465451.839,25740945.56,1920966.087
정릉2동,11290630,dong,1.17,12716757.27,797490.6781,12766600.45,1048264.114,12526730.2,917425.7994
정릉3동,11290640,dong,3.71,2956144.96,544688.1028,2957475.786,472253.1404,2953293.189,462937.3578
정릉4동,11290650,dong,3.13,4376313.706,462439.2232,4363445.549,346951.5835,4280535.522,390442.6975
길음1동,11290660,dong,0.76,28139198.95,1719778.216,28125556.29,1689282.848,27633617.86,4791785.219
길음2동,11290685,dong,0.58,10971491.49,1610808.59,10842969.53,619761.4616,17761735.15,575492.7855
종암동,11290705,dong,1.46,16578153.67,1576982.853,16535652.85,2640312.924,16311005.66,8962816.048
월곡1동,11290715,dong,0.81,19733645.03,2342016.379,19626258.65,1876468.464,19440660.21,1808188.103
월곡2동,11290725,dong,1.36,9229898.937,2450967.052,9201245.949,2209918.15,9059800.276,2194454.635
장위1동,11290760,dong,0.7,17619641.84,798122.8867,17666191.95,1101121.819,17246394.55,1120588.231
장위2동,11290770,dong,0.67,14986126.26,1822385.316,13476783.28,2012161.695,12163424.33,1548362.414
장위3동,11290780,dong,0.65,10741490.08,1484351.57,10650313.69,1228145.924,10343961.03,1089557.817
석관동,11290810,dong,1.73,11298303.11,1721435.043,11185064.27,1346246.11,11151979.42,1272913.727
강북구,11305,gu,23.6,8217684.859,929831.5858,8185507.831,746624.7622,8041312.772,723048.7549
삼양동,11305534,dong,0.91,17829967.35,942700.565,16915011.81,788211.1747,16145087.14,685428.4374
미아동,11305535,dong,0.93,16414448.01,1950066.548,16495549.93,1387422.022,16213865.61,1341078.071
송중동,11305545,dong,1.01,16435499.25,1963762.539,16204107.59,1354895.79,16848658.84,1253975.568
송천동,11305555,dong,0.9,18765863.66,2249114.242,19074782.85,1410339.965,18361140.41,1238283.703
삼각산동,11305575,dong,0.62,33353145.27,1284703.343,33217754.98,1197451.828,32578913.43,1299746.708
번1동,11305590,dong,0.66,19149384.13,4279404.808,19127894.3,2787815.869,18808477.42,2495749.665
번2동,11305600,dong,0.95,10689982.47,1288647.075,10683280.29,739677.3282,10328673.86,839600.7895
번3동,11305606,dong,1.1,10723652.58,827016.9087,10656140.99,712247.215,10267386.79,710559.4253
수유1동,11305610,dong,1.67,7643230.74,1048093.889,7671950.381,786848.961,7525237.996,664357.9615
수유2동,11305620,dong,0.57,22888063.54,2135947.514,22814691.29,2173652.694,22519164.2,2276577.647
수유3동,11305630,dong,0.72,19877579.7,4112689.013,19980209.19,2866116.202,19547162.81,2814384.264
우이동,11305645,dong,10.28,1225109.17,138898.9543,1227091.822,176512.7005,1203526.583,161048.0127
