NM,CD,GUBUN,2018년2분기길단위생존인구,2018년2분기건물단위생존인구,2018년2분기주거인구,2018년2분기직장인구,2019년2분기길단위생존인구,2019년2분기건물단위생존인구,2019년2분기주거인구,2019년2분기직장인구,2020년2분기길단위생존인구,2020년2분기건물단위생존인구,2020년2분기주거인구,2020년2분기직장인구
서울시 전체,11,si,38327.81528,81314.48404,159.8429703,80.76192286,36857.32445,78187.64779,160.1081185,82.03196191,37670.494,78861.88036,157.9860928,78.97481685
종로구,11110,gu,23990.10731,64607.69448,64.09329628,130.0923169,22396.95772,58988.22033,64.36554261,90.28136405,20665.59577,53043.63986,63.57585916,98.95773621
청운효자동,11110515,dong,14768.19407,27206.41216,53.69358973,29.56913024,13704.9935,25980.39742,53.62362798,45.25702509,13523.29459,24687.39145,52.37254717,43.61909693
사직동,11110530,dong,33162.71585,142564.2134,79.38072023,563.2640416,27333.1813,111558.8591,79.26023778,407.8933214,23520.03236,96591.73361,81.34286292,410.018976
삼청동,11110540,dong,5647.247261,20534.04995,20.34302172,28.3983122,4786.80427,17434.25805,20.25679203,47.51256079,4483.548812,15697.3613,19.70348483,42.08727595
부암동,11110550,dong,4360.674055,25323.93121,45.26500171,14.32904032,4133.619764,23597.85226,45.607134,18.39861382,4784.175301,26419.03462,45.04441642,18.52466256
평창동,11110560,dong,1622.100421,7374.43833,22.30169284,3.106542549,1437.424673,7055.429417,22.35081288,23.00614599,1518.854904,6735.211755,22.2885143,27.76959111
무악동,11110570,dong,35999.73523,76392.94978,181.7439654,17.65147169,37751.55554,80072.75186,180.8172631,16.74683377,35388.37651,76564.07661,179.3610167,13.41511849
교남동,11110580,dong,80261.40902,125115.8813,296.2560553,114.2802456,63635.26587,95379.89991,299.0989875,39.26624201,66740.78932,92977.75673,297.4101169,29.6678273
가회동,11110600,dong,19376.70484,69083.61531,79.35581335,391.153755,19248.01257,69634.94203,78.66591663,103.024578,15969.87097,61785.70976,77.67529568,207.5527771
종로1.2.3.4가동,11110615,dong,30244.25349,154053.3745,30.54299899,621.0780013,26658.42726,133250.9905,30.38668465,371.4069812,21971.62154,111213.3091,29.87249275,400.8804611
종로5.6가동,11110630,dong,72785.19623,183002.5717,88.23759946,303.4532904,72350.84577,178513.1124,87.72061484,189.016245,63058.3142,150322.1528,86.90344562,259.9265215
이화동,11110640,dong,40160.98958,160831.7906,108.0492111,226.659724,40311.67218,157858.4561,108.1964536,59.44580607,39149.79513,149299.6498,105.1846755,57.82613875
혜화동,11110650,dong,75505.42795,151599.3593,146.7661756,42.96897537,71485.18518,143329.988,146.3700688,50.80500093,60202.13502,118241.0549,145.4142459,65.29734273
창신1동,11110670,dong,121619.2969,215037.6219,181.7533496,97.31860827,114425.1878,201411.1481,186.3619391,66.20221952,93030.46715,158683.8905,175.933744,43.96661632
창신2동,11110680,dong,185533.5008,190563.7755,350.5217973,24.61234583,178347.9011,182675.1719,342.6287385,15.00847629,189436.9877,192435.6086,332.8693407,13.37542965
창신3동,11110690,dong,56938.53767,102837.5623,330.7126671,20.20996161,51600.61046,94723.09393,328.5853027,10.31309254,55735.51311,108794.91,329.6027378,13.87411553
숭인1동,11110700,dong,92385.87363,150459.7093,236.6361598,24.49562246,101786.829,163835.2125,233.4263885,20.48340844,98785.4817,162510.2088,261.0050807,19.42756264
숭인2동,11110710,dong,148267.7303,224779.2673,266.8176658,76.57547359,138664.6317,211501.2062,290.2466443,62.91320704,133924.2704,208963.6072,263.1447143,54.0369076
중구,11140,gu,53051.10737,145274.0865,120.122686,508.0957036,51096.75091,140181.2288,119.5631192,379.7858308,47501.12869,122966.2933,125.3439675,336.4717382
소공동,11140520,dong,26944.27868,164985.3585,19.32953204,1467.508962,27200.7135,169231.0004,11.92441554,979.9800497,20079.94259,123154.6224,22.36780778,845.2831586
회현동,11140540,dong,33858.10339,160380.1682,49.43565723,816.5569868,33651.70732,159397.304,49.65556673,347.5010033,27242.5217,132888.4449,57.67126827,645.5113721
명동,11140550,dong,54232.09771,223384.6054,28.54386066,1508.39765,50049.10912,206883.3003,28.52373809,1121.501063,34895.1564,143421.5175,28.48349296,732.8839964
필동,11140570,dong,16903.3006,55745.86763,27.82839772,167.6148478,14186.60727,47729.36139,27.80097382,144.016586,9706.20781,31158.83982,27.84896564,118.7866023
장충동,11140580,dong,18211.17924,55709.20389,46.51360049,99.46769741,18077.94086,52533.98235,45.96127615,109.8040531,14921.33816,40834.22429,45.81333212,102.5646589
광희동,11140590,dong,44060.76307,159278.5102,66.94509027,523.5267049,45300.53516,159576.511,66.22063438,578.5853523,42363.60441,145927.6358,65.52301019,571.018813
을지로동,11140605,dong,60588.32084,157041.8048,26.64976071,475.7415284,61027.78863,157346.5134,27.87522487,240.6975015,55065.85644,141485.1954,28.92095429,259.4062544
신당동,11140615,dong,119986.0057,256537.9941,136.8683697,260.6368805,113752.1499,240532.068,135.2844607,62.87186922,105720.2593,216238.9839,140.0175534,59.61088015
