NM,CD,GUBUN,20182분기1층,20192분기1층,20202분기1층,20182분기1층외,20192분기1층외,20202분기1층외,20182분기전체,20192분기전체,20202분기전체
11,서울시 전체,si,131481,133888,140151,98139,100630,108130,115438,117827,123845
11110,종로구,gu,212040,228660,207758,153616,157835,137585,180495,191292,170556
11110515,청운효자동,dong,149361,144858,160242,63934,77012,102023,131631,119123,140325
11110530,사직동,dong,148404,172166,200198,117173,117668,105836,128347,135647,133339
11110540,삼청동,dong,230589,188928,183892,109728,288015,64904,182244,210947,160430
11110550,부암동,dong,95828,109919,104196,53948,60515,96915,74888,86670,101465
11110560,평창동,dong,116378,110142,82299,80740,58528,89218,92236,84335,85173
11110570,무악동,dong,144527, ,162791, , ,100402, , ,137835
11110580,교남동,dong,190521,230131,223640, , ,169580, , ,200214
11110600,가회동,dong,143547,157309,150658,93105,111379,118290,127153,146286,140065
11110615,종로1.2.3.4가동,dong,256491,282442,249923,116305,120262,121235,191501,205633,188113
11110630,종로5.6가동,dong,250974,284292,255336,269449,275324,231997,264171,277637,239064
11110640,이화동,dong,195935,138692,162176,93016,106852,80465,134946,126266,121013
11110650,혜화동,dong,170041,149872,164646,79124,104623,78719,123446,136226,130427
11110670,창신1동,dong,188328,275905,197134,125381,106464,133063,149511,172767,163679
11110680,창신2동,dong,85249,82466,90776,43263,57140,56555,73587,72177,76110
11110690,창신3동,dong,70411, ,98319,161962,93625,78140,124509, ,87509
11110700,숭인1동,dong,209853,100054,100845,55718,73230,57388,100674,83959,78495
11110710,숭인2동,dong,151064,122919,120870,64156,67493,55046,107610,97158,82533
11140,중구,gu,226352,218957,252706,210638,212659,241688,216588,214810,245324
11140520,소공동,dong,159542,185791,221939,105420,122794,117578,123678,143377,143088
11140540,회현동,dong,392834,369703,378616,274219,286069,302122,323080,315558,331068
11140550,명동,dong,253645,188645,257799,126969,130458,130858,154724,145231,162688
11140570,필동,dong,134650,145000,159193,53493,75874,85052,82185,94189,113962
11140580,장충동,dong,89626,82778,114518,68489,106259,63844,79057,97227,89885
11140590,광희동,dong,182225,194541,203825,165775,171574,196568,171590,180227,199164
11140605,을지로동,dong,191859,179209,186177,77391,79222,96212,138633,125526,136044
11140615,신당동,dong,336315,295992,367247,409314,378001,399339,395744,365765,393885
11140625,다산동,dong,108725,124656,121953,68614,64489,89964,88670,98870,104528
11140635,약수동,dong,141717,208637,167356,74670,68591,77126,108194,120608,112338
11140645,청구동,dong,125751,85949,103145,62581,100943,84133,92060,97107,90470
11140650,신당5동,dong,140215,119862,129345,101892,85386,103395,118731,100230,115771
11140665,동화동,dong,130071,105333,118512,62935,75201,85192,92773,87608,95258
11140670,황학동,dong,145735,153197,143028,65477,98315,114757,123441,135134,134048
