NM,CD,GUBUN,2020년2분기1층,2020년1분기1층,2019년4분기1층,2019년3분기1층,2019년2분기1층,2019년1분기1층,2018년4분기1층,2018년3분기1층,20202분기1층외,20201분기1층외,2019년4분기1층외,2019년3분기1층외,2019년2분기1층외,2019년1분기1층외,2018년4분기1층외,2018년3분기1층외,20202분기전체,20201분기전체,2019년4분기전체,2019년3분기전체,2019년2분기전체,2019년1분기전체,2018년4분기전체,2018년3분기전체
11,서울시 전체,si,140151,135148,134566,133363,133888,132986,132504,132044,108130,106287,104237,100707,100630,99721,98956,98704,123845,120854,119697,117535,117827,116984,116195,115867
11110,종로구,gu,207758,214855,223413,225458,228660,217272,216875,217322,137585,142856,153447,158852,157835,152261,148283,149336,170556,175410,185536,190358,191292,183435,180886,180684
11110515,청운효자동,dong,160242,165848,162427,154347,144858,137481,141639,150242,102023,95374,88321,91222,77012,73863,69367,67488,140325,140431,130207,130149,119123,116275,125440,130682
11110530,사직동,dong,200198,177228,188767,190743,172166,177492,149123,148092,105836,105939,112017,111830,117668,124438,117837,126437,133339,123849,136152,135504,135647,144271,129819,134027
11110540,삼청동,dong,183892,171226,152834,161827,188928,197561,222464,242647,64904,57970,218157,227825,288015,279017,107099,111991,160430,144577,177719,182134,210947,217925,197385,199095
11110550,부암동,dong,104196,107264,106295,92219,109919,99955,100209,98860,96915,69977,57206,57456,60515,67402,57770,56298,101465,97942,91355,79183,86670,84454,79839,76845
11110560,평창동,dong,82299,86046,89244,105654,110142,104008,110574,101445,89218,86429,88776,78726,58528,62694,66800,72114,85173,86219,89026,92775,84335,80597,84546,82130
11110570,무악동,dong,162791, , , , , , ,137324,100402,110482, , , , , , ,137835, , , , , , , 
11110580,교남동,dong,223640,246999,239986,250954,230131,175245,199619,178599,169580,114186,100501, , , , ,112671,200214,185020,193491, , , , ,156623
11110600,가회동,dong,150658,168159,170184,168299,157309,134200,138203,142965,118290,108040,125860,175605,111379,111263,82159,83348,140065,149372,154294,169897,146286,128907,128862,128061
11110615,종로1.2.3.4가동,dong,249923,259583,270848,277069,282442,271591,266754,264091,121235,130183,127460,131759,120262,115139,116010,113695,188113,195669,204300,211372,205633,197742,196994,193149
11110630,종로5.6가동,dong,255336,271717,263445,289438,284292,256823,259538,251976,231997,233048,254798,263819,275324,271035,256263,263131,239064,244219,257199,270813,277637,267288,257136,260034
11110640,이화동,dong,162176,186631,166427,155608,138692,171984,207664,175324,80465,82159,86277,87971,106852,106906,98584,98493,121013,141017,129692,123400,126266,140800,144733,131636
11110650,혜화동,dong,164646,156568,159574,138053,149872,168065,166221,176794,78719,95007,87839,83601,104623,99644,96586,89146,130427,133861,136165,119058,136226,144025,136626,132970
11110670,창신1동,dong,197134,204978,227089,220766,275905,213700,207643,203788,133063,116642,130940,128528,106464,111804,102862,108428,163679,153195,166099,164145,172767,150015,143012,144913
11110680,창신2동,dong,90776,91336,99152,91722,82466,80859,80431,84579,56555,62389,63112,64153,57140,42157,43520,38587,76110,78774,81500,79907,72177,65582,69153,71607
11110690,창신3동,dong,98319, , , , ,97691,83050,72024,78140,94049,116935,122958,93625,75603,63030,118608,87509, , , , ,83491,71928,97645
11110700,숭인1동,dong,100845,103351,89774,102738,100054,133994,164906,177290,57388,75462,78599,74332,73230,57831,50904,57748,78495,89406,83943,87115,83959,89192,98405,97595
11110710,숭인2동,dong,120870,120490,127875,127872,122919,128987,149605,158712,55046,57131,61450,67317,67493,71806,66585,65512,82533,83098,90092,97951,97158,105563,109464,113083
11140,중구,gu,252706,245466,230515,223798,218957,219231,222384,221363,241688,240567,226618,213495,212659,211449,212965,213835,245324,242109,227851,216936,214810,214273,216436,216687
11140520,소공동,dong,221939,237841,246170,228362,185791,165063,169364,166086,117578,118886,113490,125994,122794,108529,112687,110365,143088,148413,149349,157654,143377,127180,131761,130381
11140540,회현동,dong,378616,380702,351954,368841,369703,373569,384265,364920,302122,309730,285911,282793,286069,273402,269026,271724,331068,334934,307654,312075,315558,312220,315470,310714
11140550,명동,dong,257799,229724,244582,218888,188645,191617,201779,232003,130858,141351,151805,147287,130458,130844,131459,136247,162688,164878,179208,166629,145231,145377,148850,159270
