NM,CD,GUBUN,2018전체점포,2018프랜차이즈,2018일반,2019전체점포,2019프랜차이즈,2019일반,2020전체점포,2020프랜차이즈,2020일반
서울시 전체,11,si,10295,2096,8199,10208,2185,8023,10366,1715,8651
종로구,11110,gu,331,64,267,347,81,266,347,58,289
청운효자동,11110515,dong,11,2,9,12,2,10,12,2,10
사직동,11110530,dong,26,4,22,27,6,21,30,4,26
삼청동,11110540,dong,7,2,5,6,2,4,8,0,8
부암동,11110550,dong,14,3,11,14,4,10,12,3,9
평창동,11110560,dong,14,3,11,14,3,11,14,2,12
무악동,11110570,dong,3,0,3,4,1,3,4,1,3
교남동,11110580,dong,16,6,10,15,7,8,16,6,10
가회동,11110600,dong,8,0,8,9,1,8,9,1,8
종로1.2.3.4가동,11110615,dong,104,21,83,111,28,83,117,22,95
종로5.6가동,11110630,dong,25,2,23,26,3,23,26,2,24
이화동,11110640,dong,18,4,14,21,5,16,19,2,17
혜화동,11110650,dong,37,9,28,38,11,27,33,7,26
창신1동,11110670,dong,9,2,7,9,2,7,7,2,5
창신2동,11110680,dong,3,1,2,4,1,3,4,1,3
창신3동,11110690,dong,2,0,2,2,0,2,3,0,3
숭인1동,11110700,dong,8,2,6,8,2,6,8,1,7
숭인2동,11110710,dong,26,3,23,27,3,24,25,2,23
중구,11140,gu,432,102,330,427,109,318,450,90,360
소공동,11140520,dong,53,14,39,51,14,37,52,8,44
회현동,11140540,dong,43,18,25,45,19,26,60,15,45
명동,11140550,dong,88,25,63,86,27,59,91,22,69
필동,11140570,dong,29,4,25,32,4,28,31,3,28
장충동,11140580,dong,18,3,15,17,3,14,16,5,11
광희동,11140590,dong,46,10,36,49,12,37,55,12,43
을지로동,11140605,dong,31,8,23,29,8,21,34,8,26
신당동,11140615,dong,38,7,31,34,9,25,32,6,26
다산동,11140625,dong,16,3,13,17,4,13,17,2,15
약수동,11140635,dong,15,4,11,12,3,9,12,4,8
청구동,11140645,dong,7,0,7,6,0,6,6,0,6
신당5동,11140650,dong,7,0,7,9,1,8,7,0,7
동화동,11140665,dong,13,3,10,13,3,10,10,2,8
황학동,11140670,dong,14,2,12,13,2,11,13,3,10
중림동,11140680,dong,14,1,13,14,0,14,14,0,14
용산구,11170,gu,295,66,229,289,65,224,303,53,250
