NM,CD,GUBUN,2020년2분기전체점포,2020년2분기일반,2020년2분기프렌차이즈,2020년1분기전체점포,2020년1분기일반,2020년1분기프렌차이즈,2019년4분기전체점포,2019년4분기일반,2019년4분기프렌차이즈,2019년3분기전체점포,2019년3분기일반,2019년3분기프렌차이즈,2019년2분기전체점포,2019년2분기일반,2019년2분기프렌차이즈,2019년1분기전체점포,2019년1분기일반,2019년1분기프렌차이즈,2018년4분기전체점포,2018년4분기일반,2018년4분기프렌차이즈,2018년3분기전체점포,2018년3분기일반,2018년3분기프렌차이즈
서울시 전체,11,si,10366,1715,8651,10342,1620,8722,10231,1631,8600,10186,2214,7972,10208,2185,8023,10174,2163,8011,10275,2165,8110,10243,2108,8135
종로구,11110,gu,347,58,289,349,57,292,337,53,284,338,77,261,347,81,266,334,72,262,335,70,265,331,64,267
청운효자동,11110515,dong,12,2,10,12,2,10,12,2,10,12,2,10,12,2,10,12,2,10,12,2,10,12,2,10
사직동,11110530,dong,30,4,26,30,4,26,28,4,24,27,5,22,27,6,21,27,5,22,27,5,22,26,4,22
삼청동,11110540,dong,8,0,8,8,0,8,7,0,7,8,3,5,6,2,4,7,2,5,7,2,5,7,2,5
부암동,11110550,dong,12,3,9,13,3,10,13,3,10,13,3,10,14,4,10,13,3,10,14,3,11,13,3,10
평창동,11110560,dong,14,2,12,14,2,12,13,2,11,14,3,11,14,3,11,14,3,11,14,3,11,14,3,11
무악동,11110570,dong,4,1,3,4,1,3,4,1,3,4,1,3,4,1,3,3,0,3,3,0,3,3,0,3
교남동,11110580,dong,16,6,10,16,6,10,15,6,9,15,7,8,15,7,8,16,7,9,16,7,9,16,6,10
가회동,11110600,dong,9,1,8,9,1,8,9,1,8,9,1,8,9,1,8,9,1,8,9,1,8,8,0,8
종로1.2.3.4가동,11110615,dong,117,22,95,117,20,97,110,18,92,108,26,82,111,28,83,107,26,81,104,23,81,102,21,81
종로5.6가동,11110630,dong,26,2,24,26,2,24,27,2,25,27,4,23,26,3,23,25,2,23,27,2,25,26,2,24
이화동,11110640,dong,19,2,17,20,3,17,20,3,17,19,4,15,21,5,16,18,4,14,18,4,14,19,4,15
혜화동,11110650,dong,33,7,26,33,7,26,34,7,27,35,11,24,38,11,27,35,10,25,36,10,26,36,9,27
창신1동,11110670,dong,7,2,5,7,2,5,7,1,6,8,2,6,9,2,7,9,2,7,9,2,7,9,2,7
창신2동,11110680,dong,4,1,3,4,1,3,4,1,3,4,1,3,4,1,3,4,1,3,3,1,2,3,1,2
창신3동,11110690,dong,3,0,3,3,0,3,2,0,2,2,0,2,2,0,2,2,0,2,2,0,2,2,0,2
숭인1동,11110700,dong,8,1,7,8,1,7,8,1,7,8,2,6,8,2,6,8,2,6,8,2,6,8,2,6
숭인2동,11110710,dong,25,2,23,25,2,23,24,1,23,25,2,23,27,3,24,25,2,23,26,3,23,27,3,24
중구,11140,gu,450,90,360,451,87,364,420,83,337,421,108,313,427,109,318,425,105,320,427,104,323,427,100,327
소공동,11140520,dong,52,8,44,51,8,43,51,9,42,51,13,38,51,14,37,51,14,37,51,14,37,52,14,38
회현동,11140540,dong,60,15,45,62,13,49,44,13,31,45,21,24,45,19,26,45,20,25,45,20,25,44,19,25
명동,11140550,dong,91,22,69,88,22,66,82,21,61,85,27,58,86,27,59,85,25,60,86,25,61,85,23,62
필동,11140570,dong,31,3,28,31,3,28,33,3,30,31,4,27,32,4,28,31,4,27,32,4,28,28,3,25
장충동,11140580,dong,16,5,11,19,5,14,16,2,14,17,3,14,17,3,14,18,3,15,18,3,15,18,3,15
광희동,11140590,dong,55,12,43,54,12,42,51,11,40,49,12,37,49,12,37,48,11,37,47,10,37,48,10,38
을지로동,11140605,dong,34,8,26,34,7,27,32,7,25,31,8,23,29,8,21,29,8,21,30,8,22,31,8,23
신당동,11140615,dong,32,6,26,33,6,27,31,6,25,33,9,24,34,9,25,36,9,27,35,7,28,35,7,28
다산동,11140625,dong,17,2,15,17,2,15,18,2,16,16,3,13,17,4,13,17,3,14,17,3,14,17,3,14
약수동,11140635,dong,12,4,8,12,4,8,11,3,8,11,3,8,12,3,9,12,3,9,13,4,9,14,4,10
청구동,11140645,dong,6,0,6,6,0,6,6,0,6,6,0,6,6,0,6,7,0,7,7,0,7,7,0,7
신당5동,11140650,dong,7,0,7,8,0,8,8,0,8,9,1,8,9,1,8,7,0,7,7,0,7,8,0,8
동화동,11140665,dong,10,2,8,10,2,8,10,2,8,11,2,9,13,3,10,13,3,10,13,3,10,13,3,10
황학동,11140670,dong,13,3,10,13,3,10,14,4,10,13,2,11,13,2,11,13,2,11,12,2,10,13,2,11
중림동,11140680,dong,14,0,14,13,0,13,13,0,13,13,0,13,14,0,14,13,0,13,14,1,13,14,1,13
용산구,11170,gu,303,53,250,299,51,248,294,50,244,289,65,224,289,65,224,296,66,230,294,66,228,296,66,230
후암동,11170510,dong,19,3,16,18,3,15,17,2,15,17,4,13,17,4,13,17,4,13,18,5,13,19,4,15
용산2가동,11170520,dong,20,6,14,19,6,13,17,5,12,17,5,12,18,6,12,19,6,13,17,5,12,18,5,13
남영동,11170530,dong,33,4,29,31,4,27,30,4,26,31,5,26,31,6,25,31,6,25,33,6,27,34,6,28
청파동,11170555,dong,27,5,22,29,6,23,27,5,22,27,6,21,27,6,21,28,6,22,27,6,21,27,6,21
원효로1동,11170560,dong,19,3,16,19,3,16,19,3,16,20,3,17,21,3,18,22,3,19,22,3,19,21,3,18
원효로2동,11170570,dong,15,3,12,16,3,13,15,3,12,15,4,11,15,4,11,16,4,12,16,4,12,16,4,12
효창동,11170580,dong,9,2,7,9,2,7,10,3,7,10,3,7,10,3,7,10,3,7,11,3,8,10,3,7
용문동,11170590,dong,8,2,6,8,2,6,9,2,7,7,2,5,7,2,5,7,2,5,7,2,5,7,2,5
한강로동,11170625,dong,47,7,40,47,7,40,47,7,40,47,13,34,45,12,33,46,12,34,45,12,33,46,13,33
이촌1동,11170630,dong,16,4,12,15,3,12,16,3,13,13,1,12,13,1,12,13,1,12,13,1,12,12,1,11
이촌2동,11170640,dong,6,3,3,5,2,3,5,2,3,5,2,3,4,1,3,4,1,3,4,1,3,5,1,4
이태원1동,11170650,dong,26,2,24,26,2,24,25,2,23,24,2,22,25,2,23,26,3,23,25,3,22,25,3,22
이태원2동,11170660,dong,13,2,11,13,2,11,14,3,11,15,3,12,14,3,11,15,3,12,14,3,11,14,3,11
한남동,11170685,dong,26,5,21,25,4,21,24,4,20,22,8,14,23,8,15,23,8,15,23,8,15,23,8,15
서빙고동,11170690,dong,9,2,7,9,2,7,9,2,7,9,2,7,9,2,7,9,2,7,9,2,7,9,2,7
보광동,11170700,dong,10,0,10,10,0,10,10,0,10,10,2,8,10,2,8,10,2,8,10,2,8,10,2,8
성동구,11200,gu,318,56,262,318,54,264,310,50,260,323,87,236,311,79,232,314,79,235,318,79,239,320,78,242
왕십리2동,11200520,dong,10,0,10,11,0,11,12,0,12,10,1,9,10,1,9,8,0,8,9,1,8,10,1,9
