NM,CD,,,,,,,,,,,,,,,,,,,,,,,,,
11,서울시 전체,종로구,중구,용산구,성동구,광진구,동대문구,중랑구,성북구,강북구,도봉구,노원구,은평구,서대문구,마포구,양천구,강서구,구로구,금천구,영등포구,동작구,관악구,서초구,강남구,송파구,강동구
11110,종로구,2,2,,,,2,,2,,,,2,2,,,,,,,,,,,,
11110515,청운효자동,1,,,,,,,,,,,,1,,,,,,,,,,,,
11110530,사직동,1,1,,,,,,,,,,,,,,,,,,,,,,,
11110540,삼청동,1,,,,,,,1,,,,,,,,,,,,,,,,,
11110550,부암동,1,,,,,,,,,,,1,1,,,,,,,,,,,,
11110560,평창동,1,,,,,,,1,,,,,1,,,,,,,,,,,,
11110570,무악동,1,,,,,,,,,,,,1,,,,,,,,,,,,
11110580,교남동,1,1,,,,,,,,,,,1,,,,,,,,,,,,
11110600,가회동,1,,,,,,,,,,,,,,,,,,,,,,,,
11110615,종로1.2.3.4가동,1,1,,,,,,,,,,,,,,,,,,,,,,,
11110630,종로5.6가동,1,1,,,,,,,,,,,,,,,,,,,,,,,
11110640,이화동,1,,,,,,,1,,,,,,,,,,,,,,,,,
11110650,혜화동,1,,,,,,,1,,,,,,,,,,,,,,,,,
11110670,창신1동,1,1,,,,,,,,,,,,,,,,,,,,,,,
11110680,창신2동,1,,,,,,,1,,,,,,,,,,,,,,,,,
11110690,창신3동,1,,,,,,,1,,,,,,,,,,,,,,,,,
11110700,숭인1동,1,,,,,,,1,,,,,,,,,,,,,,,,,
11110710,숭인2동,1,1,,,,1,,1,,,,,,,,,,,,,,,,,
11140,중구,2,2,2,2,,,,,,,,,2,2,,,,,,,,,,,
11140520,소공동,1,1,,,,,,,,,,,1,,,,,,,,,,,,
11140540,회현동,,1,1,,,,,,,,,,,,,,,,,,,,,,
11140550,명동,1,1,1,,,,,,,,,,,,,,,,,,,,,,
11140570,필동,,1,1,,,,,,,,,,,,,,,,,,,,,,
11140580,장충동,,1,1,,,,,,,,,,,,,,,,,,,,,,
11140590,광희동,1,1,,,,,,,,,,,,,,,,,,,,,,,
11140605,을지로동,1,1,,,,,,,,,,,,,,,,,,,,,,,
11140615,신당동,1,1,,,,,,,,,,,,,,,,,,,,,,,
11140625,다산동,,1,1,,,,,,,,,,,,,,,,,,,,,,
11140635,약수동,,1,1,1,,,,,,,,,,,,,,,,,,,,,
11140645,청구동,,1,,1,,,,,,,,,,,,,,,,,,,,,
11140650,신당5동,,1,,1,,,,,,,,,,,,,,,,,,,,,
11140665,동화동,,1,,1,,,,,,,,,,,,,,,,,,,,,
11140670,황학동,1,1,,1,,,,,,,,,,,,,,,,,,,,,
11140680,중림동,,1,1,,,,,,,,,,1,1,,,,,,,,,,,
11170,용산구,,2,2,2,,,,,,,,,,2,,,,,,,,,,,
11170510,후암동,,1,1,,,,,,,,,,,,,,,,,,,,,,
11170520,용산2가동,,1,1,,,,,,,,,,,,,,,,,,,,,,
11170530,남영동,,1,1,,,,,,,,,,,,,,,,,,,,,,
11170555,청파동,,1,1,,,,,,,,,,,1,,,,,,,,,,,
11170560,원효로1동,,,1,,,,,,,,,,,,,,,,,,,,,,
11170570,원효로2동,,,1,,,,,,,,,,,1,,,,,,,,,,,
11170580,효창동,,,1,,,,,,,,,,,1,,,,,,,,,,,
11170590,용문동,,,1,,,,,,,,,,,1,,,,,,,,,,,
11170625,한강로동,,,1,,,,,,,,,,,,,,,,,,,,,,
11170630,이촌1동,,,1,,,,,,,,,,,,,,,,,,,,,,
11170640,이촌2동,,,1,,,,,,,,,,,,,,,,,,,,,,
11170650,이태원1동,,,1,,,,,,,,,,,,,,,,,,,,,,
11170660,이태원2동,,1,1,,,,,,,,,,,,,,,,,,,,,,
11170685,한남동,,1,1,1,,,,,,,,,,,,,,,,,,,,,
11170690,서빙고동,,,1,,,,,,,,,,,,,,,,,,,,,,
11170700,보광동,,,1,,,,,,,,,,,,,,,,,,,,,,
11200,성동구,,2,2,2,2,2,,,,,,,,,,,,,,,,,,,
11200520,왕십리2동,,1,,1,,,,,,,,,,,,,,,,,,,,,
11200535,왕십리도선동,,1,,1,,1,,,,,,,,,,,,,,,,,,,
11200540,마장동,,,,1,,1,,,,,,,,,,,,,,,,,,,
11200550,사근동,,,,1,,,,,,,,,,,,,,,,,,,,,
11200560,행당1동,,,,1,,,,,,,,,,,,,,,,,,,,,
11200570,행당2동,,,,1,,,,,,,,,,,,,,,,,,,,,
11200580,응봉동,,,,1,,,,,,,,,,,,,,,,,,,,,
11200590,금호1가동,,1,,1,,,,,,,,,,,,,,,,,,,,,
11200615,금호2.3가동,,1,,1,,,,,,,,,,,,,,,,,,,,,
11200620,금호4가동,,,,1,,,,,,,,,,,,,,,,,,,,,
11200645,옥수동,,1,1,1,,,,,,,,,,,,,,,,,,,,,
11200650,성수1가1동,,,,1,,,,,,,,,,,,,,,,,,,,,
