NM,CD,GUBUN,2018년2분기30년기준,2018년2분기10년기준,2019년2분기30년기준,2019년2분기10년기준,2020년2분기30년기준,2020년2분기10년기준
서울시 전체,11,si,4.65,3.1,4.741666667,3.075,4.858333333,3.116666667
종로구,11110,gu,4.875,3.1,4.883333333,2.958333333,5.025,3.025
청운효자동,11110515,dong,4.691666667,2.958333333,5.058333333,3.391666667,5.391666667,3.283333333
사직동,11110530,dong,4.808333333,3.683333333,4.883333333,3.325,5.016666667,3.475
삼청동,11110540,dong,4.733333333,3.508333333,4.525,3.283333333,4.558333333,3.141666667
부암동,11110550,dong,4.358333333,3.366666667,4.475,3.583333333,4.591666667,3.525
평창동,11110560,dong,4.408333333,2.733333333,4.658333333,2.991666667,4.966666667,2.966666667
무악동,11110570,dong,6.933333333,2.208333333,6.308333333,2.191666667,6.975,3.191666667
교남동,11110580,dong,6.45,3.125,6.7,3.075,7.125,3.708333333
가회동,11110600,dong,5.025,3.091666667,4.966666667,3.016666667,5.216666667,3.358333333
종로1.2.3.4가동,11110615,dong,4.925,2.933333333,4.916666667,2.8,4.916666667,2.683333333
종로5.6가동,11110630,dong,4.65,3.7,4.708333333,3.3,4.858333333,3.133333333
이화동,11110640,dong,3.958333333,3.041666667,3.791666667,2.658333333,4.108333333,2.858333333
혜화동,11110650,dong,4.808333333,2.9,4.733333333,2.908333333,4.883333333,3.008333333
창신1동,11110670,dong,4.183333333,3.108333333,4.45,3.025,4.458333333,2.825
창신2동,11110680,dong,7.558333333,4.291666667,7.041666667,3.916666667,7.583333333,4.583333333
창신3동,11110690,dong,2.75,2.541666667,3.416666667,3.541666667,5.541666667,6.333333333
숭인1동,11110700,dong,5.958333333,3.275,6.083333333,2.908333333,6.616666667,3.533333333
숭인2동,11110710,dong,5.066666667,2.633333333,4.925,2.366666667,5.041666667,2.8
중구,11140,gu,4.95,3.15,5.108333333,3.225,5.308333333,3.416666667
소공동,11140520,dong,5.441666667,3.083333333,5.666666667,3.291666667,5.758333333,3.533333333
회현동,11140540,dong,5.208333333,3.558333333,5.425,3.816666667,5.883333333,4.45
명동,11140550,dong,4.725,3.116666667,4.841666667,3.066666667,4.95,3.25
필동,11140570,dong,5.675,4.033333333,5.341666667,3.475,5.541666667,3.591666667
장충동,11140580,dong,4.916666667,4.05,5.483333333,4.791666667,5.475,4.491666667
광희동,11140590,dong,4.466666667,2.625,4.758333333,3,4.85,3.125
을지로동,11140605,dong,5.375,3.175,5.625,3.058333333,5.575,2.975
신당동,11140615,dong,4.408333333,2.958333333,4.641666667,3.1,4.891666667,3.141666667
다산동,11140625,dong,4.816666667,3.008333333,4.8,3.1,5.658333333,3.45
약수동,11140635,dong,6.025,2.008333333,6.275,2.483333333,6.366666667,2.991666667
청구동,11140645,dong,5.458333333,3.591666667,5.833333333,3.558333333,6.216666667,3.891666667
신당5동,11140650,dong,4.358333333,3.066666667,4.025,2.791666667,4.225,2.558333333
동화동,11140665,dong,4.158333333,2.775,4.55,2.608333333,4.9,3.025
황학동,11140670,dong,5.033333333,3.425,5.083333333,3.508333333,5.041666667,2.808333333
중림동,11140680,dong,4.45,2.608333333,4.658333333,2.725,5.008333333,3.05
용산구,11170,gu,4.825,3.083333333,5.025,3.275,5.2,3.366666667
후암동,11170510,dong,4.316666667,3.191666667,4.025,3.025,4.25,3.35
용산2가동,11170520,dong,5.1,2.375,5.141666667,2.441666667,4.791666667,2.416666667
남영동,11170530,dong,4.358333333,3.383333333,4.616666667,3.8,4.791666667,3.95
청파동,11170555,dong,4.725,3.066666667,4.908333333,3.233333333,4.933333333,3.225
원효로1동,11170560,dong,4.3,3.216666667,4.4,3.333333333,4.775,3.566666667
원효로2동,11170570,dong,5.158333333,3.291666667,5.716666667,3.941666667,6.2,4.175
효창동,11170580,dong,4.825,2.641666667,4.766666667,2.533333333,4.908333333,2.766666667
용문동,11170590,dong,3.225,2.275,3.541666667,2.65,3.775,2.508333333
한강로동,11170625,dong,4.241666667,2.991666667,4.508333333,3.291666667,4.816666667,3.358333333
이촌1동,11170630,dong,4.8,3.133333333,4.891666667,3.383333333,5.45,2.808333333
이촌2동,11170640,dong,2.441666667,2.441666667,3.008333333,3.008333333,2.883333333,2.883333333
이태원1동,11170650,dong,7.133333333,2.741666667,7.55,3.191666667,7.783333333,3.525
이태원2동,11170660,dong,5.741666667,3.583333333,5.766666667,2.783333333,5.641666667,2.783333333
한남동,11170685,dong,5.308333333,3.241666667,5.7,3.691666667,5.65,3.608333333
서빙고동,11170690,dong,5.291666667,3.608333333,5.441666667,3,5.983333333,3.508333333
보광동,11170700,dong,5.691666667,3.491666667,6.15,4.058333333,6.358333333,4.408333333
성동구,11200,gu,4.491666667,3.016666667,4.575,2.975,4.683333333,3.075
왕십리2동,11200520,dong,4.033333333,3.008333333,3.833333333,2.408333333,3.958333333,2.7
왕십리도선동,11200535,dong,3.925,2.366666667,4.25,2.875,4.45,3.283333333
마장동,11200540,dong,5.933333333,4.391666667,6.008333333,3.991666667,5.641666667,3.433333333
사근동,11200550,dong,4.5,2.975,4.591666667,2.875,4.641666667,3.025
행당1동,11200560,dong,4.841666667,3.191666667,5.041666667,3.35,5.133333333,3.475
행당2동,11200570,dong,5.616666667,4.241666667,5.25,3.9,5.083333333,3.816666667
응봉동,11200580,dong,2.666666667,1.141666667,3,1.808333333,3.025,1.916666667
금호1가동,11200590,dong,3.825,2.133333333,3.941666667,2.325,3.625,2.133333333
금호2.3가동,11200615,dong,5.275,2.691666667,5.583333333,3.183333333,5.55,3.366666667
금호4가동,11200620,dong,3.541666667,2.4,3.891666667,2.8,3.85,2.916666667
옥수동,11200645,dong,4.733333333,2.55,4.866666667,2.675,4.958333333,2.9
성수1가1동,11200650,dong,4.95,3.2,4.8,2.7,4.75,2.525
성수1가2동,11200660,dong,4.15,3.458333333,4.158333333,3.175,4.358333333,3.316666667
성수2가1동,11200670,dong,3.758333333,2.85,3.775,2.533333333,3.85,2.525
성수2가3동,11200690,dong,5.05,3,5.016666667,2.916666667,5.383333333,3.05
송정동,11200720,dong,4.1,3.758333333,3.591666667,2.983333333,4.258333333,3
용답동,11200790,dong,3.675,3.216666667,4.141666667,3.833333333,4.341666667,3.975
광진구,11215,gu,4.516666667,3.133333333,4.6,3.116666667,4.708333333,3.116666667
화양동,11215710,dong,5.633333333,3.816666667,5.775,3.75,5.741666667,3.541666667
군자동,11215730,dong,3.683333333,2.691666667,3.808333333,2.933333333,3.908333333,3.175
중곡1동,11215740,dong,4.683333333,2.833333333,4.85,3.125,4.95,3.133333333
중곡2동,11215750,dong,4.083333333,3.225,4.45,3.125,4.391666667,3.075
중곡3동,11215760,dong,4.758333333,4.033333333,5.008333333,4.158333333,5.125,3.975
중곡4동,11215770,dong,4.991666667,3.291666667,5.025,3.108333333,5.158333333,3.066666667
능동,11215780,dong,3.45,2.858333333,3.641666667,3.058333333,3.75,3.133333333
광장동,11215810,dong,4.866666667,2.875,4.883333333,2.841666667,5.333333333,2.808333333
자양1동,11215820,dong,3.941666667,2.616666667,4.15,2.866666667,4.358333333,3.141666667
자양2동,11215830,dong,3.825,3.066666667,3.75,2.675,3.916666667,2.941666667
자양3동,11215840,dong,4.508333333,2.933333333,4.683333333,3.308333333,4.983333333,3.483333333
자양4동,11215847,dong,4.633333333,3.708333333,4.591666667,3.2,4.8,2.866666667
구의1동,11215850,dong,3.941666667,2.791666667,3.825,2.658333333,3.933333333,2.608333333
구의2동,11215860,dong,4.108333333,2.625,4.008333333,2.666666667,3.958333333,2.7
구의3동,11215870,dong,5,3.208333333,5.1,3.258333333,5.225,3.191666667
동대문구,11230,gu,4.6,3.083333333,4.75,3.15,4.908333333,3.166666667
용신동,11230536,dong,4.183333333,3.108333333,4.333333333,3.108333333,4.575,3.283333333
제기동,11230545,dong,4.383333333,3.191666667,4.733333333,3.458333333,5.016666667,3.75
전농1동,11230560,dong,4.608333333,3.316666667,4.55,3.375,4.525,3.325
전농2동,11230570,dong,4.683333333,3.308333333,4.641666667,2.891666667,4.6,2.8
답십리1동,11230600,dong,4.833333333,2.533333333,5.275,3.025,5.133333333,3.033333333
답십리2동,11230610,dong,3.491666667,2.875,3.408333333,2.416666667,3.725,2.858333333
장안1동,11230650,dong,4.683333333,2.483333333,4.741666667,2.566666667,4.975,2.716666667
장안2동,11230660,dong,4.125,3.025,4.3,3.391666667,4.416666667,3.3
청량리동,11230705,dong,4.016666667,3.4,4.291666667,2.916666667,4.541666667,3.016666667
회기동,11230710,dong,4.991666667,3.475,5.175,3.341666667,5.333333333,3.1
휘경1동,11230720,dong,5.35,3.483333333,5.583333333,3.791666667,5.341666667,3.316666667
휘경2동,11230730,dong,4.341666667,3.291666667,4.666666667,3.666666667,4.791666667,3.591666667
이문1동,11230740,dong,6.216666667,3.683333333,6.358333333,3.716666667,6.541666667,3.308333333
이문2동,11230750,dong,3.9,2.816666667,4.116666667,3.075,4.858333333,3.25
중랑구,11260,gu,4.333333333,3.066666667,4.483333333,3.158333333,4.683333333,3.208333333
면목2동,11260520,dong,3.7,2.341666667,3.866666667,2.616666667,3.983333333,2.533333333
면목4동,11260540,dong,4.325,2.783333333,4.658333333,3.233333333,4.766666667,3.425
면목5동,11260550,dong,2.725,2.658333333,2.991666667,3,4.766666667,3.433333333
면목본동,11260565,dong,4.616666667,3.541666667,4.641666667,3.383333333,4.858333333,3.616666667
면목7동,11260570,dong,5.525,3.925,5.925,4.116666667,6.416666667,4.725
면목3.8동,11260575,dong,4.316666667,3.866666667,4.541666667,3.733333333,4.8,3.95
상봉1동,11260580,dong,2.525,2.533333333,2.725,2.75,3.2,3.2
상봉2동,11260590,dong,4.516666667,3.25,4.591666667,3.35,4.925,3.308333333
중화1동,11260600,dong,4.883333333,3.141666667,4.591666667,2.958333333,4.708333333,2.875
중화2동,11260610,dong,4.491666667,2.8,4.216666667,2.275,4.075,2.366666667
묵1동,11260620,dong,4.783333333,2.566666667,5.083333333,2.941666667,5.241666667,3.075
묵2동,11260630,dong,3.683333333,3.191666667,3.725,3.183333333,3.9,2.75
망우본동,11260655,dong,4.725,3.283333333,4.983333333,3.616666667,4.941666667,3.2
망우3동,11260660,dong,2.241666667,2.091666667,2.8,2.525,3.066666667,2.85
신내1동,11260680,dong,4.416666667,2.875,4.583333333,2.958333333,4.808333333,3.1
신내2동,11260690,dong,6.425,4.016666667,7.066666667,4.166666667,7.241666667,3.85
성북구,11290,gu,4.591666667,3.141666667,4.716666667,3.091666667,4.833333333,3.2
성북동,11290525,dong,5.541666667,3.316666667,6.216666667,3.558333333,6.491666667,3.533333333
삼선동,11290555,dong,4.775,3.55,4.808333333,3.35,5.091666667,3.758333333
동선동,11290575,dong,4.158333333,2.975,4.283333333,3.041666667,4.258333333,2.966666667
돈암1동,11290580,dong,3.858333333,3.35,4.283333333,3.333333333,4.4,3.483333333
돈암2동,11290590,dong,6.483333333,3.358333333,5.016666667,2.65,4.383333333,2.466666667
안암동,11290600,dong,5.133333333,3.333333333,5.2,3.25,5.441666667,3.241666667
보문동,11290610,dong,5.191666667,2.666666667,5.216666667,2.708333333,5.425,2.9
정릉1동,11290620,dong,3.783333333,3.383333333,3.783333333,3.125,3.916666667,3.416666667
정릉2동,11290630,dong,3.108333333,2.85,3.441666667,2.975,4.166666667,3
정릉3동,11290640,dong,3.916666667,2.791666667,3.95,2.858333333,4.1,3.15
정릉4동,11290650,dong,4.716666667,2.783333333,4.8,3.016666667,4.716666667,3.091666667
길음1동,11290660,dong,4.125,2,4.458333333,2.366666667,4.225,2.466666667
길음2동,11290685,dong,6.3,4.591666667,6.591666667,4.891666667,5.583333333,3.675
