"행정구역","2018년06월_총인구수","2018년06월_세대수","2018년06월_세대당 인구","2018년06월_남자 인구수","2018년06월_여자 인구수","2018년06월_남여 비율"
"서울특별시 강동구 (1174000000)","432,749","177,605","          2.44","214,740","218,009","          0.99"
"서울특별시 강동구 강일동(1174051500)","33,021","11,210","          2.95","16,070","16,951","          0.95"
"서울특별시 강동구 상일동(1174052000)","11,059","4,181","          2.65","5,548","5,511","          1.01"
"서울특별시 강동구 명일제1동(1174053000)","22,431","8,189","          2.74","11,030","11,401","          0.97"
"서울특별시 강동구 명일제2동(1174054000)","18,012","5,898","          3.05","8,948","9,064","          0.99"
"서울특별시 강동구 고덕제1동(1174055000)","27,425","9,118","          3.01","13,873","13,552","          1.02"
"서울특별시 강동구 고덕제2동(1174056000)","7,797","3,551","          2.20","4,136","3,661","          1.13"
"서울특별시 강동구 암사제1동(1174057000)","37,723","16,327","          2.31","18,814","18,909","          0.99"
"서울특별시 강동구 암사제2동(1174058000)","14,743","5,890","          2.50","7,184","7,559","          0.95"
"서울특별시 강동구 암사제3동(1174059000)","18,930","6,312","          3.00","9,307","9,623","          0.97"
"서울특별시 강동구 천호제1동(1174060000)","29,279","12,947","          2.26","14,489","14,790","          0.98"
"서울특별시 강동구 천호제2동(1174061000)","36,052","17,552","          2.05","18,089","17,963","          1.01"
"서울특별시 강동구 천호제3동(1174062000)","27,908","13,378","          2.09","13,901","14,007","          0.99"
"서울특별시 강동구 성내제1동(1174064000)","20,953","8,146","          2.57","10,182","10,771","          0.95"
"서울특별시 강동구 성내제2동(1174065000)","25,233","12,362","          2.04","12,581","12,652","          0.99"
"서울특별시 강동구 성내제3동(1174066000)","24,094","10,201","          2.36","11,997","12,097","          0.99"
"서울특별시 강동구 길동(1174068500)","49,224","20,998","          2.34","24,275","24,949","          0.97"
"서울특별시 강동구 둔촌제1동(1174069000)","331","201","          1.65","156","175","          0.89"
"서울특별시 강동구 둔촌제2동(1174070000)","28,534","11,144","          2.56","14,160","14,374","          0.99"
