"행정구역","2018년06월_총인구수","2018년06월_세대수","2018년06월_세대당 인구","2018년06월_남자 인구수","2018년06월_여자 인구수","2018년06월_남여 비율"
"서울특별시 광진구 (1121500000)","355,748","161,294","          2.21","173,216","182,532","          0.95"
"서울특별시 광진구 화양동(1121571000)","21,439","15,145","          1.42","10,297","11,142","          0.92"
"서울특별시 광진구 군자동(1121573000)","20,109","10,356","          1.94","9,934","10,175","          0.98"
"서울특별시 광진구 중곡제1동(1121574000)","15,965","7,756","          2.06","7,878","8,087","          0.97"
"서울특별시 광진구 중곡제2동(1121575000)","22,445","10,209","          2.20","10,886","11,559","          0.94"
"서울특별시 광진구 중곡제3동(1121576000)","17,653","8,393","          2.10","8,772","8,881","          0.99"
"서울특별시 광진구 중곡제4동(1121577000)","31,147","13,181","          2.36","15,387","15,760","          0.98"
"서울특별시 광진구 능동(1121578000)","11,555","6,105","          1.89","5,369","6,186","          0.87"
"서울특별시 광진구 광장동(1121581000)","36,258","11,957","          3.03","17,613","18,645","          0.94"
"서울특별시 광진구 자양제1동(1121582000)","23,433","11,340","          2.07","11,357","12,076","          0.94"
"서울특별시 광진구 자양제2동(1121583000)","27,294","11,269","          2.42","13,424","13,870","          0.97"
"서울특별시 광진구 자양제3동(1121584000)","29,960","11,058","          2.71","14,485","15,475","          0.94"
"서울특별시 광진구 자양제4동(1121584700)","19,982","10,194","          1.96","10,062","9,920","          1.01"
"서울특별시 광진구 구의제1동(1121585000)","22,725","11,525","          1.97","10,902","11,823","          0.92"
"서울특별시 광진구 구의제2동(1121586000)","25,547","10,680","          2.39","12,422","13,125","          0.95"
"서울특별시 광진구 구의제3동(1121587000)","30,236","12,126","          2.49","14,428","15,808","          0.91"
