"행정구역","2018년06월_총인구수","2018년06월_세대수","2018년06월_세대당 인구","2018년06월_남자 인구수","2018년06월_여자 인구수","2018년06월_남여 비율"
"서울특별시 구로구 (1153000000)","407,235","171,882","          2.37","202,016","205,219","          0.98"
"서울특별시 구로구 신도림동(1153051000)","37,293","13,314","          2.80","18,260","19,033","          0.96"
"서울특별시 구로구 구로제1동(1153052000)","21,629","7,825","          2.76","10,685","10,944","          0.98"
"서울특별시 구로구 구로제2동(1153053000)","26,492","12,903","          2.05","13,398","13,094","          1.02"
"서울특별시 구로구 구로제3동(1153054000)","25,388","13,563","          1.87","12,836","12,552","          1.02"
"서울특별시 구로구 구로제4동(1153055000)","21,967","10,685","          2.06","10,869","11,098","          0.98"
"서울특별시 구로구 구로제5동(1153056000)","30,594","14,279","          2.14","14,852","15,742","          0.94"
"서울특별시 구로구 가리봉동(1153059500)","9,948","5,915","          1.68","5,417","4,531","          1.20"
"서울특별시 구로구 고척제1동(1153072000)","24,236","9,490","          2.55","12,135","12,101","          1.00"
"서울특별시 구로구 고척제2동(1153073000)","29,247","11,684","          2.50","14,590","14,657","          1.00"
"서울특별시 구로구 개봉제1동(1153074000)","33,784","13,992","          2.41","16,913","16,871","          1.00"
"서울특별시 구로구 개봉제2동(1153075000)","33,468","12,726","          2.63","16,438","17,030","          0.97"
"서울특별시 구로구 개봉제3동(1153076000)","21,714","8,683","          2.50","10,636","11,078","          0.96"
"서울특별시 구로구 오류제1동(1153077000)","21,913","10,405","          2.11","10,797","11,116","          0.97"
"서울특별시 구로구 오류제2동(1153078000)","44,203","16,606","          2.66","21,557","22,646","          0.95"
"서울특별시 구로구 수궁동(1153079000)","25,359","9,812","          2.58","12,633","12,726","          0.99"
