"행정구역","2018년06월_총인구수","2018년06월_세대수","2018년06월_세대당 인구","2018년06월_남자 인구수","2018년06월_여자 인구수","2018년06월_남여 비율"
"서울특별시 노원구 (1135000000)","549,365","217,662","          2.52","266,826","282,539","          0.94"
"서울특별시 노원구 월계1동(1135056000)","23,712","10,458","          2.27","12,231","11,481","          1.07"
"서울특별시 노원구 월계2동(1135057000)","26,894","11,264","          2.39","12,997","13,897","          0.94"
"서울특별시 노원구 월계3동(1135058000)","32,753","13,001","          2.52","15,816","16,937","          0.93"
"서울특별시 노원구 공릉1동(1135059500)","39,264","17,930","          2.19","19,277","19,987","          0.96"
"서울특별시 노원구 공릉2동(1135060000)","41,222","16,079","          2.56","20,206","21,016","          0.96"
"서울특별시 노원구 하계1동(1135061100)","29,711","12,365","          2.40","14,441","15,270","          0.95"
"서울특별시 노원구 하계2동(1135061200)","24,021","8,347","          2.88","11,523","12,498","          0.92"
"서울특별시 노원구 중계본동(1135061900)","26,970","9,232","          2.92","13,234","13,736","          0.96"
"서울특별시 노원구 중계1동(1135062100)","28,467","9,130","          3.12","13,920","14,547","          0.96"
"서울특별시 노원구 중계4동(1135062400)","21,792","8,428","          2.59","10,629","11,163","          0.95"
"서울특별시 노원구 중계2.3동(1135062500)","38,150","15,499","          2.46","17,851","20,299","          0.88"
"서울특별시 노원구 상계1동(1135063000)","41,191","15,657","          2.63","20,130","21,061","          0.96"
"서울특별시 노원구 상계2동(1135064000)","21,652","8,741","          2.48","10,698","10,954","          0.98"
"서울특별시 노원구 상계3.4동(1135066500)","27,044","11,871","          2.28","13,530","13,514","          1.00"
"서울특별시 노원구 상계5동(1135067000)","26,485","11,149","          2.38","12,974","13,511","          0.96"
"서울특별시 노원구 상계6.7동(1135069500)","35,566","14,025","          2.54","16,623","18,943","          0.88"
"서울특별시 노원구 상계8동(1135070000)","24,764","9,313","          2.66","11,955","12,809","          0.93"
"서울특별시 노원구 상계9동(1135071000)","22,552","8,512","          2.65","10,861","11,691","          0.93"
"서울특별시 노원구 상계10동(1135072000)","17,155","6,661","          2.58","7,930","9,225","          0.86"
