"행정구역","2018년06월_총인구수","2018년06월_세대수","2018년06월_세대당 인구","2018년06월_남자 인구수","2018년06월_여자 인구수","2018년06월_남여 비율"
"서울특별시 마포구 (1144000000)","374,691","170,788","          2.19","178,430","196,261","          0.91"
"서울특별시 마포구 아현동(1144055500)","25,357","10,314","          2.46","12,003","13,354","          0.90"
"서울특별시 마포구 공덕동(1144056500)","39,934","18,407","          2.17","19,044","20,890","          0.91"
"서울특별시 마포구 도화동(1144058500)","22,700","9,613","          2.36","10,834","11,866","          0.91"
"서울특별시 마포구 용강동(1144059000)","22,052","9,102","          2.42","10,532","11,520","          0.91"
"서울특별시 마포구 대흥동(1144060000)","11,954","7,183","          1.66","5,854","6,100","          0.96"
"서울특별시 마포구 염리동(1144061000)","10,337","4,974","          2.08","5,017","5,320","          0.94"
"서울특별시 마포구 신수동(1144063000)","21,347","9,164","          2.33","10,445","10,902","          0.96"
"서울특별시 마포구 서강동(1144065500)","25,150","11,505","          2.19","12,041","13,109","          0.92"
"서울특별시 마포구 서교동(1144066000)","24,735","13,899","          1.78","11,514","13,221","          0.87"
"서울특별시 마포구 합정동(1144068000)","19,356","9,618","          2.01","9,014","10,342","          0.87"
"서울특별시 마포구 망원제1동(1144069000)","21,289","10,274","          2.07","10,147","11,142","          0.91"
"서울특별시 마포구 망원제2동(1144070000)","19,603","8,176","          2.40","9,396","10,207","          0.92"
"서울특별시 마포구 연남동(1144071000)","16,620","8,774","          1.89","7,826","8,794","          0.89"
"서울특별시 마포구 성산제1동(1144072000)","20,135","9,290","          2.17","9,563","10,572","          0.90"
"서울특별시 마포구 성산제2동(1144073000)","41,096","17,846","          2.30","19,323","21,773","          0.89"
"서울특별시 마포구 상암동(1144074000)","33,026","12,649","          2.61","15,877","17,149","          0.93"
