"행정구역","2018년06월_총인구수","2018년06월_세대수","2018년06월_세대당 인구","2018년06월_남자 인구수","2018년06월_여자 인구수","2018년06월_남여 비율"
"서울특별시 서대문구 (1141000000)","311,280","137,725","          2.26","150,131","161,149","          0.93"
"서울특별시 서대문구 천연동(1141052000)","19,057","8,349","          2.28","9,112","9,945","          0.92"
"서울특별시 서대문구 북아현동(1141055500)","17,432","7,562","          2.31","8,319","9,113","          0.91"
"서울특별시 서대문구 충현동(1141056500)","18,149","8,793","          2.06","8,873","9,276","          0.96"
"서울특별시 서대문구 신촌동(1141058500)","18,406","11,745","          1.57","8,414","9,992","          0.84"
"서울특별시 서대문구 연희동(1141061500)","37,557","18,550","          2.02","18,198","19,359","          0.94"
"서울특별시 서대문구 홍제제1동(1141062000)","23,138","9,515","          2.43","10,886","12,252","          0.89"
"서울특별시 서대문구 홍제제3동(1141064000)","16,643","7,126","          2.34","8,064","8,579","          0.94"
"서울특별시 서대문구 홍제제2동(1141065500)","14,788","5,833","          2.54","7,097","7,691","          0.92"
"서울특별시 서대문구 홍은제1동(1141066000)","23,993","9,778","          2.45","11,721","12,272","          0.96"
"서울특별시 서대문구 홍은제2동(1141068500)","29,126","12,541","          2.32","14,250","14,876","          0.96"
"서울특별시 서대문구 남가좌제1동(1141069000)","16,896","6,079","          2.78","8,135","8,761","          0.93"
"서울특별시 서대문구 남가좌제2동(1141070000)","22,412","10,116","          2.22","10,862","11,550","          0.94"
"서울특별시 서대문구 북가좌제1동(1141071000)","19,432","7,025","          2.77","9,415","10,017","          0.94"
"서울특별시 서대문구 북가좌제2동(1141072000)","34,251","14,713","          2.33","16,785","17,466","          0.96"
