"행정구역","2018년06월_총인구수","2018년06월_세대수","2018년06월_세대당 인구","2018년06월_남자 인구수","2018년06월_여자 인구수","2018년06월_남여 비율"
"서울특별시  (1100000000)","9,814,049","4,241,547","          2.31","4,802,769","5,011,280","          0.96"
"서울특별시 종로구 (1111000000)","153,780","73,655","          2.09","75,247","78,533","          0.96"
"서울특별시 중구 (1114000000)","126,032","61,091","          2.06","62,260","63,772","          0.98"
"서울특별시 용산구 (1117000000)","229,677","108,516","          2.12","111,078","118,599","          0.94"
"서울특별시 성동구 (1120000000)","308,066","135,666","          2.27","151,571","156,495","          0.97"
"서울특별시 광진구 (1121500000)","355,748","161,294","          2.21","173,216","182,532","          0.95"
"서울특별시 동대문구 (1123000000)","348,903","160,757","          2.17","174,128","174,775","          1.00"
"서울특별시 중랑구 (1126000000)","405,551","179,690","          2.26","201,803","203,748","          0.99"
"서울특별시 성북구 (1129000000)","440,272","186,696","          2.36","214,430","225,842","          0.95"
"서울특별시 강북구 (1130500000)","322,385","143,187","          2.25","157,769","164,616","          0.96"
"서울특별시 도봉구 (1132000000)","341,928","137,560","          2.49","167,465","174,463","          0.96"
"서울특별시 노원구 (1135000000)","549,365","217,662","          2.52","266,826","282,539","          0.94"
"서울특별시 은평구 (1138000000)","484,642","203,547","          2.38","234,905","249,737","          0.94"
"서울특별시 서대문구 (1141000000)","311,280","137,725","          2.26","150,131","161,149","          0.93"
"서울특별시 마포구 (1144000000)","374,691","170,788","          2.19","178,430","196,261","          0.91"
"서울특별시 양천구 (1147000000)","467,151","176,234","          2.65","230,322","236,829","          0.97"
"서울특별시 강서구 (1150000000)","600,257","256,560","          2.34","291,966","308,291","          0.95"
"서울특별시 구로구 (1153000000)","407,235","171,882","          2.37","202,016","205,219","          0.98"
"서울특별시 금천구 (1154500000)","233,263","106,307","          2.19","118,530","114,733","          1.03"
"서울특별시 영등포구 (1156000000)","369,003","169,264","          2.18","183,888","185,115","          0.99"
"서울특별시 동작구 (1159000000)","394,788","174,427","          2.26","192,296","202,492","          0.95"
"서울특별시 관악구 (1162000000)","504,048","259,681","          1.94","253,600","250,448","          1.01"
"서울특별시 서초구 (1165000000)","439,844","174,268","          2.52","210,596","229,248","          0.92"
"서울특별시 강남구 (1168000000)","546,952","229,160","          2.39","261,815","285,137","          0.92"
"서울특별시 송파구 (1171000000)","666,439","268,325","          2.48","323,741","342,698","          0.94"
"서울특별시 강동구 (1174000000)","432,749","177,605","          2.44","214,740","218,009","          0.99"
