"행정구역","2018년06월_총인구수","2018년06월_세대수","2018년06월_세대당 인구","2018년06월_남자 인구수","2018년06월_여자 인구수","2018년06월_남여 비율"
"서울특별시 서초구 (1165000000)","439,844","174,268","          2.52","210,596","229,248","          0.92"
"서울특별시 서초구 서초1동(1165051000)","21,185","9,099","          2.33","10,244","10,941","          0.94"
"서울특별시 서초구 서초2동(1165052000)","17,624","7,740","          2.28","8,383","9,241","          0.91"
"서울특별시 서초구 서초3동(1165053000)","30,232","12,789","          2.36","14,838","15,394","          0.96"
"서울특별시 서초구 서초4동(1165053100)","31,305","10,712","          2.92","15,157","16,148","          0.94"
"서울특별시 서초구 잠원동(1165054000)","34,646","13,896","          2.49","16,491","18,155","          0.91"
"서울특별시 서초구 반포본동(1165055000)","12,553","4,227","          2.97","5,929","6,624","          0.90"
"서울특별시 서초구 반포1동(1165056000)","28,247","12,846","          2.20","13,556","14,691","          0.92"
"서울특별시 서초구 반포2동(1165057000)","23,779","7,730","          3.08","11,361","12,418","          0.91"
"서울특별시 서초구 반포3동(1165058000)","19,047","6,624","          2.88","9,054","9,993","          0.91"
"서울특별시 서초구 반포4동(1165058100)","19,828","7,341","          2.70","9,397","10,431","          0.90"
"서울특별시 서초구 방배본동(1165059000)","21,307","7,811","          2.73","9,915","11,392","          0.87"
"서울특별시 서초구 방배1동(1165060000)","17,286","7,482","          2.31","8,122","9,164","          0.89"
"서울특별시 서초구 방배2동(1165061000)","26,109","10,855","          2.41","12,401","13,708","          0.90"
"서울특별시 서초구 방배3동(1165062000)","22,093","8,406","          2.63","10,643","11,450","          0.93"
"서울특별시 서초구 방배4동(1165062100)","25,477","10,208","          2.50","11,734","13,743","          0.85"
"서울특별시 서초구 양재1동(1165065100)","46,702","18,339","          2.55","22,385","24,317","          0.92"
"서울특별시 서초구 양재2동(1165065200)","23,689","10,975","          2.16","11,845","11,844","          1.00"
"서울특별시 서초구 내곡동(1165066000)","18,735","7,188","          2.61","9,141","9,594","          0.95"
