"행정구역","2018년06월_총인구수","2018년06월_세대수","2018년06월_세대당 인구","2018년06월_남자 인구수","2018년06월_여자 인구수","2018년06월_남여 비율"
"서울특별시 성동구 (1120000000)","308,066","135,666","          2.27","151,571","156,495","          0.97"
"서울특별시 성동구 왕십리제2동(1120052000)","17,898","7,697","          2.33","8,770","9,128","          0.96"
"서울특별시 성동구 왕십리도선동(1120053500)","27,339","11,547","          2.37","13,098","14,241","          0.92"
"서울특별시 성동구 마장동(1120054000)","23,647","10,563","          2.24","11,682","11,965","          0.98"
"서울특별시 성동구 사근동(1120055000)","11,456","6,927","          1.65","5,914","5,542","          1.07"
"서울특별시 성동구 행당제1동(1120056000)","14,006","6,352","          2.20","6,858","7,148","          0.96"
"서울특별시 성동구 행당제2동(1120057000)","25,154","9,469","          2.66","11,890","13,264","          0.90"
"서울특별시 성동구 응봉동(1120058000)","16,503","6,255","          2.64","7,851","8,652","          0.91"
"서울특별시 성동구 금호1가동(1120059000)","15,813","6,443","          2.45","7,621","8,192","          0.93"
"서울특별시 성동구 금호2.3가동(1120061500)","24,352","10,267","          2.37","11,685","12,667","          0.92"
"서울특별시 성동구 금호4가동(1120062000)","15,230","6,460","          2.36","7,308","7,922","          0.92"
"서울특별시 성동구 옥수동(1120064500)","27,295","10,946","          2.49","12,809","14,486","          0.88"
"서울특별시 성동구 성수1가제1동(1120065000)","17,372","7,643","          2.27","8,716","8,656","          1.01"
"서울특별시 성동구 성수1가제2동(1120066000)","15,644","7,281","          2.15","7,825","7,819","          1.00"
"서울특별시 성동구 성수2가제1동(1120067000)","17,868","8,585","          2.08","9,292","8,576","          1.08"
"서울특별시 성동구 성수2가제3동(1120069000)","11,672","5,666","          2.06","6,033","5,639","          1.07"
"서울특별시 성동구 송정동(1120072000)","11,349","5,478","          2.07","6,036","5,313","          1.14"
"서울특별시 성동구 용답동(1120079000)","15,468","8,087","          1.91","8,183","7,285","          1.12"
