"행정구역","2018년06월_총인구수","2018년06월_세대수","2018년06월_세대당 인구","2018년06월_남자 인구수","2018년06월_여자 인구수","2018년06월_남여 비율"
"서울특별시 성북구 (1129000000)","440,272","186,696","          2.36","214,430","225,842","          0.95"
"서울특별시 성북구 성북동(1129052500)","17,445","7,992","          2.18","8,280","9,165","          0.90"
"서울특별시 성북구 삼선동(1129055500)","26,513","12,586","          2.11","12,846","13,667","          0.94"
"서울특별시 성북구 동선동(1129057500)","15,723","8,870","          1.77","6,791","8,932","          0.76"
"서울특별시 성북구 돈암제1동(1129058000)","16,433","6,379","          2.58","7,717","8,716","          0.89"
"서울특별시 성북구 돈암제2동(1129059000)","25,100","8,502","          2.95","12,006","13,094","          0.92"
"서울특별시 성북구 안암동(1129060000)","15,268","8,698","          1.76","7,756","7,512","          1.03"
"서울특별시 성북구 보문동(1129061000)","16,958","7,999","          2.12","8,239","8,719","          0.94"
"서울특별시 성북구 정릉제1동(1129062000)","18,214","7,023","          2.59","8,808","9,406","          0.94"
"서울특별시 성북구 정릉제2동(1129063000)","24,086","9,611","          2.51","11,810","12,276","          0.96"
"서울특별시 성북구 정릉제3동(1129064000)","16,019","7,551","          2.12","7,998","8,021","          1.00"
"서울특별시 성북구 정릉제4동(1129065000)","27,036","11,046","          2.45","13,187","13,849","          0.95"
"서울특별시 성북구 길음제1동(1129066000)","37,672","12,980","          2.90","18,051","19,621","          0.92"
"서울특별시 성북구 길음제2동(1129068500)","11,794","4,987","          2.36","5,751","6,043","          0.95"
"서울특별시 성북구 종암동(1129070500)","41,007","16,971","          2.42","20,345","20,662","          0.98"
"서울특별시 성북구 월곡제1동(1129071500)","27,805","10,749","          2.59","13,549","14,256","          0.95"
"서울특별시 성북구 월곡제2동(1129072500)","20,271","8,855","          2.29","9,933","10,338","          0.96"
"서울특별시 성북구 장위제1동(1129076000)","21,019","8,949","          2.35","10,430","10,589","          0.98"
"서울특별시 성북구 장위제2동(1129077000)","16,849","7,369","          2.29","8,448","8,401","          1.01"
"서울특별시 성북구 장위제3동(1129078000)","11,787","4,886","          2.41","5,935","5,852","          1.01"
"서울특별시 성북구 석관동(1129081000)","33,273","14,693","          2.26","16,550","16,723","          0.99"
