"행정구역","2018년06월_총인구수","2018년06월_세대수","2018년06월_세대당 인구","2018년06월_남자 인구수","2018년06월_여자 인구수","2018년06월_남여 비율"
"서울특별시 용산구 (1117000000)","229,677","108,516","          2.12","111,078","118,599","          0.94"
"서울특별시 용산구 후암동(1117051000)","18,330","8,532","          2.15","8,928","9,402","          0.95"
"서울특별시 용산구 용산2가동(1117052000)","10,854","5,539","          1.96","5,206","5,648","          0.92"
"서울특별시 용산구 남영동(1117053000)","7,887","5,445","          1.45","4,871","3,016","          1.62"
"서울특별시 용산구 청파동(1117055500)","20,295","10,573","          1.92","9,751","10,544","          0.92"
"서울특별시 용산구 원효로제1동(1117056000)","15,153","7,180","          2.11","7,367","7,786","          0.95"
"서울특별시 용산구 원효로제2동(1117057000)","14,995","6,014","          2.49","7,046","7,949","          0.89"
"서울특별시 용산구 효창동(1117058000)","9,002","3,734","          2.41","4,291","4,711","          0.91"
"서울특별시 용산구 용문동(1117059000)","12,703","5,337","          2.38","6,118","6,585","          0.93"
"서울특별시 용산구 한강로동(1117062500)","17,417","9,347","          1.86","8,478","8,939","          0.95"
"서울특별시 용산구 이촌제1동(1117063000)","27,991","10,127","          2.76","13,043","14,948","          0.87"
"서울특별시 용산구 이촌제2동(1117064000)","9,144","3,857","          2.37","4,316","4,828","          0.89"
"서울특별시 용산구 이태원제1동(1117065000)","7,056","3,869","          1.82","3,352","3,704","          0.90"
"서울특별시 용산구 이태원제2동(1117066000)","9,482","4,906","          1.93","4,398","5,084","          0.87"
"서울특별시 용산구 한남동(1117068500)","20,575","10,914","          1.89","9,916","10,659","          0.93"
"서울특별시 용산구 서빙고동(1117069000)","13,630","5,345","          2.55","6,563","7,067","          0.93"
"서울특별시 용산구 보광동(1117070000)","15,163","7,797","          1.94","7,434","7,729","          0.96"
