"행정구역","2018년06월_총인구수","2018년06월_세대수","2018년06월_세대당 인구","2018년06월_남자 인구수","2018년06월_여자 인구수","2018년06월_남여 비율"
"서울특별시 중랑구 (1126000000)","405,551","179,690","          2.26","201,803","203,748","          0.99"
"서울특별시 중랑구 면목제2동(1126052000)","26,319","12,183","          2.16","13,211","13,108","          1.01"
"서울특별시 중랑구 면목제4동(1126054000)","20,732","9,493","          2.18","10,291","10,441","          0.99"
"서울특별시 중랑구 면목제5동(1126055000)","10,128","4,643","          2.18","5,189","4,939","          1.05"
"서울특별시 중랑구 면목본동(1126056500)","35,925","17,409","          2.06","17,938","17,987","          1.00"
"서울특별시 중랑구 면목제7동(1126057000)","22,177","10,103","          2.20","11,052","11,125","          0.99"
"서울특별시 중랑구 면목제3.8동(1126057500)","26,987","12,599","          2.14","13,532","13,455","          1.01"
"서울특별시 중랑구 상봉제1동(1126058000)","25,637","10,119","          2.53","12,560","13,077","          0.96"
"서울특별시 중랑구 상봉제2동(1126059000)","18,632","9,931","          1.88","9,200","9,432","          0.98"
"서울특별시 중랑구 중화제1동(1126060000)","20,877","8,773","          2.38","10,318","10,559","          0.98"
"서울특별시 중랑구 중화제2동(1126061000)","28,122","14,262","          1.97","14,544","13,578","          1.07"
"서울특별시 중랑구 묵제1동(1126062000)","36,129","14,423","          2.50","17,680","18,449","          0.96"
"서울특별시 중랑구 묵제2동(1126063000)","20,233","9,145","          2.21","9,997","10,236","          0.98"
"서울특별시 중랑구 망우본동(1126065500)","31,742","14,661","          2.17","16,078","15,664","          1.03"
"서울특별시 중랑구 망우제3동(1126066000)","18,217","8,462","          2.15","9,166","9,051","          1.01"
"서울특별시 중랑구 신내1동(1126068000)","41,100","14,491","          2.84","20,161","20,939","          0.96"
"서울특별시 중랑구 신내2동(1126069000)","22,594","8,993","          2.51","10,886","11,708","          0.93"
