"행정구역","2018년06월_총인구수","2018년06월_세대수","2018년06월_세대당 인구","2018년06월_남자 인구수","2018년06월_여자 인구수","2018년06월_남여 비율"
"서울특별시 도봉구 (1132000000)","341,928","137,560","          2.49","167,465","174,463","          0.96"
"서울특별시 도봉구 창제1동(1132051100)","26,919","10,900","          2.47","12,914","14,005","          0.92"
"서울특별시 도봉구 창제2동(1132051200)","31,335","12,363","          2.53","15,380","15,955","          0.96"
"서울특별시 도봉구 창제3동(1132051300)","15,188","6,648","          2.28","7,575","7,613","          1.00"
"서울특별시 도봉구 창제4동(1132051400)","28,559","10,553","          2.71","13,803","14,756","          0.94"
"서울특별시 도봉구 창제5동(1132051500)","26,240","9,890","          2.65","12,694","13,546","          0.94"
"서울특별시 도봉구 도봉제1동(1132052100)","22,967","10,287","          2.23","11,605","11,362","          1.02"
"서울특별시 도봉구 도봉제2동(1132052200)","29,047","12,028","          2.41","14,289","14,758","          0.97"
"서울특별시 도봉구 쌍문제1동(1132066000)","22,150","9,114","          2.43","10,764","11,386","          0.95"
"서울특별시 도봉구 쌍문제2동(1132067000)","20,343","8,581","          2.37","9,864","10,479","          0.94"
"서울특별시 도봉구 쌍문제3동(1132068000)","17,266","7,626","          2.26","8,371","8,895","          0.94"
"서울특별시 도봉구 쌍문제4동(1132068100)","20,187","7,182","          2.81","9,655","10,532","          0.92"
"서울특별시 도봉구 방학제1동(1132069000)","30,349","12,655","          2.40","15,055","15,294","          0.98"
"서울특별시 도봉구 방학제2동(1132070000)","21,784","9,575","          2.28","11,023","10,761","          1.02"
"서울특별시 도봉구 방학제3동(1132071000)","29,594","10,158","          2.91","14,473","15,121","          0.96"
