"행정구역","2018년06월_총인구수","2018년06월_세대수","2018년06월_세대당 인구","2018년06월_남자 인구수","2018년06월_여자 인구수","2018년06월_남여 비율"
"서울특별시 양천구 (1147000000)","467,151","176,234","          2.65","230,322","236,829","          0.97"
"서울특별시 양천구 목1동(1147051000)","32,426","10,530","          3.08","15,596","16,830","          0.93"
"서울특별시 양천구 목2동(1147052000)","31,580","12,807","          2.47","15,468","16,112","          0.96"
"서울특별시 양천구 목3동(1147053000)","22,063","9,332","          2.36","10,678","11,385","          0.94"
"서울특별시 양천구 목4동(1147054000)","27,221","10,044","          2.71","13,424","13,797","          0.97"
"서울특별시 양천구 목5동(1147055000)","43,461","13,570","          3.20","21,505","21,956","          0.98"
"서울특별시 양천구 신월1동(1147056000)","22,318","10,129","          2.20","11,484","10,834","          1.06"
"서울특별시 양천구 신월2동(1147057000)","22,781","8,693","          2.62","11,199","11,582","          0.97"
"서울특별시 양천구 신월3동(1147058000)","17,126","8,220","          2.08","9,032","8,094","          1.12"
"서울특별시 양천구 신월4동(1147059000)","19,481","6,927","          2.81","9,597","9,884","          0.97"
"서울특별시 양천구 신월5동(1147060000)","15,754","6,374","          2.47","7,817","7,937","          0.98"
"서울특별시 양천구 신월6동(1147061000)","6,901","2,602","          2.65","3,452","3,449","          1.00"
"서울특별시 양천구 신월7동(1147061100)","22,674","9,354","          2.42","11,190","11,484","          0.97"
"서울특별시 양천구 신정1동(1147062000)","21,525","7,245","          2.97","10,552","10,973","          0.96"
"서울특별시 양천구 신정2동(1147063000)","20,961","7,198","          2.91","10,294","10,667","          0.97"
"서울특별시 양천구 신정3동(1147064000)","49,441","17,996","          2.75","24,253","25,188","          0.96"
"서울특별시 양천구 신정4동(1147065000)","35,598","15,828","          2.25","17,512","18,086","          0.97"
"서울특별시 양천구 신정6동(1147067000)","25,548","8,157","          3.13","12,497","13,051","          0.96"
"서울특별시 양천구 신정7동(1147068000)","30,292","11,228","          2.70","14,772","15,520","          0.95"
