"행정구역","2018년06월_총인구수","2018년06월_세대수","2018년06월_세대당 인구","2018년06월_남자 인구수","2018년06월_여자 인구수","2018년06월_남여 비율"
"서울특별시 은평구 (1138000000)","484,642","203,547","          2.38","234,905","249,737","          0.94"
"서울특별시 은평구 녹번동(1138051000)","32,764","14,759","          2.22","15,792","16,972","          0.93"
"서울특별시 은평구 불광제1동(1138052000)","41,685","17,666","          2.36","19,932","21,753","          0.92"
"서울특별시 은평구 불광제2동(1138053000)","29,840","13,628","          2.19","14,544","15,296","          0.95"
"서울특별시 은평구 갈현제1동(1138055100)","25,019","11,111","          2.25","12,246","12,773","          0.96"
"서울특별시 은평구 갈현제2동(1138055200)","30,540","12,491","          2.44","14,625","15,915","          0.92"
"서울특별시 은평구 구산동(1138056000)","33,683","12,726","          2.65","16,886","16,797","          1.01"
"서울특별시 은평구 대조동(1138057000)","32,604","15,725","          2.07","15,422","17,182","          0.90"
"서울특별시 은평구 응암제1동(1138058000)","25,948","11,199","          2.32","12,495","13,453","          0.93"
"서울특별시 은평구 응암제2동(1138059000)","21,339","8,386","          2.54","10,486","10,853","          0.97"
"서울특별시 은평구 응암제3동(1138060000)","26,238","12,435","          2.11","12,922","13,316","          0.97"
"서울특별시 은평구 역촌동(1138062500)","50,077","20,818","          2.41","23,918","26,159","          0.91"
"서울특별시 은평구 신사제1동(1138063100)","27,881","11,264","          2.48","13,549","14,332","          0.95"
"서울특별시 은평구 신사제2동(1138063200)","22,133","9,071","          2.44","11,088","11,045","          1.00"
"서울특별시 은평구 증산동(1138064000)","16,522","6,931","          2.38","8,167","8,355","          0.98"
"서울특별시 은평구 수색동(1138065000)","12,248","5,262","          2.33","6,150","6,098","          1.01"
"서울특별시 은평구 진관동(1138069000)","56,121","20,075","          2.80","26,683","29,438","          0.91"
