"행정구역","2019년06월_총인구수","2019년06월_세대수","2019년06월_세대당 인구","2019년06월_남자 인구수","2019년06월_여자 인구수","2019년06월_남여 비율"
"서울특별시 강남구 (1168000000)","542,498","230,752","          2.35","259,645","282,853","          0.92"
"서울특별시 강남구 신사동(1168051000)","17,375","7,496","          2.32","8,068","9,307","          0.87"
"서울특별시 강남구 논현1동(1168052100)","23,181","14,147","          1.64","10,751","12,430","          0.86"
"서울특별시 강남구 논현2동(1168053100)","21,803","11,343","          1.92","10,196","11,607","          0.88"
"서울특별시 강남구 압구정동(1168054500)","27,711","10,742","          2.58","12,748","14,963","          0.85"
"서울특별시 강남구 청담동(1168056500)","29,907","12,510","          2.39","14,047","15,860","          0.89"
"서울특별시 강남구 삼성1동(1168058000)","14,745","5,931","          2.49","7,340","7,405","          0.99"
"서울특별시 강남구 삼성2동(1168059000)","30,079","13,216","          2.28","14,337","15,742","          0.91"
"서울특별시 강남구 대치1동(1168060000)","25,234","7,406","          3.41","12,656","12,578","          1.01"
"서울특별시 강남구 대치2동(1168061000)","38,830","13,003","          2.99","19,679","19,151","          1.03"
"서울특별시 강남구 대치4동(1168063000)","20,561","10,148","          2.03","9,751","10,810","          0.90"
"서울특별시 강남구 역삼1동(1168064000)","36,041","23,413","          1.54","17,430","18,611","          0.94"
"서울특별시 강남구 역삼2동(1168065000)","36,642","15,291","          2.40","17,239","19,403","          0.89"
"서울특별시 강남구 도곡1동(1168065500)","22,538","8,555","          2.63","10,639","11,899","          0.89"
"서울특별시 강남구 도곡2동(1168065600)","34,239","11,846","          2.89","15,941","18,298","          0.87"
"서울특별시 강남구 개포1동(1168066000)","7,051","2,803","          2.52","3,402","3,649","          0.93"
"서울특별시 강남구 개포2동(1168067000)","18,156","6,540","          2.78","8,788","9,368","          0.94"
"서울특별시 강남구 개포4동(1168069000)","18,395","7,766","          2.37","9,031","9,364","          0.96"
"서울특별시 강남구 세곡동(1168070000)","44,959","17,718","          2.54","21,443","23,516","          0.91"
"서울특별시 강남구 일원본동(1168072000)","24,449","8,203","          2.98","12,011","12,438","          0.97"
"서울특별시 강남구 일원1동(1168073000)","16,477","7,546","          2.18","8,062","8,415","          0.96"
"서울특별시 강남구 일원2동(1168074000)","18,017","7,279","          2.48","8,683","9,334","          0.93"
"서울특별시 강남구 수서동(1168075000)","16,108","7,850","          2.05","7,403","8,705","          0.85"
