"행정구역","2019년06월_총인구수","2019년06월_세대수","2019년06월_세대당 인구","2019년06월_남자 인구수","2019년06월_여자 인구수","2019년06월_남여 비율"
"서울특별시 강서구 (1150000000)","595,602","261,383","          2.28","288,905","306,697","          0.94"
"서울특별시 강서구 염창동(1150051000)","41,906","15,130","          2.77","20,535","21,371","          0.96"
"서울특별시 강서구 등촌제1동(1150052000)","23,376","11,971","          1.95","11,098","12,278","          0.90"
"서울특별시 강서구 등촌제2동(1150053000)","21,834","8,615","          2.53","10,805","11,029","          0.98"
"서울특별시 강서구 등촌제3동(1150053500)","32,736","14,807","          2.21","15,615","17,121","          0.91"
"서울특별시 강서구 화곡제1동(1150054000)","53,630","26,149","          2.05","26,313","27,317","          0.96"
"서울특별시 강서구 화곡제2동(1150055000)","19,470","8,254","          2.36","9,469","10,001","          0.95"
"서울특별시 강서구 화곡제3동(1150056000)","22,501","9,374","          2.40","10,803","11,698","          0.92"
"서울특별시 강서구 화곡제4동(1150057000)","21,942","9,675","          2.27","10,794","11,148","          0.97"
"서울특별시 강서구 화곡본동(1150059000)","35,684","16,399","          2.18","17,438","18,246","          0.96"
"서울특별시 강서구 화곡제6동(1150059100)","24,850","11,398","          2.18","12,302","12,548","          0.98"
"서울특별시 강서구 화곡제8동(1150059300)","26,270","11,637","          2.26","12,637","13,633","          0.93"
"서울특별시 강서구 가양제1동(1150060300)","33,723","18,863","          1.79","15,783","17,940","          0.88"
"서울특별시 강서구 가양제2동(1150060400)","15,321","8,110","          1.89","7,287","8,034","          0.91"
"서울특별시 강서구 가양제3동(1150060500)","16,327","7,922","          2.06","7,696","8,631","          0.89"
"서울특별시 강서구 발산제1동(1150061100)","38,456","13,460","          2.86","18,331","20,125","          0.91"
"서울특별시 강서구 우장산동(1150061500)","45,786","16,576","          2.76","21,997","23,789","          0.92"
"서울특별시 강서구 공항동(1150062000)","27,618","12,757","          2.16","13,934","13,684","          1.02"
"서울특별시 강서구 방화제1동(1150063000)","45,632","17,434","          2.62","22,318","23,314","          0.96"
"서울특별시 강서구 방화제2동(1150064000)","24,032","11,617","          2.07","11,908","12,124","          0.98"
"서울특별시 강서구 방화제3동(1150064100)","24,508","11,235","          2.18","11,842","12,666","          0.93"
