"행정구역","2019년06월_총인구수","2019년06월_세대수","2019년06월_세대당 인구","2019년06월_남자 인구수","2019년06월_여자 인구수","2019년06월_남여 비율"
"서울특별시 관악구 (1162000000)","502,089","266,692","          1.88","251,875","250,214","          1.01"
"서울특별시 관악구 보라매동(1162052500)","25,261","12,254","          2.06","12,345","12,916","          0.96"
"서울특별시 관악구 청림동(1162054500)","16,247","6,569","          2.47","7,984","8,263","          0.97"
"서울특별시 관악구 성현동(1162056500)","32,491","12,981","          2.50","15,778","16,713","          0.94"
"서울특별시 관악구 행운동(1162057500)","30,014","17,120","          1.75","14,662","15,352","          0.96"
"서울특별시 관악구 낙성대동(1162058500)","16,996","10,741","          1.58","8,516","8,480","          1.00"
"서울특별시 관악구 청룡동(1162059500)","29,562","19,366","          1.53","14,214","15,348","          0.93"
"서울특별시 관악구 은천동(1162060500)","35,045","15,887","          2.21","17,204","17,841","          0.96"
"서울특별시 관악구 중앙동(1162061500)","15,437","9,227","          1.67","7,406","8,031","          0.92"
"서울특별시 관악구 인헌동(1162062500)","26,894","14,034","          1.92","13,155","13,739","          0.96"
"서울특별시 관악구 남현동(1162063000)","18,895","9,333","          2.02","9,066","9,829","          0.92"
"서울특별시 관악구 서원동(1162064500)","23,333","13,763","          1.70","11,913","11,420","          1.04"
"서울특별시 관악구 신원동(1162065500)","18,752","10,443","          1.80","9,351","9,401","          0.99"
"서울특별시 관악구 서림동(1162066500)","24,100","14,193","          1.70","13,298","10,802","          1.23"
"서울특별시 관악구 신사동(1162068500)","23,107","13,222","          1.75","11,614","11,493","          1.01"
"서울특별시 관악구 신림동(1162069500)","21,768","16,654","          1.31","10,953","10,815","          1.01"
"서울특별시 관악구 난향동(1162071500)","16,420","6,468","          2.54","8,130","8,290","          0.98"
"서울특별시 관악구 조원동(1162072500)","17,498","10,147","          1.72","8,843","8,655","          1.02"
"서울특별시 관악구 대학동(1162073500)","23,774","15,786","          1.51","14,304","9,470","          1.51"
"서울특별시 관악구 삼성동(1162074500)","25,501","11,502","          2.22","12,830","12,671","          1.01"
"서울특별시 관악구 미성동(1162076500)","32,277","14,127","          2.28","15,827","16,450","          0.96"
"서울특별시 관악구 난곡동(1162077500)","28,717","12,875","          2.23","14,482","14,235","          1.02"
