"행정구역","2019년06월_총인구수","2019년06월_세대수","2019년06월_세대당 인구","2019년06월_남자 인구수","2019년06월_여자 인구수","2019년06월_남여 비율"
"서울특별시 금천구 (1154500000)","234,079","109,708","          2.13","118,912","115,167","          1.03"
"서울특별시 금천구 가산동(1154551000)","20,882","13,489","          1.55","11,548","9,334","          1.24"
"서울특별시 금천구 독산제1동(1154561000)","41,010","19,671","          2.08","21,218","19,792","          1.07"
"서울특별시 금천구 독산제2동(1154562000)","19,748","9,288","          2.13","10,062","9,686","          1.04"
"서울특별시 금천구 독산제3동(1154563000)","25,342","12,277","          2.06","12,815","12,527","          1.02"
"서울특별시 금천구 독산제4동(1154564000)","16,254","7,622","          2.13","8,185","8,069","          1.01"
"서울특별시 금천구 시흥제1동(1154567000)","34,659","15,817","          2.19","17,342","17,317","          1.00"
"서울특별시 금천구 시흥제2동(1154568000)","22,739","8,425","          2.70","11,080","11,659","          0.95"
"서울특별시 금천구 시흥제3동(1154569000)","11,498","4,723","          2.43","5,760","5,738","          1.00"
"서울특별시 금천구 시흥제4동(1154570000)","21,502","9,066","          2.37","10,680","10,822","          0.99"
"서울특별시 금천구 시흥제5동(1154571000)","20,445","9,330","          2.19","10,222","10,223","          1.00"
