"행정구역","2019년06월_총인구수","2019년06월_세대수","2019년06월_세대당 인구","2019년06월_남자 인구수","2019년06월_여자 인구수","2019년06월_남여 비율"
"서울특별시 동대문구 (1123000000)","346,501","162,851","          2.13","172,490","174,011","          0.99"
"서울특별시 동대문구 용신동(1123053600)","30,594","16,960","          1.80","15,711","14,883","          1.06"
"서울특별시 동대문구 제기동(1123054500)","25,219","13,045","          1.93","12,918","12,301","          1.05"
"서울특별시 동대문구 전농제1동(1123056000)","30,611","14,930","          2.05","15,469","15,142","          1.02"
"서울특별시 동대문구 전농제2동(1123057000)","19,774","7,756","          2.55","9,497","10,277","          0.92"
"서울특별시 동대문구 답십리제1동(1123060000)","29,459","12,654","          2.33","14,334","15,125","          0.95"
"서울특별시 동대문구 답십리제2동(1123061000)","30,118","12,695","          2.37","14,771","15,347","          0.96"
"서울특별시 동대문구 장안제1동(1123065000)","38,628","17,430","          2.22","19,328","19,300","          1.00"
"서울특별시 동대문구 장안제2동(1123066000)","31,517","13,045","          2.42","15,749","15,768","          1.00"
"서울특별시 동대문구 청량리동(1123070500)","21,604","10,527","          2.05","10,840","10,764","          1.01"
"서울특별시 동대문구 회기동(1123071000)","10,316","6,002","          1.72","4,915","5,401","          0.91"
"서울특별시 동대문구 휘경제1동(1123072000)","13,510","7,083","          1.91","6,748","6,762","          1.00"
"서울특별시 동대문구 휘경제2동(1123073000)","24,529","11,471","          2.14","12,146","12,383","          0.98"
"서울특별시 동대문구 이문제1동(1123074000)","19,741","10,806","          1.83","9,887","9,854","          1.00"
"서울특별시 동대문구 이문제2동(1123075000)","20,881","8,447","          2.47","10,177","10,704","          0.95"
