"행정구역","2019년06월_총인구수","2019년06월_세대수","2019년06월_세대당 인구","2019년06월_남자 인구수","2019년06월_여자 인구수","2019년06월_남여 비율"
"서울특별시 동작구 (1159000000)","398,885","180,463","          2.21","193,449","205,436","          0.94"
"서울특별시 동작구 노량진제1동(1159051000)","32,266","14,941","          2.16","16,019","16,247","          0.99"
"서울특별시 동작구 노량진제2동(1159052000)","13,043","7,210","          1.81","6,688","6,355","          1.05"
"서울특별시 동작구 상도제1동(1159053000)","46,204","21,360","          2.16","22,491","23,713","          0.95"
"서울특별시 동작구 상도제2동(1159054000)","29,025","12,813","          2.27","13,943","15,082","          0.92"
"서울특별시 동작구 상도제3동(1159055000)","25,720","11,800","          2.18","12,339","13,381","          0.92"
"서울특별시 동작구 상도제4동(1159056000)","29,832","13,439","          2.22","14,643","15,189","          0.96"
"서울특별시 동작구 흑석동(1159060500)","32,853","14,306","          2.30","16,023","16,830","          0.95"
"서울특별시 동작구 사당제1동(1159062000)","23,581","13,030","          1.81","11,261","12,320","          0.91"
"서울특별시 동작구 사당제2동(1159063000)","28,075","11,948","          2.35","13,562","14,513","          0.93"
"서울특별시 동작구 사당제3동(1159064000)","26,245","10,731","          2.45","12,757","13,488","          0.95"
"서울특별시 동작구 사당제4동(1159065000)","14,836","6,981","          2.13","7,098","7,738","          0.92"
"서울특별시 동작구 사당제5동(1159065100)","12,960","5,727","          2.26","6,284","6,676","          0.94"
"서울특별시 동작구 대방동(1159066000)","39,737","17,070","          2.33","18,906","20,831","          0.91"
"서울특별시 동작구 신대방제1동(1159067000)","23,966","9,832","          2.44","11,543","12,423","          0.93"
"서울특별시 동작구 신대방제2동(1159068000)","20,542","9,275","          2.21","9,892","10,650","          0.93"
