"행정구역","2019년06월_총인구수","2019년06월_세대수","2019년06월_세대당 인구","2019년06월_남자 인구수","2019년06월_여자 인구수","2019년06월_남여 비율"
"서울특별시 송파구 (1171000000)","679,247","278,223","          2.44","329,200","350,047","          0.94"
"서울특별시 송파구 풍납1동(1171051000)","14,915","6,629","          2.25","7,392","7,523","          0.98"
"서울특별시 송파구 풍납2동(1171052000)","24,685","10,449","          2.36","11,748","12,937","          0.91"
"서울특별시 송파구 거여1동(1171053100)","13,161","5,438","          2.42","6,724","6,437","          1.04"
"서울특별시 송파구 거여2동(1171053200)","17,089","7,231","          2.36","8,424","8,665","          0.97"
"서울특별시 송파구 마천1동(1171054000)","20,804","9,120","          2.28","10,655","10,149","          1.05"
"서울특별시 송파구 마천2동(1171055000)","20,238","8,659","          2.34","10,284","9,954","          1.03"
"서울특별시 송파구 방이1동(1171056100)","16,376","6,226","          2.63","7,928","8,448","          0.94"
"서울특별시 송파구 방이2동(1171056200)","25,733","13,400","          1.92","12,362","13,371","          0.92"
"서울특별시 송파구 오륜동(1171056600)","18,957","5,986","          3.17","9,279","9,678","          0.96"
"서울특별시 송파구 오금동(1171057000)","40,899","15,724","          2.60","19,961","20,938","          0.95"
"서울특별시 송파구 송파1동(1171058000)","25,828","12,440","          2.08","12,198","13,630","          0.89"
"서울특별시 송파구 송파2동(1171059000)","20,657","7,305","          2.83","9,993","10,664","          0.94"
"서울특별시 송파구 석촌동(1171060000)","33,425","16,708","          2.00","16,040","17,385","          0.92"
"서울특별시 송파구 삼전동(1171061000)","32,494","16,301","          1.99","15,479","17,015","          0.91"
"서울특별시 송파구 가락본동(1171062000)","27,600","11,808","          2.34","13,662","13,938","          0.98"
"서울특별시 송파구 가락1동(1171063100)","25,986","9,356","          2.78","12,723","13,263","          0.96"
"서울특별시 송파구 가락2동(1171063200)","33,781","12,266","          2.75","16,555","17,226","          0.96"
"서울특별시 송파구 문정1동(1171064100)","21,150","8,547","          2.47","10,495","10,655","          0.98"
"서울특별시 송파구 문정2동(1171064200)","29,756","15,415","          1.93","13,914","15,842","          0.88"
"서울특별시 송파구 장지동(1171064600)","34,238","13,391","          2.56","16,583","17,655","          0.94"
"서울특별시 송파구 위례동(1171064700)","28,349","9,016","          3.14","13,821","14,528","          0.95"
"서울특별시 송파구 잠실본동(1171065000)","29,049","14,992","          1.94","13,738","15,311","          0.90"
"서울특별시 송파구 잠실2동(1171067000)","36,705","12,003","          3.06","17,528","19,177","          0.91"
"서울특별시 송파구 잠실3동(1171068000)","36,047","12,279","          2.94","17,185","18,862","          0.91"
"서울특별시 송파구 잠실4동(1171069000)","23,769","8,123","          2.93","11,481","12,288","          0.93"
"서울특별시 송파구 잠실6동(1171071000)","17,311","5,938","          2.92","8,255","9,056","          0.91"
"서울특별시 송파구 잠실7동(1171072000)","10,245","3,473","          2.95","4,793","5,452","          0.88"
