"행정구역","2019년06월_총인구수","2019년06월_세대수","2019년06월_세대당 인구","2019년06월_남자 인구수","2019년06월_여자 인구수","2019년06월_남여 비율"
"서울특별시 영등포구 (1156000000)","369,017","173,701","          2.12","183,460","185,557","          0.99"
"서울특별시 영등포구 영등포본동(1156051500)","22,151","10,188","          2.17","11,319","10,832","          1.04"
"서울특별시 영등포구 영등포동(1156053500)","26,227","16,959","          1.55","14,335","11,892","          1.21"
"서울특별시 영등포구 여의동(1156054000)","34,086","13,374","          2.55","16,075","18,011","          0.89"
"서울특별시 영등포구 당산제1동(1156055000)","20,955","10,500","          2.00","10,330","10,625","          0.97"
"서울특별시 영등포구 당산제2동(1156056000)","35,750","17,216","          2.08","16,831","18,919","          0.89"
"서울특별시 영등포구 도림동(1156058500)","18,862","9,284","          2.03","9,523","9,339","          1.02"
"서울특별시 영등포구 문래동(1156060500)","31,830","12,483","          2.55","15,742","16,088","          0.98"
"서울특별시 영등포구 양평제1동(1156061000)","17,896","8,884","          2.01","8,931","8,965","          1.00"
"서울특별시 영등포구 양평제2동(1156062000)","22,679","10,120","          2.24","11,350","11,329","          1.00"
"서울특별시 영등포구 신길제1동(1156063000)","17,493","9,892","          1.77","8,869","8,624","          1.03"
"서울특별시 영등포구 신길제3동(1156065000)","17,269","7,557","          2.29","8,590","8,679","          0.99"
"서울특별시 영등포구 신길제4동(1156066000)","9,071","4,278","          2.12","4,557","4,514","          1.01"
"서울특별시 영등포구 신길제5동(1156067000)","9,354","4,222","          2.22","4,539","4,815","          0.94"
"서울특별시 영등포구 신길제6동(1156068000)","18,361","8,417","          2.18","9,058","9,303","          0.97"
"서울특별시 영등포구 신길제7동(1156069000)","16,985","6,553","          2.59","8,486","8,499","          1.00"
"서울특별시 영등포구 대림제1동(1156070000)","13,051","6,370","          2.05","6,532","6,519","          1.00"
"서울특별시 영등포구 대림제2동(1156071000)","12,864","6,843","          1.88","6,253","6,611","          0.95"
"서울특별시 영등포구 대림제3동(1156072000)","24,133","10,561","          2.29","12,140","11,993","          1.01"
