"행정구역","2019년06월_총인구수","2019년06월_세대수","2019년06월_세대당 인구","2019년06월_남자 인구수","2019년06월_여자 인구수","2019년06월_남여 비율"
"서울특별시 은평구 (1138000000)","483,730","207,123","          2.34","233,566","250,164","          0.93"
"서울특별시 은평구 녹번동(1138051000)","37,569","16,862","          2.23","18,103","19,466","          0.93"
"서울특별시 은평구 불광제1동(1138052000)","40,926","17,815","          2.30","19,464","21,462","          0.91"
"서울특별시 은평구 불광제2동(1138053000)","29,419","13,766","          2.14","14,315","15,104","          0.95"
"서울특별시 은평구 갈현제1동(1138055100)","24,577","11,188","          2.20","11,943","12,634","          0.95"
"서울특별시 은평구 갈현제2동(1138055200)","29,980","12,576","          2.38","14,282","15,698","          0.91"
"서울특별시 은평구 구산동(1138056000)","33,778","13,068","          2.58","16,836","16,942","          0.99"
"서울특별시 은평구 대조동(1138057000)","31,609","15,557","          2.03","14,915","16,694","          0.89"
"서울특별시 은평구 응암제1동(1138058000)","25,550","11,344","          2.25","12,265","13,285","          0.92"
"서울특별시 은평구 응암제2동(1138059000)","22,184","8,783","          2.53","10,863","11,321","          0.96"
"서울특별시 은평구 응암제3동(1138060000)","25,955","12,580","          2.06","12,713","13,242","          0.96"
"서울특별시 은평구 역촌동(1138062500)","48,757","20,784","          2.35","23,223","25,534","          0.91"
"서울특별시 은평구 신사제1동(1138063100)","28,551","11,724","          2.44","13,863","14,688","          0.94"
"서울특별시 은평구 신사제2동(1138063200)","21,985","9,207","          2.39","11,027","10,958","          1.01"
"서울특별시 은평구 증산동(1138064000)","16,276","6,949","          2.34","8,020","8,256","          0.97"
"서울특별시 은평구 수색동(1138065000)","9,232","3,966","          2.33","4,608","4,624","          1.00"
"서울특별시 은평구 진관동(1138069000)","57,382","20,954","          2.74","27,126","30,256","          0.90"
