행정구역,2019년06월_총인구수,2019년06월_세대수,2019년06월_세대당 인구,2019년06월_남자 인구수,2019년06월_여자 인구수,2019년06월_남여 비율
서울특별시 종로구 (1111000000),"152,026","73,828",2.06,"74,190","77,836",0.95
서울특별시 종로구 청운효자동(1111051500),"12,889","5,382",2.39,"6,029","6,860",0.88
서울특별시 종로구 사직동(1111053000),"9,447","4,552",2.08,"4,256","5,191",0.82
서울특별시 종로구 삼청동(1111054000),"2,803","1,401",2,"1,335","1,468",0.91
서울특별시 종로구 부암동(1111055000),"10,068","4,287",2.35,"4,801","5,267",0.91
서울특별시 종로구 평창동(1111056000),"18,667","7,495",2.49,"8,747","9,920",0.88
서울특별시 종로구 무악동(1111057000),"8,655","3,155",2.74,"4,046","4,609",0.88
서울특별시 종로구 교남동(1111058000),"10,609","4,574",2.32,"4,926","5,683",0.87
서울특별시 종로구 가회동(1111060000),"4,364","2,042",2.14,"2,028","2,336",0.87
서울특별시 종로구 종로1.2.3.4가동(1111061500),"7,364","5,290",1.39,"4,390","2,974",1.48
서울특별시 종로구 종로5.6가동(1111063000),"5,203","3,174",1.64,"2,859","2,344",1.22
서울특별시 종로구 이화동(1111064000),"7,998","4,509",1.77,"3,757","4,241",0.89
서울특별시 종로구 혜화동(1111065000),"16,971","9,236",1.84,"8,190","8,781",0.93
서울특별시 종로구 창신제1동(1111067000),"5,297","2,952",1.79,"2,859","2,438",1.17
서울특별시 종로구 창신제2동(1111068000),"8,652","4,134",2.09,"4,416","4,236",1.04
서울특별시 종로구 창신제3동(1111069000),"7,183","2,892",2.48,"3,548","3,635",0.98
서울특별시 종로구 숭인제1동(1111070000),"6,283","2,987",2.1,"3,100","3,183",0.97
서울특별시 종로구 숭인제2동(1111071000),"9,573","5,766",1.66,"4,903","4,670",1.05
