"행정구역","2019년06월_총인구수","2019년06월_세대수","2019년06월_세대당 인구","2019년06월_남자 인구수","2019년06월_여자 인구수","2019년06월_남여 비율"
"서울특별시 강북구 (1130500000)","315,587","143,650","          2.20","154,101","161,486","          0.95"
"서울특별시 강북구 삼양동(1130553400)","25,854","11,610","          2.23","12,860","12,994","          0.99"
"서울특별시 강북구 미아동(1130553500)","22,531","11,341","          1.99","10,814","11,717","          0.92"
"서울특별시 강북구 송중동(1130554500)","28,513","12,985","          2.20","13,765","14,748","          0.93"
"서울특별시 강북구 송천동(1130555500)","28,535","13,760","          2.07","14,187","14,348","          0.99"
"서울특별시 강북구 삼각산동(1130557500)","33,068","11,813","          2.80","15,904","17,164","          0.93"
"서울특별시 강북구 번1동(1130559500)","19,431","10,277","          1.89","9,683","9,748","          0.99"
"서울특별시 강북구 번2동(1130560300)","17,261","7,611","          2.27","8,402","8,859","          0.95"
"서울특별시 강북구 번3동(1130560800)","18,595","7,616","          2.44","8,807","9,788","          0.90"
"서울특별시 강북구 수유1동(1130561500)","21,760","10,339","          2.10","10,787","10,973","          0.98"
"서울특별시 강북구 수유2동(1130562500)","22,001","9,551","          2.30","10,613","11,388","          0.93"
"서울특별시 강북구 수유3동(1130563500)","23,982","12,674","          1.89","11,984","11,998","          1.00"
"서울특별시 강북구 우이동(1130564500)","21,361","9,477","          2.25","10,417","10,944","          0.95"
"서울특별시 강북구 인수동(1130566000)","32,695","14,596","          2.24","15,878","16,817","          0.94"
