"행정구역","2019년06월_총인구수","2019년06월_세대수","2019년06월_세대당 인구","2019년06월_남자 인구수","2019년06월_여자 인구수","2019년06월_남여 비율"
"서울특별시 양천구 (1147000000)","461,051","177,045","          2.60","226,881","234,170","          0.97"
"서울특별시 양천구 목1동(1147051000)","31,961","10,451","          3.06","15,406","16,555","          0.93"
"서울특별시 양천구 목2동(1147052000)","31,286","12,984","          2.41","15,298","15,988","          0.96"
"서울특별시 양천구 목3동(1147053000)","22,954","9,873","          2.32","11,057","11,897","          0.93"
"서울특별시 양천구 목4동(1147054000)","26,968","10,142","          2.66","13,267","13,701","          0.97"
"서울특별시 양천구 목5동(1147055000)","42,871","13,530","          3.17","21,181","21,690","          0.98"
"서울특별시 양천구 신월1동(1147056000)","21,716","10,125","          2.14","11,142","10,574","          1.05"
"서울특별시 양천구 신월2동(1147057000)","22,439","8,698","          2.58","11,007","11,432","          0.96"
"서울특별시 양천구 신월3동(1147058000)","16,751","8,223","          2.04","8,848","7,903","          1.12"
"서울특별시 양천구 신월4동(1147059000)","19,021","6,863","          2.77","9,381","9,640","          0.97"
"서울특별시 양천구 신월5동(1147060000)","15,449","6,405","          2.41","7,676","7,773","          0.99"
"서울특별시 양천구 신월6동(1147061000)","6,665","2,525","          2.64","3,312","3,353","          0.99"
"서울특별시 양천구 신월7동(1147061100)","21,815","9,254","          2.36","10,749","11,066","          0.97"
"서울특별시 양천구 신정1동(1147062000)","21,354","7,205","          2.96","10,451","10,903","          0.96"
"서울특별시 양천구 신정2동(1147063000)","20,610","7,130","          2.89","10,092","10,518","          0.96"
"서울특별시 양천구 신정3동(1147064000)","48,282","17,950","          2.69","23,618","24,664","          0.96"
"서울특별시 양천구 신정4동(1147065000)","35,053","15,994","          2.19","17,236","17,817","          0.97"
"서울특별시 양천구 신정6동(1147067000)","25,254","8,157","          3.10","12,297","12,957","          0.95"
"서울특별시 양천구 신정7동(1147068000)","30,602","11,536","          2.65","14,863","15,739","          0.94"
