"행정구역","2019년06월_총인구수","2019년06월_세대수","2019년06월_세대당 인구","2019년06월_남자 인구수","2019년06월_여자 인구수","2019년06월_남여 비율"
"서울특별시 중랑구 (1126000000)","400,661","181,383","          2.21","198,906","201,755","          0.99"
"서울특별시 중랑구 면목제2동(1126052000)","25,907","12,218","          2.12","13,008","12,899","          1.01"
"서울특별시 중랑구 면목제4동(1126054000)","20,066","9,343","          2.15","9,972","10,094","          0.99"
"서울특별시 중랑구 면목제5동(1126055000)","9,868","4,579","          2.16","5,054","4,814","          1.05"
"서울특별시 중랑구 면목본동(1126056500)","35,576","17,588","          2.02","17,718","17,858","          0.99"
"서울특별시 중랑구 면목제7동(1126057000)","21,749","10,086","          2.16","10,838","10,911","          0.99"
"서울특별시 중랑구 면목제3.8동(1126057500)","26,414","12,584","          2.10","13,196","13,218","          1.00"
"서울특별시 중랑구 상봉제1동(1126058000)","25,431","10,177","          2.50","12,424","13,007","          0.96"
"서울특별시 중랑구 상봉제2동(1126059000)","19,160","10,608","          1.81","9,393","9,767","          0.96"
"서울특별시 중랑구 중화제1동(1126060000)","20,775","8,980","          2.31","10,227","10,548","          0.97"
"서울특별시 중랑구 중화제2동(1126061000)","27,843","14,409","          1.93","14,338","13,505","          1.06"
"서울특별시 중랑구 묵제1동(1126062000)","35,946","14,578","          2.47","17,531","18,415","          0.95"
"서울특별시 중랑구 묵제2동(1126063000)","19,905","9,200","          2.16","9,822","10,083","          0.97"
"서울특별시 중랑구 망우본동(1126065500)","31,173","14,775","          2.11","15,805","15,368","          1.03"
"서울특별시 중랑구 망우제3동(1126066000)","17,843","8,482","          2.10","8,984","8,859","          1.01"
"서울특별시 중랑구 신내1동(1126068000)","40,856","14,711","          2.78","19,969","20,887","          0.96"
"서울특별시 중랑구 신내2동(1126069000)","22,149","9,065","          2.44","10,627","11,522","          0.92"
